metric,value,description
docs_scanned,157461,Total conversion documents scanned across all crawl slices.
docs_minlen,146995,Documents that passed the minimum character-length filter.
candidate_hits,728,Term matches before downstream filtering and domain caps.
final_hits,721,Rows retained after filtering and domain-cap enforcement.
hits_total,721,Legacy alias for final_hits to preserve downstream compatibility.
hits_by_term,"{""autism_patterns[1]"": 57, ""autism_patterns[0]"": 304, ""adhd_patterns[0]"": 228, ""autism_patterns[2]"": 54, ""adhd_patterns[1]"": 60, ""asd_pattern"": 18}",JSON map from matched term label to retained hit count.
unique_domains_total,73793,Unique registered domains seen in all scanned documents.
unique_domains_hits,380,Unique registered domains represented in final retained hits.
removed_domaincap,0,Candidate matches removed because the per-domain cap was reached.
capped_removed,0,Legacy alias for removed_domaincap to preserve compatibility.
removed_boilerplate_signature,5,Count of hits removed by boilerplate signature patterns.
removed_boilerplate_density,2,Count of hits removed by boilerplate density thresholds.
removed_boilerplate_total,7,Total hits removed by boilerplate filtering before final output.
top_domains_csv,data/interim/cc_scan_top_domains_20260219_170918.csv,Path to the CSV containing top retained domains for this run.
docs_per_sec,2428.41032,Overall scan throughput in scanned documents per second.
total_elapsed_sec,64.841184,Total wall-clock time for the scan stage in seconds.
time_input_read_sec,7.150398,Combined coarse timing for this processing stage in seconds.
time_parse_sec,3.283831,Combined coarse timing for this processing stage in seconds.
time_term_match_sec,53.60462,Combined coarse timing for this processing stage in seconds.
time_domain_extract_sec,0.575806,Combined coarse timing for this processing stage in seconds.
time_write_sec,0.016518,Combined coarse timing for this processing stage in seconds.
docs_scanned_by_crawl,"{""CC-MAIN-2016-44"": 112200, ""CC-MAIN-2026-04"": 45261}",JSON map from crawl_id to scanned document count.
docs_minlen_by_crawl,"{""CC-MAIN-2016-44"": 105991, ""CC-MAIN-2026-04"": 41004}",JSON map from crawl_id to documents passing min length.
candidate_hits_by_crawl,"{""CC-MAIN-2016-44"": 489, ""CC-MAIN-2026-04"": 239}",JSON map from crawl_id to candidate term matches.
final_hits_by_crawl,"{""CC-MAIN-2016-44"": 487, ""CC-MAIN-2026-04"": 234}",JSON map from crawl_id to final retained hits.
removed_domaincap_by_crawl,"{""CC-MAIN-2016-44"": 0, ""CC-MAIN-2026-04"": 0}",JSON map from crawl_id to matches removed by domain cap.
removed_boilerplate_signature_by_crawl,"{""CC-MAIN-2016-44"": 0, ""CC-MAIN-2026-04"": 5}",JSON map from crawl_id to signature-based boilerplate removals.
removed_boilerplate_density_by_crawl,"{""CC-MAIN-2016-44"": 2, ""CC-MAIN-2026-04"": 0}",JSON map from crawl_id to density-based boilerplate removals.
removed_boilerplate_total_by_crawl,"{""CC-MAIN-2016-44"": 2, ""CC-MAIN-2026-04"": 5}",JSON map from crawl_id to total boilerplate removals.
docs_per_sec_by_crawl,"{""CC-MAIN-2016-44"": 2409.680115, ""CC-MAIN-2026-04"": 2479.423702}",JSON map from crawl_id to scan throughput in docs per second.
timings_sec,"{""time_input_read_sec"": 7.150398, ""time_parse_sec"": 3.283831, ""time_term_match_sec"": 53.60462, ""time_domain_extract_sec"": 0.575806, ""time_write_sec"": 0.016518, ""total_elapsed_sec"": 64.841184}",JSON object of combined timing breakdown in seconds.
