batch_name,rows,start_row,end_row,sha256,prompt_version,codebook_version
annotator_batch_001.jsonl,75,0,74,7e00395442a27e08e8a526d7e1fe9899d174945b4d0baa4ba4527b2aa5f7558b,annotator_v4,v0.4
annotator_batch_002.jsonl,75,75,149,eeb76775af42a6f52c124bfd2ef692d96ad3c2927fb7908edd684e5ca37f56e7,annotator_v4,v0.4
annotator_batch_003.jsonl,75,150,224,d20434b67a6ed6285992753abacc1f6dd9e1487f63fdd3e3ca4dbfb731ecc75d,annotator_v4,v0.4
annotator_batch_004.jsonl,75,225,299,fe844fedb14b244c0087b11c7c38d0611437cec2a6a909e1131160ed8bfd4ea9,annotator_v4,v0.4
annotator_batch_005.jsonl,75,300,374,59e8f0e871792e2794326a5d0d54a2e69cf5cbcac65d3693ec2aeae9262b4d83,annotator_v4,v0.4
annotator_batch_006.jsonl,75,375,449,23ebd7f0202321b794c42e380e1c45e0c63ced9468c92464f697d58a3a28705e,annotator_v4,v0.4
annotator_batch_007.jsonl,75,450,524,f2103dda4396ff88ff2ea767bed6cc22d082b605bec47b2e41af8ea27bf6a508,annotator_v4,v0.4
annotator_batch_008.jsonl,75,525,599,7dd2dccc847a583cddd8c73f3b36c3badab31d24fe93118ae3cfa19a0d29a577,annotator_v4,v0.4
annotator_batch_009.jsonl,75,600,674,3513434655131a1b75b95c6d53b5bd2b9d301706e45674001ac893e2227487bf,annotator_v4,v0.4
annotator_batch_010.jsonl,75,675,749,d4b830e7dfef5a5eb6c58b1b971a8ad1fb9796fb33f69562b2e9148db04fba19,annotator_v4,v0.4
annotator_batch_011.jsonl,75,750,824,c0570c05cbddeaa3d7e9085d88c02776a72c389c118047af8a8b1de9737cb499,annotator_v4,v0.4
annotator_batch_012.jsonl,75,825,899,63922b96d7a5f5c5105bcdc0b1c71193ed82e101c6e57cb1fbcaa2795b2203ad,annotator_v4,v0.4
annotator_batch_013.jsonl,75,900,974,55da4a3f8ad8e2d2ac9a27e1c5d47b24e2d6e9efc5813e0bf86e4c8152dbbecf,annotator_v4,v0.4
annotator_batch_014.jsonl,75,975,1049,df56df2c36fb41a29664ce9904c4a9b3e436784541f43a8e05266bf1b623e7ff,annotator_v4,v0.4
annotator_batch_015.jsonl,75,1050,1124,781e97828662b3da0a8052bd0b3c6966a41780bb255cfa5cfc0158ca51a01c53,annotator_v4,v0.4
annotator_batch_016.jsonl,75,1125,1199,61a1344d7fd82c53af00f1a9ad8af9d15cd4bdbc4a54a33e70419da279c0dfcf,annotator_v4,v0.4
annotator_batch_017.jsonl,75,1200,1274,f7d4afe7353f3b5133b6a37e6ddc340b77c5b8155db6236c05bec50e769331da,annotator_v4,v0.4
annotator_batch_018.jsonl,75,1275,1349,48eb4a8d45bfd323ffbc3411d718010efe646ee30cb623058d95548b416d9600,annotator_v4,v0.4
annotator_batch_019.jsonl,75,1350,1424,30e1e2d8183a8eb846a39bfdfeb9dde9ef73c2e8336ca7b6ff718062e3892a20,annotator_v4,v0.4
annotator_batch_020.jsonl,75,1425,1499,02da5b0d137a35f36eef549c7653babc5e67270f5a8449e4248601c6f5f34ca4,annotator_v4,v0.4
annotator_batch_021.jsonl,75,1500,1574,242e71549527c047d8c7330465c857d56b9fbbef87e9c8a0714f471e853e568b,annotator_v4,v0.4
annotator_batch_022.jsonl,75,1575,1649,034940856e23ba2db99d2f29d948e1ec486da25524545682028940be7aa9ec8c,annotator_v4,v0.4
annotator_batch_023.jsonl,75,1650,1724,ac44f85caa1b6ee73bc00a710c0c55ce51964e2db4258a90a0948b325b50bed6,annotator_v4,v0.4
annotator_batch_024.jsonl,75,1725,1799,f1304a9a7ebf3b4cf32a576834e8042b8d25a9168520539551f8bb766f573f47,annotator_v4,v0.4
annotator_batch_025.jsonl,75,1800,1874,a895167719c8a5e482bbbe820d14f7a8b21a40cd7ef6496fb4ade455795d2015,annotator_v4,v0.4
annotator_batch_026.jsonl,75,1875,1949,36dc2372348b6106bfd9bd22e55995f3579a8e76ace3521b4a19acce168ce7e0,annotator_v4,v0.4
annotator_batch_027.jsonl,50,1950,1999,a89667d755b40ec9ae5bcff599ad2bfc1c872fe0b4d8f35351c547cd93c2ceb0,annotator_v4,v0.4
annotator_batch_028.jsonl,75,2000,2074,c7858ff49f5b295f52a786e47304537c7362164180dbddf7d14419e602ae0802,annotator_v4,v0.4
annotator_batch_029.jsonl,75,2075,2149,9dd17e7cb9c9695f5457cc1374affcb358fd79a40f92e98da1bb713de5a33cdf,annotator_v4,v0.4
annotator_batch_030.jsonl,75,2150,2224,86d56dcb31d05848de4ae2f8cfcb8933a3a3f8d9ef26f974d7e9dd093fd2e7dc,annotator_v4,v0.4
annotator_batch_031.jsonl,75,2225,2299,68ff25e981fb09ae03600b860886162265e86144d68983ab60e915422b833030,annotator_v4,v0.4
annotator_batch_032.jsonl,75,2300,2374,3c07292f5681eb51c34d127962c4d09c4dd5f200f0c876c692c3d620b0f2e5ef,annotator_v4,v0.4
annotator_batch_033.jsonl,75,2375,2449,38cb2b8875010d1d8a55f4b7e4f7b5939c18ee23e8fca2bfbcaf75cf8f673da8,annotator_v4,v0.4
annotator_batch_034.jsonl,75,2450,2524,3a80e3e20b4e3bf436885f1b1d1d1de9be9063df44b30c95b216162deba023fc,annotator_v4,v0.4
annotator_batch_035.jsonl,75,2525,2599,76acdf7414f18153fde8bd0c73cd3becae632e737f663735101791eecb349e4a,annotator_v4,v0.4
annotator_batch_036.jsonl,75,2600,2674,75a269a206c2f8a3a7a251d4ebde6522a481e78018bdf8f3f3bc1adce1b5e36c,annotator_v4,v0.4
annotator_batch_037.jsonl,75,2675,2749,231568c18c1695b84a60835eeea69fdd1eb591568b8c9180f2c90bcbfee41921,annotator_v4,v0.4
annotator_batch_038.jsonl,75,2750,2824,7a4dd49ac8cbcae53e272c2f02cfef77409f3e313a95498c2e27b39951b70884,annotator_v4,v0.4
annotator_batch_039.jsonl,75,2825,2899,a1164a770a98ca5e1683cdc239aa8dd8378b5a1318332e6789394e832026c645,annotator_v4,v0.4
annotator_batch_040.jsonl,75,2900,2974,1dcdc1247858b163ba3dc620d70cd3dd2d53c77bf4c87496fecdddf0a14907e6,annotator_v4,v0.4
annotator_batch_041.jsonl,25,2975,2999,a726d4d3dfb4c6911f179462cbd03add4717ba3852a8e01becc4ceac079cbd8f,annotator_v4,v0.4
