dataset,batch_name,input_rows,input_sha256,codebook_version,codebook_sha256,prompt_version,prompt_sha256,schema_sha256,skill_sha256,model,reasoning_effort,codex_cli_version,attempt,return_code,status,error,completed_at_utc,token_input_tokens,token_cached_input_tokens,token_output_tokens,token_reasoning_output_tokens,metadata_path
pilot,pilot_batch_001.jsonl,75,bab23d3f844fea5b935d0433982a9d793a36009b4c72510866a7ae0c67bf7693,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,6,0,valid,,2026-06-10T13:52:49.299867+00:00,106656,63488,6351,3205,data/interim/lsc/classification/llm_annotation/codex/pilot/runs/high/pilot_batch_001/attempt_06_metadata.json
pilot,pilot_batch_002.jsonl,75,f0b6defacd50e48e01521fcc08d737da098cb7b7493e8cb18c041ff209cb3514,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,6,0,valid,,2026-06-10T15:50:23.474304+00:00,100366,22016,5650,2500,data/interim/lsc/classification/llm_annotation/codex/pilot/runs/high/pilot_batch_002/attempt_06_metadata.json
pilot,pilot_batch_003.jsonl,50,bfefc386e592968b842b38e852eee10bd6398d6c1d53fa16482efe43ad288e62,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,4,0,valid,,2026-06-10T15:51:57.805228+00:00,62928,24064,4869,2670,data/interim/lsc/classification/llm_annotation/codex/pilot/runs/high/pilot_batch_003/attempt_04_metadata.json
production,annotator_batch_001.jsonl,75,7e00395442a27e08e8a526d7e1fe9899d174945b4d0baa4ba4527b2aa5f7558b,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:11:16.026417+00:00,101301,59904,5437,2148,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_001/attempt_01_metadata.json
production,annotator_batch_002.jsonl,75,eeb76775af42a6f52c124bfd2ef692d96ad3c2927fb7908edd684e5ca37f56e7,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:13:13.316960+00:00,108808,88576,6024,2716,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_002/attempt_01_metadata.json
production,annotator_batch_003.jsonl,75,d20434b67a6ed6285992753abacc1f6dd9e1487f63fdd3e3ca4dbfb731ecc75d,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:15:09.726578+00:00,99707,59392,5861,2553,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_003/attempt_01_metadata.json
production,annotator_batch_004.jsonl,75,fe844fedb14b244c0087b11c7c38d0611437cec2a6a909e1131160ed8bfd4ea9,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:17:09.152975+00:00,108691,64512,6012,2595,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_004/attempt_01_metadata.json
production,annotator_batch_005.jsonl,75,59e8f0e871792e2794326a5d0d54a2e69cf5cbcac65d3693ec2aeae9262b4d83,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:19:06.881097+00:00,100635,58368,5654,2312,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_005/attempt_01_metadata.json
production,annotator_batch_006.jsonl,75,23ebd7f0202321b794c42e380e1c45e0c63ced9468c92464f697d58a3a28705e,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:21:14.965259+00:00,113871,64000,6426,2940,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_006/attempt_01_metadata.json
production,annotator_batch_007.jsonl,75,f2103dda4396ff88ff2ea767bed6cc22d082b605bec47b2e41af8ea27bf6a508,v0.4,21d44cd1dfb3e3917a32b8384bd7ac767008f0900a0dc75268874dacfa6db8a9,annotator_v4,5b1815ce4d22c31f8a2fc3b7a03172b3dd59631868ef1e20b696142ed677cb51,d9f73d56b3106560bbab69f53847c177f8d85ba0a8f2082ffdc36f7e8f5541b5,bae0329ac6abb0c09ba385db613f94a567961a04efe56cb82cd16bbf859bdcb8,gpt-5.5,high,codex-cli 0.136.0,1,0,valid,,2026-06-10T16:23:21.072147+00:00,107705,88576,6554,3261,data/interim/lsc/classification/llm_annotation/codex/production/runs/high/annotator_batch_007/attempt_01_metadata.json
