critic_batch_name,source_batch_name,source_chunk_number,critic_batch_size,rows,annotation_id_start,annotation_id_end,source_input_sha256,source_output_sha256,critic_input_sha256,prompt_version,codebook_version
critic_batch_001_01.jsonl,pilot_batch_001.jsonl,1,10,10,pilot_0001,pilot_0010,bab23d3f844fea5b935d0433982a9d793a36009b4c72510866a7ae0c67bf7693,736eea1781fb97eef5611d1663558b57eebdb17626497038316253d08b0793be,e21b2dabb5b901afde6ad25774ddd288cfb28342417a10afaf980c2d89229705,critic_v5,v0.4
critic_batch_001_02.jsonl,pilot_batch_001.jsonl,2,10,10,pilot_0011,pilot_0020,bab23d3f844fea5b935d0433982a9d793a36009b4c72510866a7ae0c67bf7693,736eea1781fb97eef5611d1663558b57eebdb17626497038316253d08b0793be,99d6cbb9202a6615afda422ddedf29c9087ded2dc72d7281c936d41aace79e8b,critic_v5,v0.4
critic_batch_001_03.jsonl,pilot_batch_001.jsonl,3,10,10,pilot_0021,pilot_0030,bab23d3f844fea5b935d0433982a9d793a36009b4c72510866a7ae0c67bf7693,736eea1781fb97eef5611d1663558b57eebdb17626497038316253d08b0793be,cf716a1f34f07a383334857bb5f5020e58a1b8903f67f9407f612ec28b97b698,critic_v5,v0.4
critic_batch_001_04.jsonl,pilot_batch_001.jsonl,4,10,10,pilot_0031,pilot_0040,bab23d3f844fea5b935d0433982a9d793a36009b4c72510866a7ae0c67bf7693,736eea1781fb97eef5611d1663558b57eebdb17626497038316253d08b0793be,fb8b3ed91ca9094cc8c8cc2f6441e5e2dd5f22e0b72f790980be051755752255,critic_v5,v0.4
critic_batch_001_05.jsonl,pilot_batch_001.jsonl,5,10,10,pilot_0041,pilot_0050,bab23d3f844fea5b935d0433982a9d793a36009b4c72510866a7ae0c67bf7693,736eea1781fb97eef5611d1663558b57eebdb17626497038316253d08b0793be,602cacf548ab1e8ff5d53e677ec08989e90a6317d92165f436eb393039c7e958,critic_v5,v0.4
critic_batch_001_06.jsonl,pilot_batch_001.jsonl,6,10,10,pilot_0051,pilot_0060,bab23d3f844fea5b935d0433982a9d793a36009b4c72510866a7ae0c67bf7693,736eea1781fb97eef5611d1663558b57eebdb17626497038316253d08b0793be,a1584fefceec76a134312f23968e13cbd91e4f374a97ce1ce90db57685e71a4a,critic_v5,v0.4
critic_batch_001_07.jsonl,pilot_batch_001.jsonl,7,10,10,pilot_0061,pilot_0070,bab23d3f844fea5b935d0433982a9d793a36009b4c72510866a7ae0c67bf7693,736eea1781fb97eef5611d1663558b57eebdb17626497038316253d08b0793be,df451d4d6f2483579430478d22b3eabea4890d35420de1efc4e8aa4b9e2364a7,critic_v5,v0.4
critic_batch_001_08.jsonl,pilot_batch_001.jsonl,8,10,5,pilot_0071,pilot_0075,bab23d3f844fea5b935d0433982a9d793a36009b4c72510866a7ae0c67bf7693,736eea1781fb97eef5611d1663558b57eebdb17626497038316253d08b0793be,60cbd8b2c11a71414c8e85b5c659c681644320423fd49a30e71c0c2bfe7ab7bd,critic_v5,v0.4
critic_batch_002_01.jsonl,pilot_batch_002.jsonl,1,10,10,pilot_0076,pilot_0085,f0b6defacd50e48e01521fcc08d737da098cb7b7493e8cb18c041ff209cb3514,2bb8c90cc3dc2f766f3b12518f3183111c9628bb221a5fabee4977088903d97b,27076c979f02bfd68ecccfffdb3939bd8ff6c7d2fe5fcc5d7c26b707e1723763,critic_v5,v0.4
critic_batch_002_02.jsonl,pilot_batch_002.jsonl,2,10,10,pilot_0086,pilot_0095,f0b6defacd50e48e01521fcc08d737da098cb7b7493e8cb18c041ff209cb3514,2bb8c90cc3dc2f766f3b12518f3183111c9628bb221a5fabee4977088903d97b,1fb3e782e53a23d243e932eaf59b2389c963a2d107cd5d03b29e2483fb99b82b,critic_v5,v0.4
