lsc_year,analysis_unit,term_role,target_group,mentions,documents,domains,raw_forms,capped_rows
2014,ADHD,target,ADHD,3118,1829,1264,2,1077
2014,Autism,target,Autism,8283,4756,3108,4,3195
2014,frustration,baseline,baseline,11401,10238,6637,1,186
2014,loneliness,baseline,baseline,3209,2621,1974,1,201
2014,sadness,baseline,baseline,6174,5212,3778,1,258
2015,ADHD,target,ADHD,2344,1479,1093,2,699
2015,Autism,target,Autism,6459,3825,2716,4,2274
2015,frustration,baseline,baseline,8543,7595,5756,1,153
2015,loneliness,baseline,baseline,2759,2265,1756,1,231
2015,sadness,baseline,baseline,4936,4145,3305,1,285
2016,ADHD,target,ADHD,2682,1796,1430,2,729
2016,Autism,target,Autism,7255,4316,3292,4,2460
2016,frustration,baseline,baseline,10068,9003,6917,1,225
2016,loneliness,baseline,baseline,3561,2884,2228,1,276
2016,sadness,baseline,baseline,6011,5057,4088,1,336
2017,ADHD,target,ADHD,2520,1665,1366,2,705
2017,Autism,target,Autism,7021,4152,3352,4,2463
2017,frustration,baseline,baseline,9489,8588,7285,1,165
2017,loneliness,baseline,baseline,3256,2691,2312,1,258
2017,sadness,baseline,baseline,5397,4647,4040,1,210
2018,ADHD,target,ADHD,2702,1756,1502,2,735
2018,Autism,target,Autism,6522,3974,3361,4,2115
2018,frustration,baseline,baseline,9422,8440,7237,1,174
2018,loneliness,baseline,baseline,3430,2749,2480,1,393
2018,sadness,baseline,baseline,5569,4791,4029,1,228
2019,ADHD,target,ADHD,2298,1511,1332,2,618
2019,Autism,target,Autism,5829,3526,3095,4,2067
2019,frustration,baseline,baseline,8615,7720,6793,1,180
2019,loneliness,baseline,baseline,3142,2523,2306,1,276
2019,sadness,baseline,baseline,4490,3859,3547,1,177
2020,ADHD,target,ADHD,2325,1560,1380,2,630
2020,Autism,target,Autism,5302,3266,2914,4,1716
2020,frustration,baseline,baseline,8982,7943,7063,1,276
2020,loneliness,baseline,baseline,4381,3445,3129,1,498
2020,sadness,baseline,baseline,5091,4368,3984,1,246
2021,ADHD,target,ADHD,2362,1595,1360,2,633
2021,Autism,target,Autism,5014,3041,2655,4,1707
2021,frustration,baseline,baseline,7962,7108,6380,1,165
2021,loneliness,baseline,baseline,3852,3024,2636,1,399
2021,sadness,baseline,baseline,4219,3607,3296,1,147
2022,ADHD,target,ADHD,2344,1491,1319,2,729
2022,Autism,target,Autism,4182,2554,2251,4,1374
2022,frustration,baseline,baseline,6963,6275,5595,1,123
2022,loneliness,baseline,baseline,2955,2372,2166,1,267
2022,sadness,baseline,baseline,3768,3229,2906,1,195
2023,ADHD,target,ADHD,1902,1182,1045,2,582
2023,Autism,target,Autism,3507,2072,1848,4,1239
2023,frustration,baseline,baseline,6377,5618,5065,1,150
2023,loneliness,baseline,baseline,2588,1985,1786,1,354
2023,sadness,baseline,baseline,2698,2288,2113,1,141
2024,ADHD,target,ADHD,1738,1085,977,2,534
2024,Autism,target,Autism,3138,1867,1576,4,1131
2024,frustration,baseline,baseline,6881,5957,5369,1,294
2024,loneliness,baseline,baseline,2207,1733,1579,1,276
2024,sadness,baseline,baseline,2341,1949,1741,1,162
2025,ADHD,target,ADHD,1575,1054,937,2,432
2025,Autism,target,Autism,4519,3105,2457,4,1164
2025,frustration,baseline,baseline,6928,5902,5329,1,333
2025,loneliness,baseline,baseline,1993,1566,1462,1,213
2025,sadness,baseline,baseline,1921,1581,1409,1,114
2026,ADHD,target,ADHD,701,435,384,2,228
2026,Autism,target,Autism,1222,711,633,4,444
2026,frustration,baseline,baseline,3851,3276,2957,1,162
2026,loneliness,baseline,baseline,719,573,514,1,84
2026,sadness,baseline,baseline,657,550,500,1,30
