lsc_year,analysis_unit,term_role,target_group,raw_form,mentions,documents,domains,capped_rows
2014,ADHD,target,ADHD,adhd,2527,1596,1099,855
2014,ADHD,target,ADHD,attention_deficit,591,503,412,222
2014,Autism,target,Autism,asd_disambiguated,79,64,56,37
2014,Autism,target,Autism,autism,5849,3587,2426,2406
2014,Autism,target,Autism,autism_spectrum,1049,891,628,408
2014,Autism,target,Autism,autistic,1306,1041,866,344
2014,frustration,baseline,baseline,frustration,11401,10238,6637,186
2014,loneliness,baseline,baseline,loneliness,3209,2621,1974,201
2014,sadness,baseline,baseline,sadness,6174,5212,3778,258
2015,ADHD,target,ADHD,adhd,1823,1241,936,547
2015,ADHD,target,ADHD,attention_deficit,521,437,342,152
2015,Autism,target,Autism,asd_disambiguated,85,77,71,54
2015,Autism,target,Autism,autism,4506,2868,2114,1698
2015,Autism,target,Autism,autism_spectrum,816,679,511,284
2015,Autism,target,Autism,autistic,1052,878,715,238
2015,frustration,baseline,baseline,frustration,8543,7595,5756,153
2015,loneliness,baseline,baseline,loneliness,2759,2265,1756,231
2015,sadness,baseline,baseline,sadness,4936,4145,3305,285
2016,ADHD,target,ADHD,adhd,2166,1548,1254,584
2016,ADHD,target,ADHD,attention_deficit,516,458,386,145
2016,Autism,target,Autism,asd_disambiguated,84,68,64,50
2016,Autism,target,Autism,autism,5027,3271,2503,1745
2016,Autism,target,Autism,autism_spectrum,913,757,642,326
2016,Autism,target,Autism,autistic,1231,1014,880,339
2016,frustration,baseline,baseline,frustration,10068,9003,6917,225
2016,loneliness,baseline,baseline,loneliness,3561,2884,2228,276
2016,sadness,baseline,baseline,sadness,6011,5057,4088,336
2017,ADHD,target,ADHD,adhd,2090,1474,1200,567
2017,ADHD,target,ADHD,attention_deficit,430,376,342,138
2017,Autism,target,Autism,asd_disambiguated,64,62,58,34
2017,Autism,target,Autism,autism,4914,3136,2526,1829
2017,Autism,target,Autism,autism_spectrum,883,729,648,286
2017,Autism,target,Autism,autistic,1160,932,839,314
2017,frustration,baseline,baseline,frustration,9489,8588,7285,165
2017,loneliness,baseline,baseline,loneliness,3256,2691,2312,258
2017,sadness,baseline,baseline,sadness,5397,4647,4040,210
2018,ADHD,target,ADHD,adhd,2229,1549,1319,595
2018,ADHD,target,ADHD,attention_deficit,473,410,382,140
2018,Autism,target,Autism,asd_disambiguated,86,80,71,47
2018,Autism,target,Autism,autism,4471,2983,2526,1501
2018,Autism,target,Autism,autism_spectrum,885,740,687,293
2018,Autism,target,Autism,autistic,1080,881,784,274
2018,frustration,baseline,baseline,frustration,9422,8440,7237,174
2018,loneliness,baseline,baseline,loneliness,3430,2749,2480,393
2018,sadness,baseline,baseline,sadness,5569,4791,4029,228
2019,ADHD,target,ADHD,adhd,1940,1347,1183,510
2019,ADHD,target,ADHD,attention_deficit,358,311,296,108
2019,Autism,target,Autism,asd_disambiguated,88,75,71,48
2019,Autism,target,Autism,autism,4081,2710,2374,1480
2019,Autism,target,Autism,autism_spectrum,777,666,632,278
2019,Autism,target,Autism,autistic,883,703,659,261
2019,frustration,baseline,baseline,frustration,8615,7720,6793,180
2019,loneliness,baseline,baseline,loneliness,3142,2523,2306,276
2019,sadness,baseline,baseline,sadness,4490,3859,3547,177
2020,ADHD,target,ADHD,adhd,1949,1396,1231,509
2020,ADHD,target,ADHD,attention_deficit,376,321,314,121
2020,Autism,target,Autism,asd_disambiguated,74,61,60,36
2020,Autism,target,Autism,autism,3505,2410,2164,1133
2020,Autism,target,Autism,autism_spectrum,776,652,612,231
2020,Autism,target,Autism,autistic,947,742,691,316
2020,frustration,baseline,baseline,frustration,8982,7943,7063,276
2020,loneliness,baseline,baseline,loneliness,4381,3445,3129,498
2020,sadness,baseline,baseline,sadness,5091,4368,3984,246
2021,ADHD,target,ADHD,adhd,1958,1398,1186,515
2021,ADHD,target,ADHD,attention_deficit,404,349,324,118
2021,Autism,target,Autism,asd_disambiguated,66,56,54,40
2021,Autism,target,Autism,autism,3287,2227,1977,1127
2021,Autism,target,Autism,autism_spectrum,726,616,560,219
2021,Autism,target,Autism,autistic,935,712,654,321
2021,frustration,baseline,baseline,frustration,7962,7108,6380,165
