metric,value
run_completed_utc,2026-06-23T12:44:01Z
source_documents,336178
documents_with_candidate_terms,336178
raw_matches_before_overlap_resolution,664606
matches_after_overlap_resolution,643735
acronym_expansion_collapse_groups,9232
acronym_expansion_mentions_removed,10709
matches_after_acronym_expansion_collapse,633026
mention_context_rows_before_publication_filter,465400
unique_documents_before_publication_filter,336144
missing_or_unparseable_published_ts_rows,10608
published_before_lsc_window_rows,161122
published_after_lsc_window_rows,0
publication_year_start,2014
publication_year_end,2026
mention_context_rows_after_cap,293670
unique_documents_with_context,212651
unique_domains_with_context,135771
mention_cap_per_doc_analysis_unit,3
doc_analysis_unit_groups_seen,361664
doc_analysis_unit_groups_capped,21778
rows_from_capped_doc_units,40521
