lsc_year,published_year,source_year,analysis_unit,raw_form,matched_text,collapsed_raw_forms,collapsed_matched_texts,collapsed_match_count,acronym_expansion_collapsed,registered_domain,url,target_sentence,token_window_5,target_sentence_plus_adjacent
2014,2014,2019,ADHD,adhd,ADHD,adhd,ADHD,1,False,pearltrees.com,http://www.pearltrees.com/u/27992034-welcome-teaching-makes-sense,It is not intended to be a substitute for the care of a physician with expertise in ADHD and its comorbidities.,a physician with expertise in ADHD and its comorbidities. Never,"Help Advanced Search Children - CADDRA - Canadian ADHD Resource Alliance The information provided on this website is for informational purposes only and is not intended to be professional medical advice, diagnosis, treatment or care. It is not intended to be a substitute for the care of a physician with expertise in ADHD and its comorbidities. Never disregard professional medical advice or delay in seeking it because of something you have read on this website."
2014,2014,2015,ADHD,adhd,ADHD,adhd,ADHD,1,False,wkhs.com,http://www.wkhs.com/Heart/Education/News.aspx?chunkiid=903369,"The team did the same for 2,250 youngsters with ADHD and 5,600 without.","2,250 youngsters with ADHD and 5,600 without","In total, they looked at the antidepressant use of mothers of 1,400 children diagnosed with an autism spectrum disorder and 4,000 kids without the condition. The team did the same for 2,250 youngsters with ADHD and 5,600 without. Initial results suggested that taking antidepressants during pregnancy did increase the risk of both autism and ADHD in children."
2014,2014,2015,ADHD,adhd,ADHD,adhd,ADHD,1,False,mercola.com,http://articles.mercola.com/sites/articles/archive/2014/03/13/acetaminophen-pregnancy.aspx,"Over 50 percent of the women reported taking acetaminophen while pregnant, which was found to be linked to: - A 30 percent increased risk for ADHD in the child during the first seven years of life - 37 percent increased risk of being diagnosed with hyperkinetic disorder (HKD), a severe form of ADHD Behavioral effects appeared to be dose dependent.",", a severe form of ADHD Behavioral effects appeared to be","” The study included data from more than 64,000 mothers and children in the Danish National Birth Cohort. Over 50 percent of the women reported taking acetaminophen while pregnant, which was found to be linked to: - A 30 percent increased risk for ADHD in the child during the first seven years of life - 37 percent increased risk of being diagnosed with hyperkinetic disorder (HKD), a severe form of ADHD Behavioral effects appeared to be dose dependent. The more frequent the use of acetaminophen during pregnancy, the higher the offspring’s chances of being diagnosed with ADHD-related problems."
2015,2015,2015,ADHD,adhd,ADHD,adhd,ADHD,1,False,flinger.us,http://mrs.flinger.us/blog/entry/im_a_libertarian_not_an_asshole/P30/,"Read more Adult ADHD Apr 14, 2013 #Life#ADHD#Getting to know me#Working Mom I was counting the railroad tiles out the window when my facilitator read, “Is often prone to daydreaming…” Yes, I thought, my daughter does that!",".. Read more Adult ADHD Apr 14, 2013 #","How can you travel and leave your... Read more Adult ADHD Apr 14, 2013 #Life#ADHD#Getting to know me#Working Mom I was counting the railroad tiles out the window when my facilitator read, “Is often prone to daydreaming…” Yes, I thought, my daughter does that! I take a note to remember that frequent daydreaming is a sign of ADHD."
2015,2015,2017,ADHD,adhd,ADHD,adhd,ADHD,1,False,ds-hifi.ru,http://ds-hifi.ru/binary-options-indicator-v2-zopim.html,"In an effort to optimize outcome, comorbid disorders should be targeted for treatment along with the ADHD symptoms.",for treatment along with the ADHD symptoms. The integral over,"Print a message and quit o ptions script echo pYou have successfully registered (but not really). In an effort to optimize outcome, comorbid disorders should be targeted for treatment along with the ADHD symptoms. The integral over 01 (or over (3) in (C."
2015,2015,2015,ADHD,adhd,ADHD,adhd,ADHD,1,False,stanford.edu,http://lane.stanford.edu/biomed-resources/ebsubjectbrowse.html?m=Psychopharmacology,"- The Clinicians Guide to ADHD combines the useful diagnostic and treatment approaches advocated in different guidelines with insights from other sources, including recent literature reviews and web resources.",- The Clinicians Guide to ADHD combines the useful diagnostic and,"Clearly written, the text provides immediate access to new developments across the spectrum of drug testing, written by the leaders in the field""--Provided by publisher. - The Clinicians Guide to ADHD combines the useful diagnostic and treatment approaches advocated in different guidelines with insights from other sources, including recent literature reviews and web resources. The aim is to provide clinicians with clear, concise, and reliable advice on how to approach this complex disorder."
2016,2016,2016,ADHD,adhd,ADHD,adhd,ADHD,1,False,medilexicon.com,http://www.medilexicon.com/drugs/adderall_xr.php,"Adderall XR Company: Shire PharmaceuticalsApproval Status: Approved October 2001 Treatment for: Attention deficit/hyperactivity disorder (ADHD) Areas: Pediatrics; Psychiatry / Psychiatric Possible similar drugs: Adderall | General Information | Clinical Results | Side Effects | Mechanism of Action | Additional Information | General Information Adderall XR, an extended release formulation of Shire's previously approved ADHD treatment Adderall, has been approved for treatment of ADHD in children.","formulation of Shire's previously approved ADHD treatment Adderall, has been","Adderall XR Company: Shire PharmaceuticalsApproval Status: Approved October 2001 Treatment for: Attention deficit/hyperactivity disorder (ADHD) Areas: Pediatrics; Psychiatry / Psychiatric Possible similar drugs: Adderall | General Information | Clinical Results | Side Effects | Mechanism of Action | Additional Information | General Information Adderall XR, an extended release formulation of Shire's previously approved ADHD treatment Adderall, has been approved for treatment of ADHD in children. This once-daily capsule provides all day treatment with one morning dose, unlike most ADHD treatments that require a midday dose."
2016,2016,2019,ADHD,attention_deficit,Attention Deficit,adhd|attention_deficit,ADHD | Attention Deficit,2,True,knotsblogging.com,http://www.knotsblogging.com/2016/03/knots-landing-episode-021-of-344.html,The Fairgates find out that Michael suffers from ADHD (Attention Deficit Hyperactive Disorder).,Michael suffers from ADHD (Attention Deficit Hyperactive Disorder). Sid,Com):. The Fairgates find out that Michael suffers from ADHD (Attention Deficit Hyperactive Disorder). Sid hires Abby as the bookkeeper for Knots Landing Motors.
2016,2016,2016,ADHD,attention_deficit,attention deficit,adhd|attention_deficit,attention deficit | ADHD,2,True,therapyplayground.com,http://therapyplayground.com/,"We have experience working with a variety of individuals; diagnoses to include autism, attention deficit hyperactivity disorder (ADHD), cerebral palsy, hemiplegia, traumatic Our Physical Therapists will evaluate and treat gross motor coordinative disorders as well as equipment needs of children.","diagnoses to include autism, attention deficit hyperactivity disorder (ADHD)","Communication disorders we are able Our Occupational Therapists will evaluate and treat fine motor coordinative disorders as well as sensory integrative disorders of children. We have experience working with a variety of individuals; diagnoses to include autism, attention deficit hyperactivity disorder (ADHD), cerebral palsy, hemiplegia, traumatic Our Physical Therapists will evaluate and treat gross motor coordinative disorders as well as equipment needs of children. We have experience working with a variety of individuals; diagnoses to include autism, spina bifida, cerebral palsy, hemiplegia, traumatic brain injury, developmental delays, Pediatric Speech, Occupational, Physical, and Feeding Therapy Our mission is to provide speech, occupational, physical, feeding, and play-based therapy."
2017,2017,2023,ADHD,adhd,ADHD,adhd,ADHD,1,False,mommaaddict.com,https://www.mommaaddict.com/kids-are-more-than-what-they-eat/,"Eating daily processed foods did not give my kids autism, or diabetes or ADHD.","autism, or diabetes or ADHD. There are actually a","I am not recommending anyone do this, but no awful consequences happened to my kids. Eating daily processed foods did not give my kids autism, or diabetes or ADHD. There are actually a variety of other risk factors that lead people to breakdown foods, medications, vaccines in a different manner than the majority."
