lsc_year,analysis_unit,registered_domain,mentions,documents,total_mentions_for_year_unit,mention_share,domain_rank
2014,ADHD,naturalnews.com,264,145,3118,0.08466966003848621,1
2014,ADHD,additudemag.com,101,35,3118,0.03239255933290571,2
2014,ADHD,help4adhd.org,54,18,3118,0.01731879409878127,3
2014,ADHD,sparkshealth.com,34,12,3118,0.010904425914047467,4
2014,ADHD,psychologytoday.com,30,17,3118,0.009621552277100705,5
2014,ADHD,madisonriveroaks.com,25,9,3118,0.008017960230917255,6
2014,ADHD,myhighplains.com,21,21,3118,0.006735086593970494,7
2014,ADHD,healthyplace.com,20,8,3118,0.006414368184733804,8
2014,ADHD,psychcentral.com,20,7,3118,0.006414368184733804,9
2014,ADHD,lnrmc.com,18,7,3118,0.005772931366260423,10
2014,Autism,wksu.org,98,45,8283,0.011831462030665218,1
2014,Autism,wypr.org,75,25,8283,0.009054690329590729,2
2014,Autism,science20.com,58,31,8283,0.007002293854883496,3
2014,Autism,autismafter16.com,53,19,8283,0.0063986478329107815,4
2014,Autism,bellaonline.com,47,41,8283,0.005674272606543523,5
2014,Autism,ageofautism.com,43,15,8283,0.0051913557889653504,6
2014,Autism,cnn.com,42,21,8283,0.0050706265845708075,7
2014,Autism,naturalnews.com,33,17,8283,0.00398406374501992,8
2014,Autism,technologynetworks.com,33,22,8283,0.00398406374501992,9
2014,Autism,sharp.com,32,19,8283,0.0038633345406253773,10
2014,frustration,harrypotterfanfiction.com,114,94,11401,0.009999122883957547,1
2014,frustration,phassociation.org,59,47,11401,0.005174984650469257,2
2014,frustration,astrotheme.com,54,54,11401,0.0047364266292430485,3
2014,frustration,xnxx.com,54,42,11401,0.0047364266292430485,4
2014,frustration,wordpress.com,50,41,11401,0.004385580212262082,5
2014,frustration,theday.com,44,39,11401,0.0038593105867906325,6
2014,frustration,starizona.com,42,42,11401,0.0036838873783001493,7
2014,frustration,drdobbs.com,40,31,11401,0.0035084641698096657,8
2014,frustration,go.com,33,32,11401,0.0028944829400929743,9
2014,frustration,nytimes.com,33,31,11401,0.0028944829400929743,10
2014,loneliness,astrotheme.com,187,124,3209,0.058273605484574637,1
2014,loneliness,adelaide.edu.au,79,51,3209,0.024618261140542226,2
2014,loneliness,aevitascreative.com,31,13,3209,0.009660330320972266,3
2014,loneliness,hollywood.com,23,19,3209,0.007167341851043939,4
2014,loneliness,harrypotterfanfiction.com,21,15,3209,0.006544094733561857,5
2014,loneliness,sibley.org,21,7,3209,0.006544094733561857,6
2014,loneliness,poetrysoup.com,19,15,3209,0.005920847616079776,7
2014,loneliness,jewishgen.org,17,14,3209,0.005297600498597694,8
2014,loneliness,mayoclinic.org,14,10,3209,0.004362729822374571,9
2014,loneliness,enotes.com,13,11,3209,0.0040511062636335304,10
2014,sadness,harrypotterfanfiction.com,107,85,6174,0.01733074182053774,1
2014,sadness,adelaide.edu.au,92,67,6174,0.014901198574667962,2
2014,sadness,phassociation.org,84,45,6174,0.013605442176870748,3
2014,sadness,jewishgen.org,50,36,6174,0.008098477486232589,4
2014,sadness,wordpress.com,37,29,6174,0.005992873339812115,5
2014,sadness,xnxx.com,24,18,6174,0.003887269193391642,6
2014,sadness,poetrysoup.com,22,13,6174,0.0035633300939423387,7
2014,sadness,blogspot.com,18,16,6174,0.0029154518950437317,8
2014,sadness,blogspot.com.au,18,10,6174,0.0029154518950437317,9
2014,sadness,typepad.com,18,13,6174,0.0029154518950437317,10
2015,ADHD,psychologytoday.com,58,28,2344,0.024744027303754267,1
2015,ADHD,flinger.us,52,20,2344,0.02218430034129693,2
2015,ADHD,rightdiagnosis.com,49,21,2344,0.020904436860068258,3
2015,ADHD,softtalk.ru,30,22,2344,0.012798634812286689,4
2015,ADHD,familyeducation.com,25,12,2344,0.010665529010238909,5
2015,ADHD,medicinenet.com,21,9,2344,0.008959044368600682,6
2015,ADHD,sutterhealth.org,19,9,2344,0.008105802047781569,7
2015,ADHD,additudemag.com,15,5,2344,0.0063993174061433445,8
2015,ADHD,mayoclinic.org,15,8,2344,0.0063993174061433445,9
2015,ADHD,nih.gov,15,7,2344,0.0063993174061433445,10
2015,Autism,technologynetworks.com,75,45,6459,0.011611704598235021,1
2015,Autism,malegislature.gov,55,33,6459,0.008515250038705681,2
2015,Autism,mercyhurst.edu,48,16,6459,0.0074314909428704135,3
2015,Autism,bartlesvilleradio.com,46,31,6459,0.007121845486917479,4
2015,Autism,nih.gov,44,21,6459,0.006812200030964545,5
2015,Autism,psychologytoday.com,39,29,6459,0.006038086391082211,6
2015,Autism,medicinenet.com,38,13,6459,0.005883263663105744,7
2015,Autism,bellaonline.com,30,14,6459,0.004644681839294009,8
2015,Autism,lenconnect.com,30,10,6459,0.004644681839294009,9
2015,Autism,utsandiego.com,25,14,6459,0.003870568199411674,10
2015,frustration,astrotheme.com,60,58,8543,0.007023293924850755,1
2015,frustration,utsandiego.com,52,50,8543,0.006086854734870654,2
2015,frustration,partselect.com,30,30,8543,0.0035116469624253775,3
2015,frustration,football.co.uk,29,28,8543,0.0033945920636778647,4
2015,frustration,unionleader.com,25,21,8543,0.0029263724686878147,5
2015,frustration,blogspot.com,24,22,8543,0.002809317569940302,6
2015,frustration,oclc.org,22,18,8543,0.002575207772445277,7
2015,frustration,rollcall.com,21,16,8543,0.002458152873697764,8
2015,frustration,irishtimes.com,20,17,8543,0.0023410979749502515,9
2015,frustration,hertzfurniture.com,19,19,8543,0.002224043076202739,10
2015,loneliness,astrotheme.com,211,130,2759,0.07647698441464298,1
2015,loneliness,peta.org,60,60,2759,0.021747009786154403,2
2015,loneliness,enotes.com,25,19,2759,0.009061254077564335,3
2015,loneliness,poetrysoup.com,16,14,2759,0.005799202609641174,4
2015,loneliness,charismamag.com,10,5,2759,0.003624501631025734,5
2015,loneliness,deviantart.com,10,9,2759,0.003624501631025734,6
2015,loneliness,flinger.us,9,9,2759,0.0032620514679231605,7
2015,loneliness,hyperion-records.co.uk,9,9,2759,0.0032620514679231605,8
2015,loneliness,butnotasweknowit.com,8,4,2759,0.002899601304820587,9
2015,loneliness,celestialhealing.com,8,4,2759,0.002899601304820587,10
2015,sadness,poetrysoup.com,36,20,4936,0.007293354943273906,1
2015,sadness,blogspot.com,24,16,4936,0.004862236628849271,2
2015,sadness,deviantart.com,23,20,4936,0.004659643435980551,3
2015,sadness,hyperion-records.co.uk,22,17,4936,0.004457050243111832,4
2015,sadness,wordpress.com,21,15,4936,0.0042544570502431114,5
2015,sadness,mayoclinic.org,16,10,4936,0.0032414910858995136,6
2015,sadness,yadadarcyyada.com,16,8,4936,0.0032414910858995136,7
2015,sadness,campclem.com,15,15,4936,0.0030388978930307943,8
2015,sadness,enotes.com,15,11,4936,0.0030388978930307943,9
2015,sadness,bestpricecaskets.com,14,14,4936,0.0028363047001620746,10
