lsc_year,analysis_unit,frame_stratum,term_role,target_group,breadth_mean_pairwise_cosine_distance,sampled_contexts,sampled_documents,sampled_domains,contexts_truncated_for_model,bootstrap_repetitions,bootstrap_unit,breadth_bootstrap_mean,breadth_ci_low,breadth_ci_high,available_contexts,markable_contexts,unmarkable_contexts,unmarkable_share,cap_applied,sampling_policy,top_domain,top_domain_share,max_contexts_per_unit_year_frame,small_cell_flag
2014,ADHD,clinical_only,target,ADHD,0.15040563348081604,1220,808,663,39,500,doc_id,0.15033600773462416,0.14417974027470273,0.15663372477327106,1286,1220,0,0.0,False,all_markable_target_contexts,naturalnews.com,0.021311475409836064,-1,False
2015,ADHD,clinical_only,target,ADHD,0.15362418382623833,1130,774,586,40,500,doc_id,0.1532772359451891,0.14595279252408858,0.16004474130037846,1203,1130,0,0.0,False,all_markable_target_contexts,rightdiagnosis.com,0.02566371681415929,-1,False
2016,ADHD,clinical_only,target,ADHD,0.15320056274910343,1097,790,662,36,500,doc_id,0.15315185427825076,0.14596242825268677,0.16067586666365283,1149,1097,0,0.0,False,all_markable_target_contexts,wellesley.edu,0.023701002734731084,-1,False
2017,ADHD,clinical_only,target,ADHD,0.14328008914966062,1048,751,655,27,500,doc_id,0.14309590103891587,0.13572171720471263,0.14989664802534522,1099,1048,0,0.0,False,all_markable_target_contexts,rehabs.com,0.01812977099236641,-1,False
2018,ADHD,clinical_only,target,ADHD,0.13956994106615817,1128,787,719,29,500,doc_id,0.1392909111969638,0.13228194575583876,0.14606584994145666,1182,1128,0,0.0,False,all_markable_target_contexts,bedford.gov.uk,0.015070921985815602,-1,False
2019,ADHD,clinical_only,target,ADHD,0.1376910598413843,950,674,619,36,500,doc_id,0.13772911027662874,0.12988849091634924,0.14580170578891394,1000,950,0,0.0,False,all_markable_target_contexts,flavio.pl,0.009473684210526316,-1,False
2020,ADHD,clinical_only,target,ADHD,0.13609652936662364,918,668,622,28,500,doc_id,0.1360640897342526,0.12806664123456482,0.1434750781626315,959,918,0,0.0,False,all_markable_target_contexts,digication.com,0.006535947712418301,-1,False
2021,ADHD,clinical_only,target,ADHD,0.14647486128840637,890,636,579,43,500,doc_id,0.1462082953080365,0.13873500734149602,0.15363113881547827,928,890,0,0.0,False,all_markable_target_contexts,suffolkfamilytherapy.com,0.012359550561797753,-1,False
2022,ADHD,clinical_only,target,ADHD,0.13808059668764838,881,634,595,29,500,doc_id,0.13814810591225432,0.13011817478337595,0.14629995651189823,930,881,0,0.0,False,all_markable_target_contexts,thestudiolife.com,0.01362088535754824,-1,False
2023,ADHD,clinical_only,target,ADHD,0.1407110182821235,719,477,446,18,500,doc_id,0.14044259289498057,0.13204417466910642,0.14819478309865416,750,719,0,0.0,False,all_markable_target_contexts,turningwinds.com,0.02364394993045897,-1,False
2024,ADHD,clinical_only,target,ADHD,0.13537776396233026,668,457,430,13,500,doc_id,0.13515379820764437,0.12679275349432953,0.1434072298381278,704,668,0,0.0,False,all_markable_target_contexts,betterhelp.com,0.01347305389221557,-1,False
2025,ADHD,clinical_only,target,ADHD,0.12753023448264278,546,380,363,24,500,doc_id,0.12734502177035084,0.11772816323236143,0.1371149616127666,578,546,0,0.0,False,all_markable_target_contexts,brainhealthusa.com,0.016483516483516484,-1,False
2026,ADHD,clinical_only,target,ADHD,0.1301464267943192,259,170,157,9,500,doc_id,0.13005175407837105,0.11389594557135738,0.1444909817637442,271,259,0,0.0,False,all_markable_target_contexts,perdertimidez.com,0.023166023166023165,-1,False
2014,ADHD,lived_only,target,ADHD,0.07981132615666509,296,243,209,4,500,doc_id,0.07963147419749098,0.06700848098656494,0.09167257040783858,310,296,0,0.0,False,all_markable_target_contexts,additudemag.com,0.07432432432432433,-1,False
2015,ADHD,lived_only,target,ADHD,0.08398173385733598,204,169,151,3,500,doc_id,0.08394077043025167,0.06984927946570178,0.10097391664100985,216,204,0,0.0,False,all_markable_target_contexts,flinger.us,0.0392156862745098,-1,False
2016,ADHD,lived_only,target,ADHD,0.07651165735065357,294,245,229,2,500,doc_id,0.07591211183542969,0.06414446833654151,0.0887909028194399,309,294,0,0.0,False,all_markable_target_contexts,additudemag.com,0.023809523809523808,-1,False
2017,ADHD,lived_only,target,ADHD,0.07505369415807561,291,241,223,4,500,doc_id,0.07506697472529938,0.06179749558877236,0.08885220238920793,303,291,0,0.0,False,all_markable_target_contexts,rainbowsaretoobeautiful.com,0.024054982817869417,-1,False
2018,ADHD,lived_only,target,ADHD,0.09964368276598878,261,216,201,2,500,doc_id,0.0991674580911556,0.08232852239203393,0.11474571720917054,269,261,0,0.0,False,all_markable_target_contexts,additudemag.com,0.03065134099616858,-1,False
2019,ADHD,lived_only,target,ADHD,0.06592363744383556,278,223,206,9,500,doc_id,0.06516634563277722,0.054554903912951286,0.07669675934158755,299,278,0,0.0,False,all_markable_target_contexts,themotivationhotel.com,0.04316546762589928,-1,False
2020,ADHD,lived_only,target,ADHD,0.08143520241639945,296,240,227,3,500,doc_id,0.08096716329100948,0.06933386668491859,0.09301425465939074,312,296,0,0.0,False,all_markable_target_contexts,mynoise.net,0.02027027027027027,-1,False
