analysis_unit,lsc_year,frame_stratum,term_role,target_group,raw_form,sampled_contexts,sampled_documents,raw_form_context_share
ADHD,2014,clinical_only,target,ADHD,adhd,843,639,0.690983606557377
ADHD,2014,clinical_only,target,ADHD,attention_deficit,377,329,0.30901639344262294
ADHD,2014,lived_only,target,ADHD,adhd,276,231,0.9324324324324325
ADHD,2014,lived_only,target,ADHD,attention_deficit,20,20,0.06756756756756757
ADHD,2014,mixed,target,ADHD,adhd,143,125,0.8265895953757225
ADHD,2014,mixed,target,ADHD,attention_deficit,30,29,0.17341040462427745
ADHD,2014,substantive_core_overall,target,ADHD,adhd,1262,915,0.7471876850207223
ADHD,2014,substantive_core_overall,target,ADHD,attention_deficit,427,373,0.2528123149792777
ADHD,2015,clinical_only,target,ADHD,adhd,776,588,0.6867256637168142
ADHD,2015,clinical_only,target,ADHD,attention_deficit,354,312,0.31327433628318585
ADHD,2015,lived_only,target,ADHD,adhd,190,160,0.9313725490196079
ADHD,2015,lived_only,target,ADHD,attention_deficit,14,13,0.06862745098039216
ADHD,2015,mixed,target,ADHD,adhd,103,95,0.865546218487395
ADHD,2015,mixed,target,ADHD,attention_deficit,16,16,0.13445378151260504
ADHD,2015,substantive_core_overall,target,ADHD,adhd,1069,797,0.735719201651755
ADHD,2015,substantive_core_overall,target,ADHD,attention_deficit,384,340,0.264280798348245
ADHD,2016,clinical_only,target,ADHD,adhd,769,615,0.7010027347310848
ADHD,2016,clinical_only,target,ADHD,attention_deficit,328,301,0.29899726526891524
ADHD,2016,lived_only,target,ADHD,adhd,284,240,0.9659863945578231
ADHD,2016,lived_only,target,ADHD,attention_deficit,10,10,0.034013605442176874
ADHD,2016,mixed,target,ADHD,adhd,153,132,0.9107142857142857
ADHD,2016,mixed,target,ADHD,attention_deficit,15,14,0.08928571428571429
ADHD,2016,substantive_core_overall,target,ADHD,adhd,1206,925,0.7735728030788968
ADHD,2016,substantive_core_overall,target,ADHD,attention_deficit,353,324,0.22642719692110327
ADHD,2017,clinical_only,target,ADHD,adhd,751,597,0.7166030534351145
ADHD,2017,clinical_only,target,ADHD,attention_deficit,297,270,0.2833969465648855
ADHD,2017,lived_only,target,ADHD,adhd,276,233,0.9484536082474226
ADHD,2017,lived_only,target,ADHD,attention_deficit,15,15,0.05154639175257732
ADHD,2017,mixed,target,ADHD,adhd,160,140,0.8888888888888888
ADHD,2017,mixed,target,ADHD,attention_deficit,20,20,0.1111111111111111
ADHD,2017,substantive_core_overall,target,ADHD,adhd,1187,905,0.781435154707044
ADHD,2017,substantive_core_overall,target,ADHD,attention_deficit,332,303,0.2185648452929559
ADHD,2018,clinical_only,target,ADHD,adhd,835,645,0.7402482269503546
ADHD,2018,clinical_only,target,ADHD,attention_deficit,293,256,0.25975177304964536
ADHD,2018,lived_only,target,ADHD,adhd,235,196,0.9003831417624522
ADHD,2018,lived_only,target,ADHD,attention_deficit,26,26,0.09961685823754789
ADHD,2018,mixed,target,ADHD,adhd,151,134,0.888235294117647
ADHD,2018,mixed,target,ADHD,attention_deficit,19,19,0.11176470588235295
ADHD,2018,substantive_core_overall,target,ADHD,adhd,1221,911,0.7831943553559975
ADHD,2018,substantive_core_overall,target,ADHD,attention_deficit,338,297,0.21680564464400257
ADHD,2019,clinical_only,target,ADHD,adhd,713,556,0.7505263157894737
ADHD,2019,clinical_only,target,ADHD,attention_deficit,237,214,0.24947368421052632
ADHD,2019,lived_only,target,ADHD,adhd,268,214,0.9640287769784173
ADHD,2019,lived_only,target,ADHD,attention_deficit,10,10,0.03597122302158273
ADHD,2019,mixed,target,ADHD,adhd,121,108,0.8962962962962963
ADHD,2019,mixed,target,ADHD,attention_deficit,14,14,0.1037037037037037
ADHD,2019,substantive_core_overall,target,ADHD,adhd,1102,831,0.8085106382978723
ADHD,2019,substantive_core_overall,target,ADHD,attention_deficit,261,235,0.19148936170212766
ADHD,2020,clinical_only,target,ADHD,adhd,679,553,0.7396514161220044
ADHD,2020,clinical_only,target,ADHD,attention_deficit,239,214,0.26034858387799564
ADHD,2020,lived_only,target,ADHD,adhd,284,231,0.9594594594594594
ADHD,2020,lived_only,target,ADHD,attention_deficit,12,11,0.04054054054054054
ADHD,2020,mixed,target,ADHD,adhd,127,116,0.8819444444444444
ADHD,2020,mixed,target,ADHD,attention_deficit,17,17,0.11805555555555555
ADHD,2020,substantive_core_overall,target,ADHD,adhd,1090,851,0.8026509572901326
ADHD,2020,substantive_core_overall,target,ADHD,attention_deficit,268,241,0.19734904270986744
ADHD,2021,clinical_only,target,ADHD,adhd,633,497,0.7112359550561798
ADHD,2021,clinical_only,target,ADHD,attention_deficit,257,231,0.28876404494382024
ADHD,2021,lived_only,target,ADHD,adhd,269,219,0.9307958477508651
ADHD,2021,lived_only,target,ADHD,attention_deficit,20,19,0.06920415224913495
ADHD,2021,mixed,target,ADHD,adhd,149,135,0.8922155688622755
ADHD,2021,mixed,target,ADHD,attention_deficit,18,18,0.10778443113772455
ADHD,2021,substantive_core_overall,target,ADHD,adhd,1051,789,0.7808320950965825
ADHD,2021,substantive_core_overall,target,ADHD,attention_deficit,295,267,0.21916790490341753
ADHD,2022,clinical_only,target,ADHD,adhd,658,523,0.7468785471055619
ADHD,2022,clinical_only,target,ADHD,attention_deficit,223,209,0.25312145289443816
ADHD,2022,lived_only,target,ADHD,adhd,314,246,0.9515151515151515
ADHD,2022,lived_only,target,ADHD,attention_deficit,16,16,0.048484848484848485
ADHD,2022,mixed,target,ADHD,adhd,160,135,0.8938547486033519
ADHD,2022,mixed,target,ADHD,attention_deficit,19,19,0.10614525139664804
ADHD,2022,substantive_core_overall,target,ADHD,adhd,1132,817,0.814388489208633
ADHD,2022,substantive_core_overall,target,ADHD,attention_deficit,258,243,0.1856115107913669
ADHD,2023,clinical_only,target,ADHD,adhd,504,376,0.7009735744089013
ADHD,2023,clinical_only,target,ADHD,attention_deficit,215,189,0.29902642559109877
ADHD,2023,lived_only,target,ADHD,adhd,258,202,0.9247311827956989
ADHD,2023,lived_only,target,ADHD,attention_deficit,21,20,0.07526881720430108
ADHD,2023,mixed,target,ADHD,adhd,132,114,0.8918918918918919
ADHD,2023,mixed,target,ADHD,attention_deficit,16,16,0.10810810810810811
ADHD,2023,substantive_core_overall,target,ADHD,adhd,893,640,0.7799126637554585
ADHD,2023,substantive_core_overall,target,ADHD,attention_deficit,252,225,0.2200873362445415
ADHD,2024,clinical_only,target,ADHD,adhd,482,368,0.7215568862275449
ADHD,2024,clinical_only,target,ADHD,attention_deficit,186,166,0.27844311377245506
ADHD,2024,lived_only,target,ADHD,adhd,275,221,0.9515570934256056
ADHD,2024,lived_only,target,ADHD,attention_deficit,14,14,0.04844290657439446
ADHD,2024,mixed,target,ADHD,adhd,133,112,0.910958904109589
ADHD,2024,mixed,target,ADHD,attention_deficit,13,13,0.08904109589041095
ADHD,2024,substantive_core_overall,target,ADHD,adhd,890,638,0.8068902991840435
ADHD,2024,substantive_core_overall,target,ADHD,attention_deficit,213,191,0.1931097008159565
