analysis_unit,lsc_year,frame_stratum,available_contexts,markable_contexts_before_dedupe,markable_contexts,sampled_contexts,sampled_documents,sampled_domains,target_sentence_contexts,adjacent_contexts,top_domain,top_domain_share,unmarkable_contexts,duplicate_marked_contexts_removed,unmarkable_share,cap_applied,sampling_policy,max_contexts_per_unit_year_frame,small_cell_flag
ADHD,2014,clinical_only,1286,1286,1220,1220,808,663,1196,24,naturalnews.com,0.021311475409836064,0,66,0.0,False,all_markable_target_contexts,-1,False
ADHD,2014,lived_only,310,310,296,296,243,209,291,5,additudemag.com,0.07432432432432433,0,14,0.0,False,all_markable_target_contexts,-1,False
ADHD,2014,mixed,183,183,173,173,152,133,170,3,rrstar.com,0.03468208092485549,0,10,0.0,False,all_markable_target_contexts,-1,False
ADHD,2014,substantive_core_overall,1779,1779,1689,1689,1093,874,1657,32,additudemag.com,0.02486678507992895,0,90,0.0,False,all_markable_target_contexts,-1,False
ADHD,2015,clinical_only,1203,1203,1130,1130,774,586,1101,29,rightdiagnosis.com,0.02566371681415929,0,73,0.0,False,all_markable_target_contexts,-1,False
ADHD,2015,lived_only,216,216,204,204,169,151,199,5,flinger.us,0.0392156862745098,0,12,0.0,False,all_markable_target_contexts,-1,False
ADHD,2015,mixed,128,128,119,119,109,99,113,6,flinger.us,0.05042016806722689,0,9,0.0,False,all_markable_target_contexts,-1,False
ADHD,2015,substantive_core_overall,1547,1547,1453,1453,993,756,1413,40,rightdiagnosis.com,0.01995870612525809,0,94,0.0,False,all_markable_target_contexts,-1,False
ADHD,2016,clinical_only,1149,1149,1097,1097,790,662,1065,32,wellesley.edu,0.023701002734731084,0,52,0.0,False,all_markable_target_contexts,-1,False
ADHD,2016,lived_only,309,309,294,294,245,229,283,11,additudemag.com,0.023809523809523808,0,15,0.0,False,all_markable_target_contexts,-1,False
ADHD,2016,mixed,182,182,168,168,142,138,161,7,healthychildren.org,0.02976190476190476,0,14,0.0,False,all_markable_target_contexts,-1,False
ADHD,2016,substantive_core_overall,1640,1640,1559,1559,1098,930,1509,50,wellesley.edu,0.01667735728030789,0,81,0.0,False,all_markable_target_contexts,-1,False
ADHD,2017,clinical_only,1099,1099,1048,1048,751,655,1031,17,rehabs.com,0.01812977099236641,0,51,0.0,False,all_markable_target_contexts,-1,False
ADHD,2017,lived_only,303,303,291,291,241,223,283,8,rainbowsaretoobeautiful.com,0.024054982817869417,0,12,0.0,False,all_markable_target_contexts,-1,False
ADHD,2017,mixed,187,187,180,180,153,149,179,1,schoolingamonkey.com,0.022222222222222223,0,7,0.0,False,all_markable_target_contexts,-1,False
ADHD,2017,substantive_core_overall,1589,1589,1519,1519,1070,935,1493,26,rehabs.com,0.012508229098090849,0,70,0.0,False,all_markable_target_contexts,-1,False
ADHD,2018,clinical_only,1182,1182,1128,1128,787,719,1101,27,bedford.gov.uk,0.015070921985815602,0,54,0.0,False,all_markable_target_contexts,-1,False
ADHD,2018,lived_only,269,269,261,261,216,201,253,8,additudemag.com,0.03065134099616858,0,8,0.0,False,all_markable_target_contexts,-1,False
ADHD,2018,mixed,182,182,170,170,152,146,168,2,lepageassociates.com,0.01764705882352941,0,12,0.0,False,all_markable_target_contexts,-1,False
ADHD,2018,substantive_core_overall,1633,1633,1559,1559,1067,968,1522,37,bedford.gov.uk,0.010904425914047467,0,74,0.0,False,all_markable_target_contexts,-1,False
ADHD,2019,clinical_only,1000,1000,950,950,674,619,934,16,flavio.pl,0.009473684210526316,0,50,0.0,False,all_markable_target_contexts,-1,False
ADHD,2019,lived_only,299,299,278,278,223,206,266,12,themotivationhotel.com,0.04316546762589928,0,21,0.0,False,all_markable_target_contexts,-1,False
ADHD,2019,mixed,142,142,135,135,120,117,132,3,healthyplace.com,0.02962962962962963,0,7,0.0,False,all_markable_target_contexts,-1,False
ADHD,2019,substantive_core_overall,1441,1441,1363,1363,957,872,1332,31,themotivationhotel.com,0.00880410858400587,0,78,0.0,False,all_markable_target_contexts,-1,False
ADHD,2020,clinical_only,959,959,918,918,668,622,899,19,digication.com,0.006535947712418301,0,41,0.0,False,all_markable_target_contexts,-1,False
ADHD,2020,lived_only,312,312,296,296,240,227,286,10,mynoise.net,0.02027027027027027,0,16,0.0,False,all_markable_target_contexts,-1,False
ADHD,2020,mixed,156,156,144,144,130,125,138,6,institute4learning.com,0.027777777777777776,0,12,0.0,False,all_markable_target_contexts,-1,False
ADHD,2020,substantive_core_overall,1427,1427,1358,1358,972,903,1323,35,yourbrain.health,0.005891016200294551,0,69,0.0,False,all_markable_target_contexts,-1,False
ADHD,2021,clinical_only,928,928,890,890,636,579,874,16,suffolkfamilytherapy.com,0.012359550561797753,0,38,0.0,False,all_markable_target_contexts,-1,False
ADHD,2021,lived_only,299,299,289,289,232,221,278,11,buzzsprout.com,0.01730103806228374,0,10,0.0,False,all_markable_target_contexts,-1,False
ADHD,2021,mixed,180,180,167,167,150,145,165,2,thtrainingsolutions.co.uk,0.03592814371257485,0,13,0.0,False,all_markable_target_contexts,-1,False
ADHD,2021,substantive_core_overall,1407,1407,1346,1346,941,854,1317,29,suffolkfamilytherapy.com,0.008172362555720654,0,61,0.0,False,all_markable_target_contexts,-1,False
ADHD,2022,clinical_only,930,930,881,881,634,595,858,23,thestudiolife.com,0.01362088535754824,0,49,0.0,False,all_markable_target_contexts,-1,False
ADHD,2022,lived_only,356,356,330,330,254,240,313,17,buzzsprout.com,0.024242424242424242,0,26,0.0,False,all_markable_target_contexts,-1,False
ADHD,2022,mixed,193,193,179,179,152,144,177,2,fourbridgeshalf.org,0.0223463687150838,0,14,0.0,False,all_markable_target_contexts,-1,False
ADHD,2022,substantive_core_overall,1479,1479,1390,1390,941,874,1348,42,healthyplace.com,0.010071942446043165,0,89,0.0,False,all_markable_target_contexts,-1,False
ADHD,2023,clinical_only,750,750,719,719,477,446,702,17,turningwinds.com,0.02364394993045897,0,31,0.0,False,all_markable_target_contexts,-1,False
ADHD,2023,lived_only,299,299,279,279,216,207,274,5,wolverhampton.ac.uk,0.010752688172043012,0,20,0.0,False,all_markable_target_contexts,-1,False
ADHD,2023,mixed,159,159,148,148,122,117,144,4,brainbalancecenters.com,0.02702702702702703,0,11,0.0,False,all_markable_target_contexts,-1,False
ADHD,2023,substantive_core_overall,1208,1208,1145,1145,752,698,1119,26,turningwinds.com,0.014847161572052401,0,63,0.0,False,all_markable_target_contexts,-1,False
ADHD,2024,clinical_only,704,704,668,668,457,430,649,19,betterhelp.com,0.01347305389221557,0,36,0.0,False,all_markable_target_contexts,-1,False
ADHD,2024,lived_only,313,313,289,289,227,213,281,8,onetask.me,0.02422145328719723,0,24,0.0,False,all_markable_target_contexts,-1,False
ADHD,2024,mixed,154,154,146,146,122,118,141,5,xwiki.com,0.0273972602739726,0,8,0.0,False,all_markable_target_contexts,-1,False
ADHD,2024,substantive_core_overall,1171,1171,1103,1103,729,674,1071,32,substack.com,0.011786038077969175,0,68,0.0,False,all_markable_target_contexts,-1,False
ADHD,2025,clinical_only,578,578,546,546,380,363,538,8,brainhealthusa.com,0.016483516483516484,0,32,0.0,False,all_markable_target_contexts,-1,False
ADHD,2025,lived_only,216,216,193,193,148,144,187,6,sussexpsychologicaltherapycentre.com,0.015544041450777202,0,23,0.0,False,all_markable_target_contexts,-1,False
ADHD,2025,mixed,110,110,102,102,92,91,96,6,classroomchronicles.live,0.029411764705882353,0,8,0.0,False,all_markable_target_contexts,-1,False
ADHD,2025,substantive_core_overall,904,904,841,841,572,539,821,20,brainhealthusa.com,0.014268727705112961,0,63,0.0,False,all_markable_target_contexts,-1,False
ADHD,2026,clinical_only,271,271,259,259,170,157,251,8,perdertimidez.com,0.023166023166023165,0,12,0.0,False,all_markable_target_contexts,-1,False
ADHD,2026,lived_only,109,109,103,103,76,72,102,1,phoenix.org.uk,0.04854368932038835,0,6,0.0,False,all_markable_target_contexts,-1,False
ADHD,2026,mixed,44,44,42,42,38,38,40,2,freedomtherapyservices.com.au,0.047619047619047616,0,2,0.0,False,all_markable_target_contexts,-1,True
ADHD,2026,substantive_core_overall,424,424,404,404,259,242,393,11,neurosity.co,0.017326732673267328,0,20,0.0,False,all_markable_target_contexts,-1,False
Autism,2014,clinical_only,2850,2850,2583,2583,1708,1203,2539,44,cnn.com,0.012001548586914441,0,267,0.0,False,all_markable_target_contexts,-1,False
Autism,2014,lived_only,1303,1303,1222,1222,937,796,1195,27,idahoptv.org,0.008183306055646482,0,81,0.0,False,all_markable_target_contexts,-1,False
Autism,2014,mixed,660,660,602,602,502,430,586,16,41nbc.com,0.019933554817275746,0,58,0.0,False,all_markable_target_contexts,-1,False
Autism,2014,substantive_core_overall,4813,4813,4405,4405,2858,2035,4318,87,cnn.com,0.008853575482406357,0,408,0.0,False,all_markable_target_contexts,-1,False
Autism,2015,clinical_only,2083,2083,1917,1917,1322,990,1889,28,technologynetworks.com,0.022952529994783515,0,166,0.0,False,all_markable_target_contexts,-1,False
Autism,2015,lived_only,1055,1055,984,984,741,650,948,36,specialolympics.org,0.011178861788617886,0,71,0.0,False,all_markable_target_contexts,-1,False
Autism,2015,mixed,539,539,492,492,413,359,484,8,troubledteensearch.com,0.016260162601626018,0,47,0.0,False,all_markable_target_contexts,-1,False
Autism,2015,substantive_core_overall,3677,3677,3393,3393,2252,1705,3321,72,technologynetworks.com,0.012967875036840553,0,284,0.0,False,all_markable_target_contexts,-1,False
Autism,2016,clinical_only,2175,2175,2028,2028,1392,1153,1994,34,bartlesvilleradio.com,0.014792899408284023,0,147,0.0,False,all_markable_target_contexts,-1,False
Autism,2016,lived_only,1367,1367,1288,1288,931,797,1264,24,rainbowsaretoobeautiful.com,0.02872670807453416,0,79,0.0,False,all_markable_target_contexts,-1,False
Autism,2016,mixed,678,678,627,627,501,461,614,13,blackcountryminds.com,0.009569377990430622,0,51,0.0,False,all_markable_target_contexts,-1,False
Autism,2016,substantive_core_overall,4220,4220,3943,3943,2553,2064,3872,71,rainbowsaretoobeautiful.com,0.010651787978696424,0,277,0.0,False,all_markable_target_contexts,-1,False
Autism,2017,clinical_only,1984,1984,1862,1862,1290,1123,1832,30,scienceblogs.com,0.009129967776584319,0,122,0.0,False,all_markable_target_contexts,-1,False
Autism,2017,lived_only,1368,1368,1291,1291,959,853,1264,27,theautismdirectory.com,0.022463206816421378,0,77,0.0,False,all_markable_target_contexts,-1,False
Autism,2017,mixed,627,627,589,589,457,418,584,5,lybrate.com,0.013582342954159592,0,38,0.0,False,all_markable_target_contexts,-1,False
Autism,2017,substantive_core_overall,3979,3979,3741,3741,2439,2080,3679,62,theautismdirectory.com,0.009355787222667736,0,238,0.0,False,all_markable_target_contexts,-1,False
Autism,2018,clinical_only,1959,1959,1843,1843,1277,1131,1807,36,eu-aims.eu,0.017905588714053174,0,116,0.0,False,all_markable_target_contexts,-1,False
Autism,2018,lived_only,1239,1239,1164,1164,873,790,1131,33,unibe.ch,0.023195876288659795,0,75,0.0,False,all_markable_target_contexts,-1,False
Autism,2018,mixed,620,620,572,572,477,433,563,9,autismafter16.com,0.015734265734265736,0,48,0.0,False,all_markable_target_contexts,-1,False
