analysis_unit,frame_stratum,term_role,target_group,index_name,n_years,year_center,linear_intercept,linear_slope_per_year,linear_slope_se,linear_p_value,linear_r_squared,linear_adj_r_squared,standardized_beta_year,durbin_watson,lag1_residual_autocorrelation,autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,quadratic_adj_r_squared,quadratic_delta_adj_r_squared
ADHD,clinical_only,target,ADHD,breadth_mean_pairwise_cosine_distance,13,2020.0,0.14093760776749656,-0.0017869136367948367,0.00033685074804657236,0.0002505728950628236,0.7189613106104213,0.6934123388477325,-0.8479158629312358,1.658144591685167,0.16805950714211032,False,,,0.6643248408155774,-0.029087498032155046
ADHD,lived_only,target,ADHD,breadth_mean_pairwise_cosine_distance,13,2020.0,0.07918568867327189,-0.0003664272929007776,0.0006100949098967342,0.5602728599395381,0.03175225926913261,-0.05627026261549162,-0.1781916363613416,3.205371186755053,-0.6077138567623909,True,-0.00043686292325695086,0.24693354651229796,-0.16189727083409045,-0.10562700821859883
ADHD,mixed,target,ADHD,breadth_mean_pairwise_cosine_distance,13,2020.0,0.09233236592806543,-0.0013921812009279888,0.0006535702226055662,0.05656805908900687,0.292030817584947,0.22766998281994222,-0.5403987579417138,2.1841416810309577,-0.20195297766845835,False,,,0.20226266974760532,-0.0254073130723369
ADHD,substantive_core_overall,target,ADHD,breadth_mean_pairwise_cosine_distance,13,2020.0,0.12698969806439775,-0.0020374913440721885,0.000313385051480613,4.418269425540856e-05,0.7935058220423294,0.7747336240461775,-0.8907894375453322,2.4561484366505955,-0.2423916177052057,False,,,0.7717518821516138,-0.002981741894563683
Autism,clinical_only,target,Autism,breadth_mean_pairwise_cosine_distance,13,2020.0,0.09348766862011025,0.0007494536713758706,0.00031452209553371876,0.03631874831998913,0.3404442934522215,0.28048468376605984,0.5834760435975256,0.9607952470708849,0.39373549759300674,True,0.00015682658197144997,0.7547916302192499,0.7893460845353238,0.508861400769264
Autism,lived_only,target,Autism,breadth_mean_pairwise_cosine_distance,13,2020.0,0.10014065553765326,-0.0010404425140852218,0.0004164140495755577,0.029581102494978563,0.36205576321123123,0.30406083259407035,-0.6017106972717299,1.514106840216305,0.24080530147003487,False,,,0.460364045958804,0.15630321336473363
Autism,mixed,target,Autism,breadth_mean_pairwise_cosine_distance,13,2020.0,0.0976884297200754,-0.0002940246753826578,0.0005702166760194418,0.616313098411462,0.02360057371262181,-0.0651630104953218,-0.15362478222156178,1.6928410938469662,-0.17992613025127627,False,,,0.21984366187400428,0.2850066723693261
Autism,substantive_core_overall,target,Autism,breadth_mean_pairwise_cosine_distance,13,2020.0,0.09926109722038357,0.00011871716070888473,0.0002449620999605045,0.6374416078577795,0.020905527169030602,-0.06810306127014853,0.14458743779813785,1.1759142352704148,0.3793611988674685,True,-0.00013318520117327101,0.7526593741759209,0.5107747183450391,0.5788777796151876
frustration,unframed_baseline,baseline,baseline,breadth_mean_pairwise_cosine_distance,13,2020.0,0.09226371082621079,0.0019509059196559206,0.0005597756683494961,0.005101894205444517,0.5247624102797983,0.48155899303250727,0.724404866272859,1.72971395947782,0.06684085393254116,False,,,0.5457268069418749,0.06416781390936765
loneliness,unframed_baseline,baseline,baseline,breadth_mean_pairwise_cosine_distance,13,2020.0,0.06913006936746206,-0.0007192229165903263,0.0003665805201724813,0.07555910013126892,0.25922721801148874,0.19188423783071495,-0.509143612364418,1.952139682444496,-0.055654406116800705,False,,,0.19438361137463944,0.002499373543924488
sadness,unframed_baseline,baseline,baseline,breadth_mean_pairwise_cosine_distance,13,2020.0,0.09420940207769304,-0.0010241094600204786,0.00030322292787946035,0.006170732848132084,0.5090803952581132,0.464451340281578,-0.7134987002497714,1.2449043766671084,0.35972031113569825,True,-0.000849051991334751,0.131231450440245,0.4229850390812677,-0.04146630120031025
