lsc_year,analysis_unit,frame_stratum,term_role,target_group,breadth_mean_pairwise_cosine_distance,sampled_contexts,sampled_documents,sampled_domains,bootstrap_repetitions,bootstrap_unit,breadth_bootstrap_mean,breadth_ci_low,breadth_ci_high,available_contexts,markable_contexts,unmarkable_contexts,unmarkable_share,cap_applied,sampling_policy,top_domain,top_domain_share,small_cell_flag
2014,ADHD,clinical_only,target,ADHD,0.6177832919768403,1210,808,663,500,doc_id,0.6175455933742419,0.607169854804262,0.6275019821662394,1286,1210,0,0.0,False,all_markable_target_contexts_no_comparators,naturalnews.com,0.02066115702479339,False
2015,ADHD,clinical_only,target,ADHD,0.621315192013956,1124,774,586,500,doc_id,0.6206902200953179,0.6097925086329017,0.630812058182011,1203,1124,0,0.0,False,all_markable_target_contexts_no_comparators,rightdiagnosis.com,0.025800711743772242,False
2016,ADHD,clinical_only,target,ADHD,0.6356838244886411,1087,790,662,500,doc_id,0.635294649761478,0.6244809071802727,0.6452617185025193,1149,1087,0,0.0,False,all_markable_target_contexts_no_comparators,wellesley.edu,0.02391904323827047,False
2017,ADHD,clinical_only,target,ADHD,0.626751720540391,1038,751,655,500,doc_id,0.6265399725174569,0.6175720976698662,0.6370035777509928,1099,1038,0,0.0,False,all_markable_target_contexts_no_comparators,rehabs.com,0.018304431599229287,False
2018,ADHD,clinical_only,target,ADHD,0.6319687416171034,1123,787,719,500,doc_id,0.6316067568357331,0.6219031459000337,0.6421574377647729,1182,1123,0,0.0,False,all_markable_target_contexts_no_comparators,bedford.gov.uk,0.015138023152270703,False
2019,ADHD,clinical_only,target,ADHD,0.6505869534212557,946,674,619,500,doc_id,0.6495915084098927,0.6380935936074974,0.6604006282016321,1000,946,0,0.0,False,all_markable_target_contexts_no_comparators,flavio.pl,0.009513742071881607,False
2020,ADHD,clinical_only,target,ADHD,0.6326421865692435,913,668,622,500,doc_id,0.6320144380585807,0.6223817717458828,0.6422841453620843,959,913,0,0.0,False,all_markable_target_contexts_no_comparators,digication.com,0.0065717415115005475,False
2021,ADHD,clinical_only,target,ADHD,0.6343915665952946,881,636,579,500,doc_id,0.6330476142495381,0.6209401448517603,0.6439481131876609,928,881,0,0.0,False,all_markable_target_contexts_no_comparators,suffolkfamilytherapy.com,0.012485811577752554,False
2022,ADHD,clinical_only,target,ADHD,0.6347679537443442,877,634,595,500,doc_id,0.633810026527201,0.6229116269537333,0.6444446627244682,930,877,0,0.0,False,all_markable_target_contexts_no_comparators,thestudiolife.com,0.013683010262257697,False
2023,ADHD,clinical_only,target,ADHD,0.6228072172925114,715,477,446,500,doc_id,0.6221325530013622,0.6094704372190539,0.6352555795026393,750,715,0,0.0,False,all_markable_target_contexts_no_comparators,turningwinds.com,0.023776223776223775,False
2024,ADHD,clinical_only,target,ADHD,0.612835897457608,666,457,430,500,doc_id,0.6119504404553984,0.5965757231645227,0.6258196853122957,704,666,0,0.0,False,all_markable_target_contexts_no_comparators,lakshnashamuktichhattisgarh.com,0.013513513513513514,False
2025,ADHD,clinical_only,target,ADHD,0.6337722816971315,541,380,363,500,doc_id,0.6328511446003386,0.6177323405654455,0.6487982482950598,578,541,0,0.0,False,all_markable_target_contexts_no_comparators,brainhealthusa.com,0.0166358595194085,False
2026,ADHD,clinical_only,target,ADHD,0.6257891030317769,258,170,157,500,doc_id,0.6229527028642293,0.6013037725238648,0.6447281030182528,271,258,0,0.0,False,all_markable_target_contexts_no_comparators,perdertimidez.com,0.023255813953488372,False
2014,ADHD,lived_only,target,ADHD,0.6192203443877551,295,243,209,500,doc_id,0.6163041744337668,0.5989062117870348,0.6350148837052771,310,295,0,0.0,False,all_markable_target_contexts_no_comparators,additudemag.com,0.0711864406779661,False
2015,ADHD,lived_only,target,ADHD,0.6314944754841592,204,169,151,500,doc_id,0.6282078693699037,0.6051708471454853,0.6539979547470092,216,204,0,0.0,False,all_markable_target_contexts_no_comparators,flinger.us,0.0392156862745098,False
2016,ADHD,lived_only,target,ADHD,0.6210286322293422,294,245,229,500,doc_id,0.6191958744346002,0.5991893785711753,0.6389595903686763,309,294,0,0.0,False,all_markable_target_contexts_no_comparators,additudemag.com,0.023809523809523808,False
2017,ADHD,lived_only,target,ADHD,0.6340564344993512,289,241,223,500,doc_id,0.6313263024517598,0.6134776022123681,0.6505015972836957,303,289,0,0.0,False,all_markable_target_contexts_no_comparators,rainbowsaretoobeautiful.com,0.02422145328719723,False
2018,ADHD,lived_only,target,ADHD,0.6280050397237897,260,216,201,500,doc_id,0.6256894583500128,0.6040022445670707,0.6462287208875375,269,260,0,0.0,False,all_markable_target_contexts_no_comparators,additudemag.com,0.03076923076923077,False
2019,ADHD,lived_only,target,ADHD,0.6216304878028984,278,223,206,500,doc_id,0.6193093800025118,0.5997201431100639,0.6373172961270731,299,278,0,0.0,False,all_markable_target_contexts_no_comparators,themotivationhotel.com,0.04316546762589928,False
2020,ADHD,lived_only,target,ADHD,0.6008258506785387,296,240,227,500,doc_id,0.5982191179945462,0.5806928809759095,0.6149808879164296,312,296,0,0.0,False,all_markable_target_contexts_no_comparators,mynoise.net,0.02027027027027027,False
2021,ADHD,lived_only,target,ADHD,0.6287727282625672,289,232,221,500,doc_id,0.6259511540681957,0.6071071270367395,0.6438852983354826,299,289,0,0.0,False,all_markable_target_contexts_no_comparators,add.org,0.01730103806228374,False
2022,ADHD,lived_only,target,ADHD,0.6185780199410519,330,254,240,500,doc_id,0.616270770799742,0.598770165241859,0.6331448699363793,356,330,0,0.0,False,all_markable_target_contexts_no_comparators,buzzsprout.com,0.024242424242424242,False
