lsc_year,analysis_unit,frame_stratum,term_role,target_group,breadth_mean_pairwise_cosine_distance,sampled_contexts,sampled_documents,sampled_domains,bootstrap_repetitions,bootstrap_unit,breadth_bootstrap_mean,breadth_ci_low,breadth_ci_high
2014,frustration,unframed_baseline,baseline,baseline,0.8574215778278278,1000,994,884,500,doc_id,0.8564054807986882,0.8500412423915649,0.8620805306451687
2015,frustration,unframed_baseline,baseline,baseline,0.8635388826326327,1000,982,898,500,doc_id,0.8627555484281213,0.8564915564880479,0.869103774843124
2016,frustration,unframed_baseline,baseline,baseline,0.8598977727727728,1000,985,908,500,doc_id,0.858871694041386,0.8519727927145896,0.866071252856209
2017,frustration,unframed_baseline,baseline,baseline,0.8620124186686686,1000,985,943,500,doc_id,0.8610508339358847,0.8542882689961611,0.8671481658966034
2018,frustration,unframed_baseline,baseline,baseline,0.8607415853353353,1000,990,949,500,doc_id,0.8599287694223583,0.8527002225323789,0.8661694747158148
2019,frustration,unframed_baseline,baseline,baseline,0.8633584522022022,1000,983,942,500,doc_id,0.8623159889863414,0.8552958375744791,0.8693311039195096
2020,frustration,unframed_baseline,baseline,baseline,0.8640416197447447,1000,990,955,500,doc_id,0.8632568350873602,0.856253374590535,0.8694994924920019
2021,frustration,unframed_baseline,baseline,baseline,0.8630412287287288,1000,985,954,500,doc_id,0.8621577062203166,0.8556375735940897,0.8683144616707218
2022,frustration,unframed_baseline,baseline,baseline,0.8569487925425425,1000,980,942,500,doc_id,0.8559435365610011,0.8496622541514891,0.8626411980908674
2023,frustration,unframed_baseline,baseline,baseline,0.8655870088838838,1000,984,964,500,doc_id,0.8649166273877451,0.8582603748450774,0.8718597151927536
2024,frustration,unframed_baseline,baseline,baseline,0.85973315503003,1000,976,950,500,doc_id,0.8589956732757316,0.8517557822426448,0.8655340057836878
2025,frustration,unframed_baseline,baseline,baseline,0.8494020426676676,1000,970,938,500,doc_id,0.848495317751162,0.8412315504830341,0.8556621923527491
2026,frustration,unframed_baseline,baseline,baseline,0.8372498123123123,1000,958,905,500,doc_id,0.8361335864707898,0.829009703296055,0.8427484297078985
2014,loneliness,unframed_baseline,baseline,baseline,0.7325187062062062,1000,941,772,500,doc_id,0.7316081880266697,0.7230091523112027,0.7402073128838971
2015,loneliness,unframed_baseline,baseline,baseline,0.7332782157157157,1000,934,761,500,doc_id,0.7327618078855065,0.7235182774151845,0.7419242434414269
2016,loneliness,unframed_baseline,baseline,baseline,0.7313273898898899,1000,947,788,500,doc_id,0.730111702122132,0.720839479161961,0.7386850823436361
2017,loneliness,unframed_baseline,baseline,baseline,0.7229740365365365,1000,932,851,500,doc_id,0.7223547310519393,0.7132371375262676,0.7308566129382355
2018,loneliness,unframed_baseline,baseline,baseline,0.7343670232732733,1000,938,892,500,doc_id,0.7339523689893579,0.7240883410152421,0.7437844745384176
2019,loneliness,unframed_baseline,baseline,baseline,0.7269867992992993,1000,915,876,500,doc_id,0.72601903932533,0.7161371251172383,0.7359844697355885
2020,loneliness,unframed_baseline,baseline,baseline,0.707713181931932,1000,939,892,500,doc_id,0.7073184709357972,0.6969302274992568,0.7170987257768835
2021,loneliness,unframed_baseline,baseline,baseline,0.7227479041541541,1000,937,839,500,doc_id,0.7221164583214129,0.7128077735155918,0.7319512530124165
2022,loneliness,unframed_baseline,baseline,baseline,0.7247960460460461,1000,929,880,500,doc_id,0.7241805352578381,0.715575117423365,0.7335978170326338
2023,loneliness,unframed_baseline,baseline,baseline,0.7083015828328328,1000,899,809,500,doc_id,0.7072693084526724,0.6960370446183664,0.7176645568388142
2024,loneliness,unframed_baseline,baseline,baseline,0.6955194882382383,1000,899,858,500,doc_id,0.694879457497541,0.684808832046607,0.7056419938082945
2025,loneliness,unframed_baseline,baseline,baseline,0.71625,1000,889,856,500,doc_id,0.7147482282470757,0.7046256474307264,0.7249867075117747
2026,loneliness,unframed_baseline,baseline,baseline,0.6948011189454322,700,573,514,500,doc_id,0.693607732424264,0.6804401034805743,0.7071129882417181
2014,sadness,unframed_baseline,baseline,baseline,0.7819069225475476,1000,978,854,500,doc_id,0.7813138258179937,0.7744947052650225,0.788035517591641
2015,sadness,unframed_baseline,baseline,baseline,0.7717408971471471,1000,963,873,500,doc_id,0.7709328429323193,0.7630030284896541,0.7784102539715907
2016,sadness,unframed_baseline,baseline,baseline,0.7742662975475476,1000,965,869,500,doc_id,0.7733605903412347,0.7657819937083781,0.7812386927270935
2017,sadness,unframed_baseline,baseline,baseline,0.7752686436436437,1000,973,929,500,doc_id,0.774644959356863,0.7673684235303814,0.7820050995245438
2018,sadness,unframed_baseline,baseline,baseline,0.7771555148898899,1000,969,899,500,doc_id,0.7764565183276693,0.7696651189904155,0.7839038353578982
2019,sadness,unframed_baseline,baseline,baseline,0.7777653434684685,1000,963,936,500,doc_id,0.7767612844164987,0.7690513007484762,0.7847264535174372
2020,sadness,unframed_baseline,baseline,baseline,0.7801775369119119,1000,969,940,500,doc_id,0.779272809253637,0.7713483351923919,0.7875276215924586
2021,sadness,unframed_baseline,baseline,baseline,0.7864137418668669,1000,962,933,500,doc_id,0.7858052741048923,0.778294564448289,0.7935534311826303
2022,sadness,unframed_baseline,baseline,baseline,0.7831204642142142,1000,955,917,500,doc_id,0.7823118550720463,0.7740807158993316,0.7906533538680062
2023,sadness,unframed_baseline,baseline,baseline,0.7897558183183183,1000,953,902,500,doc_id,0.7888640475334973,0.7819465606231232,0.7959439553088696
2024,sadness,unframed_baseline,baseline,baseline,0.7796434872372372,1000,926,855,500,doc_id,0.7785735073878818,0.7709709874161497,0.7860061706987168
2025,sadness,unframed_baseline,baseline,baseline,0.7841477571321321,1000,897,826,500,doc_id,0.7832222906279664,0.7758044486593387,0.7901059576524978
2026,sadness,unframed_baseline,baseline,baseline,0.7695444057449387,648,550,500,500,doc_id,0.7683039355007582,0.7577158508994969,0.7790091166101484
