analysis_unit,lsc_year,frame_stratum,term_role,target_group,raw_form,sampled_contexts,sampled_documents,raw_form_context_share
ADHD,2014,clinical_only,target,ADHD,adhd,840,639,0.6942148760330579
ADHD,2014,clinical_only,target,ADHD,attention_deficit,370,323,0.30578512396694213
ADHD,2014,lived_only,target,ADHD,adhd,276,231,0.9355932203389831
ADHD,2014,lived_only,target,ADHD,attention_deficit,19,19,0.06440677966101695
ADHD,2014,mixed,target,ADHD,adhd,143,125,0.8265895953757225
ADHD,2014,mixed,target,ADHD,attention_deficit,30,29,0.17341040462427745
ADHD,2014,substantive_core_overall,target,ADHD,adhd,1259,915,0.7502979737783075
ADHD,2014,substantive_core_overall,target,ADHD,attention_deficit,419,366,0.2497020262216925
ADHD,2015,clinical_only,target,ADHD,adhd,773,586,0.6877224199288257
ADHD,2015,clinical_only,target,ADHD,attention_deficit,351,310,0.3122775800711744
ADHD,2015,lived_only,target,ADHD,adhd,190,160,0.9313725490196079
ADHD,2015,lived_only,target,ADHD,attention_deficit,14,13,0.06862745098039216
ADHD,2015,mixed,target,ADHD,adhd,102,95,0.864406779661017
ADHD,2015,mixed,target,ADHD,attention_deficit,16,16,0.13559322033898305
ADHD,2015,substantive_core_overall,target,ADHD,adhd,1065,795,0.7365145228215768
ADHD,2015,substantive_core_overall,target,ADHD,attention_deficit,381,338,0.26348547717842324
ADHD,2016,clinical_only,target,ADHD,adhd,764,610,0.702851885924563
ADHD,2016,clinical_only,target,ADHD,attention_deficit,323,296,0.297148114075437
ADHD,2016,lived_only,target,ADHD,adhd,284,240,0.9659863945578231
ADHD,2016,lived_only,target,ADHD,attention_deficit,10,10,0.034013605442176874
ADHD,2016,mixed,target,ADHD,adhd,153,132,0.9107142857142857
ADHD,2016,mixed,target,ADHD,attention_deficit,15,14,0.08928571428571429
ADHD,2016,substantive_core_overall,target,ADHD,adhd,1201,920,0.775338928340865
ADHD,2016,substantive_core_overall,target,ADHD,attention_deficit,348,319,0.22466107165913493
ADHD,2017,clinical_only,target,ADHD,adhd,747,596,0.7196531791907514
ADHD,2017,clinical_only,target,ADHD,attention_deficit,291,264,0.28034682080924855
ADHD,2017,lived_only,target,ADHD,adhd,274,232,0.9480968858131488
ADHD,2017,lived_only,target,ADHD,attention_deficit,15,15,0.05190311418685121
ADHD,2017,mixed,target,ADHD,adhd,160,140,0.8938547486033519
ADHD,2017,mixed,target,ADHD,attention_deficit,19,19,0.10614525139664804
ADHD,2017,substantive_core_overall,target,ADHD,adhd,1181,903,0.7841965471447543
ADHD,2017,substantive_core_overall,target,ADHD,attention_deficit,325,296,0.2158034528552457
