analysis_unit,lsc_year,frame_stratum,available_contexts,markable_contexts_before_dedupe,markable_contexts,sampled_contexts,sampled_documents,sampled_domains,target_sentence_contexts,adjacent_contexts,top_domain,top_domain_share,unmarkable_contexts,duplicate_contexts_removed,unmarkable_share,cap_applied,sampling_policy,small_cell_flag
ADHD,2014,clinical_only,1286,1286,1210,1210,808,663,1207,3,naturalnews.com,0.02066115702479339,0,76,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2014,lived_only,310,310,295,295,243,209,294,1,additudemag.com,0.0711864406779661,0,15,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2014,mixed,183,183,173,173,152,133,173,0,rrstar.com,0.03468208092485549,0,10,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2014,substantive_core_overall,1779,1779,1678,1678,1093,874,1674,4,additudemag.com,0.023837902264600714,0,101,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2015,clinical_only,1203,1203,1124,1124,774,586,1119,5,rightdiagnosis.com,0.025800711743772242,0,79,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2015,lived_only,216,216,204,204,169,151,204,0,flinger.us,0.0392156862745098,0,12,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2015,mixed,128,128,118,118,109,99,117,1,flinger.us,0.05084745762711865,0,10,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2015,substantive_core_overall,1547,1547,1446,1446,993,756,1440,6,rightdiagnosis.com,0.020055325034578148,0,101,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2016,clinical_only,1149,1149,1087,1087,790,662,1076,11,wellesley.edu,0.02391904323827047,0,62,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2016,lived_only,309,309,294,294,245,229,293,1,additudemag.com,0.023809523809523808,0,15,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2016,mixed,182,182,168,168,142,138,168,0,healthychildren.org,0.02976190476190476,0,14,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2016,substantive_core_overall,1640,1640,1549,1549,1098,930,1537,12,wellesley.edu,0.016785022595222725,0,91,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2017,clinical_only,1099,1099,1038,1038,751,655,1031,7,rehabs.com,0.018304431599229287,0,61,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2017,lived_only,303,303,289,289,241,223,286,3,rainbowsaretoobeautiful.com,0.02422145328719723,0,14,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2017,mixed,187,187,179,179,153,149,179,0,schoolingamonkey.com,0.0223463687150838,0,8,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2017,substantive_core_overall,1589,1589,1506,1506,1070,935,1496,10,rehabs.com,0.012616201859229747,0,83,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2018,clinical_only,1182,1182,1123,1123,787,719,1117,6,bedford.gov.uk,0.015138023152270703,0,59,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2018,lived_only,269,269,260,260,216,201,258,2,additudemag.com,0.03076923076923077,0,9,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2018,mixed,182,182,170,170,152,146,170,0,lepageassociates.com,0.01764705882352941,0,12,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2018,substantive_core_overall,1633,1633,1553,1553,1067,968,1545,8,bedford.gov.uk,0.010946555054732776,0,80,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2019,clinical_only,1000,1000,946,946,674,619,940,6,flavio.pl,0.009513742071881607,0,54,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2019,lived_only,299,299,278,278,223,206,276,2,themotivationhotel.com,0.04316546762589928,0,21,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2019,mixed,142,142,135,135,120,117,135,0,healthyplace.com,0.02962962962962963,0,7,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2019,substantive_core_overall,1441,1441,1359,1359,957,872,1351,8,themotivationhotel.com,0.008830022075055188,0,82,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2020,clinical_only,959,959,913,913,668,622,908,5,digication.com,0.0065717415115005475,0,46,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2020,lived_only,312,312,296,296,240,227,294,2,mynoise.net,0.02027027027027027,0,16,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2020,mixed,156,156,144,144,130,125,144,0,institute4learning.com,0.027777777777777776,0,12,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2020,substantive_core_overall,1427,1427,1353,1353,972,903,1346,7,yourbrain.health,0.005912786400591279,0,74,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2021,clinical_only,928,928,881,881,636,579,878,3,suffolkfamilytherapy.com,0.012485811577752554,0,47,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2021,lived_only,299,299,289,289,232,221,287,2,add.org,0.01730103806228374,0,10,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2021,mixed,180,180,167,167,150,145,167,0,thtrainingsolutions.co.uk,0.03592814371257485,0,13,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2021,substantive_core_overall,1407,1407,1337,1337,941,854,1332,5,suffolkfamilytherapy.com,0.008227374719521317,0,70,0.0,False,all_markable_target_contexts_no_comparators,False
ADHD,2022,clinical_only,930,930,877,877,634,595,873,4,thestudiolife.com,0.013683010262257697,0,53,0.0,False,all_markable_target_contexts_no_comparators,False
