lsc_year,analysis_unit,predicted_derived_frame,contexts
2014,ADHD,clinical_only,1286
2014,ADHD,lived_only,310
2014,ADHD,mixed,183
2014,ADHD,non_substantive_or_insufficient,1284
2014,ADHD,substantive_other,55
2014,Autism,clinical_only,2850
2014,Autism,lived_only,1303
2014,Autism,mixed,660
2014,Autism,non_substantive_or_insufficient,3221
2014,Autism,substantive_other,249
2015,ADHD,clinical_only,1203
2015,ADHD,lived_only,216
2015,ADHD,mixed,128
2015,ADHD,non_substantive_or_insufficient,733
2015,ADHD,substantive_other,64
2015,Autism,clinical_only,2083
2015,Autism,lived_only,1055
2015,Autism,mixed,539
2015,Autism,non_substantive_or_insufficient,2569
2015,Autism,substantive_other,213
2016,ADHD,clinical_only,1149
2016,ADHD,lived_only,309
2016,ADHD,mixed,182
2016,ADHD,non_substantive_or_insufficient,978
2016,ADHD,substantive_other,64
2016,Autism,clinical_only,2175
2016,Autism,lived_only,1367
2016,Autism,mixed,678
2016,Autism,non_substantive_or_insufficient,2760
2016,Autism,substantive_other,275
2017,ADHD,clinical_only,1099
2017,ADHD,lived_only,303
2017,ADHD,mixed,187
2017,ADHD,non_substantive_or_insufficient,849
2017,ADHD,substantive_other,82
2017,Autism,clinical_only,1984
2017,Autism,lived_only,1368
2017,Autism,mixed,627
2017,Autism,non_substantive_or_insufficient,2761
2017,Autism,substantive_other,281
2018,ADHD,clinical_only,1182
2018,ADHD,lived_only,269
2018,ADHD,mixed,182
2018,ADHD,non_substantive_or_insufficient,985
2018,ADHD,substantive_other,84
2018,Autism,clinical_only,1959
2018,Autism,lived_only,1239
2018,Autism,mixed,620
2018,Autism,non_substantive_or_insufficient,2505
2018,Autism,substantive_other,199
2019,ADHD,clinical_only,1000
2019,ADHD,lived_only,299
2019,ADHD,mixed,142
2019,ADHD,non_substantive_or_insufficient,791
2019,ADHD,substantive_other,66
2019,Autism,clinical_only,1717
2019,Autism,lived_only,1191
2019,Autism,mixed,546
2019,Autism,non_substantive_or_insufficient,2161
2019,Autism,substantive_other,214
2020,ADHD,clinical_only,959
2020,ADHD,lived_only,312
2020,ADHD,mixed,156
2020,ADHD,non_substantive_or_insufficient,825
2020,ADHD,substantive_other,73
2020,Autism,clinical_only,1532
2020,Autism,lived_only,1064
2020,Autism,mixed,525
2020,Autism,non_substantive_or_insufficient,2022
2020,Autism,substantive_other,159
2021,ADHD,clinical_only,928
2021,ADHD,lived_only,299
2021,ADHD,mixed,180
2021,ADHD,non_substantive_or_insufficient,908
2021,ADHD,substantive_other,47
2021,Autism,clinical_only,1413
2021,Autism,lived_only,994
2021,Autism,mixed,551
2021,Autism,non_substantive_or_insufficient,1897
2021,Autism,substantive_other,159
2022,ADHD,clinical_only,930
2022,ADHD,lived_only,356
2022,ADHD,mixed,193
2022,ADHD,non_substantive_or_insufficient,807
2022,ADHD,substantive_other,58
2022,Autism,clinical_only,1175
2022,Autism,lived_only,911
2022,Autism,mixed,421
2022,Autism,non_substantive_or_insufficient,1525
2022,Autism,substantive_other,150
2023,ADHD,clinical_only,750
2023,ADHD,lived_only,299
2023,ADHD,mixed,159
2023,ADHD,non_substantive_or_insufficient,659
2023,ADHD,substantive_other,35
2023,Autism,clinical_only,1092
2023,Autism,lived_only,687
2023,Autism,mixed,372
2023,Autism,non_substantive_or_insufficient,1254
2023,Autism,substantive_other,102
2024,ADHD,clinical_only,704
2024,ADHD,lived_only,313
2024,ADHD,mixed,154
2024,ADHD,non_substantive_or_insufficient,526
2024,ADHD,substantive_other,41
2024,Autism,clinical_only,900
2024,Autism,lived_only,651
2024,Autism,mixed,315
2024,Autism,non_substantive_or_insufficient,1150
2024,Autism,substantive_other,122
2025,ADHD,clinical_only,578
2025,ADHD,lived_only,216
2025,ADHD,mixed,110
2025,ADHD,non_substantive_or_insufficient,640
2025,ADHD,substantive_other,31
2025,Autism,clinical_only,1044
2025,Autism,lived_only,746
2025,Autism,mixed,357
2025,Autism,non_substantive_or_insufficient,2259
2025,Autism,substantive_other,113
2026,ADHD,clinical_only,271
2026,ADHD,lived_only,109
2026,ADHD,mixed,44
2026,ADHD,non_substantive_or_insufficient,257
2026,ADHD,substantive_other,20
2026,Autism,clinical_only,382
2026,Autism,lived_only,250
2026,Autism,mixed,120
2026,Autism,non_substantive_or_insufficient,429
2026,Autism,substantive_other,41
