lsc_year,analysis_unit,frame_stratum,term_role,target_group,arousal_mean,arousal_sd,valence_mean_for_reference,dominance_mean_for_reference,matched_vad_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,arousal_bootstrap_mean,arousal_ci_low,arousal_ci_high
2014,ADHD,clinical_only,target,ADHD,-0.027904234303707986,0.2795035919846605,0.060713497204549834,0.015757866461024356,7410,1406,807,1286,808,9069,7410,7935,1273,0.8749586503473371,0.9898911353032659,False,500,doc_id,-0.027717135357611077,-0.0341232918136921,-0.020622041062023512
2015,ADHD,clinical_only,target,ADHD,-0.03217769295744905,0.27607575388969724,0.06655402034280083,0.015868515468271567,6765,1379,771,1203,774,8360,6765,7231,1191,0.8649521531100478,0.9900249376558603,False,500,doc_id,-0.03195251626686307,-0.039842444211536425,-0.024182250160222844
2016,ADHD,clinical_only,target,ADHD,-0.02191533184614936,0.2786806920910881,0.0449392663954743,0.008917950456361356,6532,1357,789,1149,790,8030,6532,7025,1141,0.8748443337484434,0.9930374238468234,False,500,doc_id,-0.022050488082261455,-0.028869827025237122,-0.014595625209144028
2017,ADHD,clinical_only,target,ADHD,-0.018393184340748273,0.2798320371468438,0.048402983320230006,0.014013265966794617,6178,1346,748,1099,751,7593,6178,6602,1087,0.8694850520215989,0.989080982711556,False,500,doc_id,-0.018499425924517122,-0.02561341457773362,-0.011174433034317803
2018,ADHD,clinical_only,target,ADHD,-0.02045579345437403,0.2819680474904294,0.04807527435198858,0.0033094804816671177,6869,1425,785,1182,787,8408,6869,7339,1176,0.8728591817316841,0.9949238578680203,False,500,doc_id,-0.020351312291158066,-0.027925003465405922,-0.012632754163905347
2019,ADHD,clinical_only,target,ADHD,-0.013095815956370454,0.2858491129648304,0.029206358528901286,0.000833717066028347,5789,1218,672,1000,674,7120,5789,6196,995,0.8702247191011236,0.995,False,500,doc_id,-0.012914893372363819,-0.02125975592066581,-0.004590819251830887
2020,ADHD,clinical_only,target,ADHD,-0.02257602709041558,0.27669105533847155,0.04419322036875994,0.007804889714601946,5421,1179,665,959,668,6722,5421,5833,947,0.8677476941386492,0.9874869655891554,False,500,doc_id,-0.022766518304107464,-0.03153556570211131,-0.013694319940891706
2021,ADHD,clinical_only,target,ADHD,-0.015004100504053165,0.296847074969558,0.037715083723320796,0.0017294284992921617,5281,1252,635,928,636,6430,5281,5639,922,0.8769828926905132,0.9935344827586207,False,500,doc_id,-0.015037424113149699,-0.024421499216354205,-0.005970031592901634
2022,ADHD,clinical_only,target,ADHD,-0.027568312402854317,0.2801154860503008,0.05796925427441006,0.021404335346898402,5392,1212,633,930,634,6550,5392,5797,923,0.8850381679389313,0.9924731182795699,False,500,doc_id,-0.027379182654563492,-0.03553404434858905,-0.018470577530826298
2023,ADHD,clinical_only,target,ADHD,-0.011917933775726747,0.2832955912810999,0.05305690537945902,0.02334097528660132,4241,1053,474,750,477,5142,4241,4514,736,0.8778685336444964,0.9813333333333333,False,500,doc_id,-0.01176589573936406,-0.021248410454122343,-0.0024047385399536296
2024,ADHD,clinical_only,target,ADHD,-0.01586129458309428,0.28405586416430406,0.049222846744119336,0.01616306954006502,3984,971,454,704,457,4861,3984,4237,693,0.8716313515737503,0.984375,False,500,doc_id,-0.015795375216802132,-0.02555243259182098,-0.005573828894492158
2025,ADHD,clinical_only,target,ADHD,-0.005700028045044653,0.28702748113425297,0.06482840963023687,0.03050213142339388,3311,894,379,578,380,4040,3311,3513,569,0.8695544554455445,0.9844290657439446,False,500,doc_id,-0.005652322391711194,-0.016890146351218237,0.007107918597804897
2026,ADHD,clinical_only,target,ADHD,-0.014773128825197789,0.2741364577746936,0.06520938498283325,0.044881521122555605,1595,593,170,271,170,1986,1595,1701,271,0.8564954682779456,1.0,False,500,doc_id,-0.014221939959755616,-0.03130509814892021,0.002112978787863603
2014,ADHD,lived_only,target,ADHD,-0.04956612441809056,0.23768915635562823,0.10917571584614183,0.024616881225455772,1831,661,243,310,243,2326,1831,1981,309,0.851676698194325,0.9967741935483871,False,500,doc_id,-0.04897959332595521,-0.06140931236028517,-0.0376884531573157
2015,ADHD,lived_only,target,ADHD,-0.05554820691434468,0.23220089962628246,0.11591275799793603,0.02806164860681114,1292,516,169,216,169,1638,1292,1411,216,0.8614163614163615,1.0,False,500,doc_id,-0.05575379367614437,-0.07046848698277136,-0.042037316124256194
2016,ADHD,lived_only,target,ADHD,-0.03485237462679014,0.23718138027908886,0.11393333965892415,0.04573055133849501,1882,655,245,309,245,2378,1882,2037,309,0.8566021867115223,1.0,False,500,doc_id,-0.03502838747987009,-0.04574613913152916,-0.023708245209759317
2017,ADHD,lived_only,target,ADHD,-0.04323047722342733,0.2487845608004291,0.11015595625451917,0.018458432754880693,1844,643,241,303,241,2324,1844,2021,303,0.8696213425129088,1.0,False,500,doc_id,-0.04345131291355314,-0.05681453678192176,-0.03070133932323006
2018,ADHD,lived_only,target,ADHD,-0.04188088636563683,0.24446724624929117,0.11004867089164685,0.04091267494058621,1623,619,215,269,216,2031,1623,1730,268,0.8517971442639094,0.9962825278810409,False,500,doc_id,-0.041773969385131546,-0.054542884180664934,-0.028303158321849216
2019,ADHD,lived_only,target,ADHD,-0.02715188436887547,0.2559197848388384,0.12262073070607553,0.04776919460776524,1798,588,223,299,223,2242,1798,1938,299,0.864406779661017,1.0,False,500,doc_id,-0.027184433162783152,-0.04095719811259319,-0.013024199480868177
2020,ADHD,lived_only,target,ADHD,-0.034232041499836316,0.24852823463871554,0.11673927501196142,0.03832319382538843,1891,634,239,312,240,2351,1891,2042,311,0.86856656741812,0.9967948717948718,False,500,doc_id,-0.03448647068420492,-0.046921266025156755,-0.022390672566040014
2021,ADHD,lived_only,target,ADHD,-0.04464150090415914,0.23881385007401557,0.11409997379248893,0.029939071467882692,1817,622,232,299,232,2236,1817,1954,299,0.8738819320214669,1.0,False,500,doc_id,-0.04469155537197291,-0.056757721658071775,-0.03257087895463043
2022,ADHD,lived_only,target,ADHD,-0.03877333311226069,0.25633003755856054,0.12339192090020781,0.04304534531547066,2154,723,254,356,254,2728,2154,2318,354,0.8497067448680352,0.9943820224719101,False,500,doc_id,-0.0388055401955437,-0.049145999027949146,-0.026988134171536095
2023,ADHD,lived_only,target,ADHD,-0.05377899379329882,0.24546380657832362,0.1287724793324577,0.04094194545314069,1849,620,216,299,216,2310,1849,1980,299,0.8571428571428571,1.0,False,500,doc_id,-0.05421526418979781,-0.06520328794457896,-0.04229927831147262
2024,ADHD,lived_only,target,ADHD,-0.03828659696784697,0.249417286564132,0.10643566468253968,0.04736974206349206,1872,651,227,313,227,2384,1872,2009,313,0.8427013422818792,1.0,False,500,doc_id,-0.03787240522230539,-0.0497574619942046,-0.02676424637145498
2025,ADHD,lived_only,target,ADHD,-0.027193679421116106,0.24858964861900115,0.1403487245550561,0.07399387494061324,1303,493,148,216,148,1633,1303,1383,212,0.8469075321494183,0.9814814814814815,False,500,doc_id,-0.027841404700492546,-0.043280572774553834,-0.012893702340945045
2026,ADHD,lived_only,target,ADHD,-0.022364895855249315,0.2495077747790508,0.09184225050845081,0.03446991023213409,679,317,76,109,76,846,679,730,109,0.8628841607565012,1.0,False,500,doc_id,-0.021890386443541764,-0.04335908959824659,0.00033962983642315766
2014,ADHD,mixed,target,ADHD,-0.04414661091753774,0.24843939649369007,0.09580897328687572,0.03936716144018583,1025,445,152,183,152,1324,1025,1111,183,0.8391238670694864,1.0,False,500,doc_id,-0.04408498761973563,-0.06041612169545639,-0.027308647234763946
2015,ADHD,mixed,target,ADHD,-0.0517051324101069,0.24081454115033502,0.07235329810495628,0.009715722181729834,784,352,109,128,109,952,784,848,128,0.8907563025210085,1.0,False,500,doc_id,-0.05188073176678599,-0.07231280909706023,-0.03316282616220116
