lsc_year,analysis_unit,frame_stratum,collocate,occurrences,arousal,valence,documents,occurrence_share,weighted_arousal_contribution,total_matches_for_unit_year_frame
2014,ADHD,clinical_only,and,405,0.0,0.0,319,0.05465587044534413,0.0,7410
2014,ADHD,clinical_only,be,304,-0.1867142857142857,0.04857142857142858,234,0.041025641025641026,-56.76114285714285,7410
2014,ADHD,clinical_only,with,291,-0.119,0.148,238,0.039271255060728746,-34.629,7410
2014,ADHD,clinical_only,of,280,-0.119,-0.111,207,0.037786774628879895,-33.32,7410
2014,ADHD,clinical_only,child,190,-0.0020000000000000018,0.7689999999999999,152,0.02564102564102564,-0.38000000000000034,7410
2014,ADHD,clinical_only,to,165,-0.095,0.10999999999999999,145,0.022267206477732792,-15.675,7410
2014,ADHD,clinical_only,have,160,-0.22200000000000003,0.514,141,0.021592442645074223,-35.52,7410
2014,ADHD,clinical_only,for,129,0.0,0.0,115,0.017408906882591092,0.0,7410
2014,ADHD,clinical_only,add,105,-0.10500000000000001,0.29000000000000004,88,0.01417004048582996,-11.025,7410
2014,ADHD,clinical_only,disorder,84,0.53,-0.675,72,0.011336032388663968,44.52,7410
2014,ADHD,clinical_only,autism,80,0.0,-0.53,73,0.010796221322537112,0.0,7410
2014,ADHD,clinical_only,diagnose,78,-0.035500000000000004,-0.45550000000000007,68,0.010526315789473684,-2.769,7410
2014,ADHD,clinical_only,that,72,0.077,0.0,68,0.009716599190283401,5.544,7410
2014,ADHD,clinical_only,medication,65,-0.122,0.23,53,0.008771929824561403,-7.93,7410
2014,ADHD,clinical_only,symptom,62,0.058,-0.24,53,0.008367071524966262,3.596,7410
2014,ADHD,lived_only,with,97,-0.119,0.148,76,0.052976515565264885,-11.543,1831
2014,ADHD,lived_only,and,95,0.0,0.0,81,0.05188421627525942,0.0,1831
2014,ADHD,lived_only,have,83,-0.22200000000000003,0.514,72,0.04533042053522665,-18.426000000000002,1831
2014,ADHD,lived_only,be,81,-0.1867142857142857,0.04857142857142858,68,0.04423812124522119,-15.12385714285714,1831
2014,ADHD,lived_only,of,46,-0.11900000000000001,-0.111,45,0.025122883670125613,-5.474,1831
2014,ADHD,lived_only,child,38,-0.0020000000000000018,0.7689999999999999,33,0.02075368651010377,-0.07600000000000007,1831
2014,ADHD,lived_only,to,35,-0.095,0.11,32,0.019115237575095576,-3.325,1831
2014,ADHD,lived_only,for,28,0.0,0.0,26,0.015292190060076462,0.0,1831
2014,ADHD,lived_only,that,27,0.07700000000000001,0.0,26,0.01474604041507373,2.079,1831
2014,ADHD,lived_only,diagnose,24,-0.035500000000000004,-0.4555,23,0.013107591480065538,-0.8520000000000001,1831
2014,ADHD,lived_only,as,16,0.0,0.0,16,0.008738394320043691,0.0,1831
2014,ADHD,lived_only,he,16,0.0,0.3055,14,0.008738394320043691,0.0,1831
2014,ADHD,lived_only,it,16,-0.282,0.0,14,0.008738394320043691,-4.512,1831
2014,ADHD,lived_only,about,15,0.0,0.0,15,0.008192244675040962,0.0,1831
2014,ADHD,lived_only,do,15,0.1026,0.04880000000000002,12,0.008192244675040962,1.539,1831
2014,ADHD,mixed,be,59,-0.1867142857142857,0.04857142857142858,48,0.0575609756097561,-11.016142857142857,1025
2014,ADHD,mixed,and,46,0.0,0.0,37,0.0448780487804878,0.0,1025
2014,ADHD,mixed,with,39,-0.119,0.148,36,0.03804878048780488,-4.641,1025
2014,ADHD,mixed,child,27,-0.0020000000000000018,0.7689999999999999,21,0.026341463414634145,-0.05400000000000005,1025
2014,ADHD,mixed,of,25,-0.11899999999999998,-0.111,22,0.024390243902439025,-2.9749999999999996,1025
