analysis_unit,frame_stratum,term_role,target_group,index_name,n_years,year_center,linear_intercept,linear_slope_per_year,linear_slope_se,linear_p_value,linear_r_squared,linear_adj_r_squared,standardized_beta_year,durbin_watson,lag1_residual_autocorrelation,autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,quadratic_adj_r_squared,quadratic_delta_adj_r_squared
ADHD,clinical_only,target,ADHD,arousal_mean,13,2020.0,-0.019026375237321976,0.0013114479985479387,0.0004137297688536824,0.008921510246953314,0.47737869509878095,0.4298676673804883,0.6909259693330256,2.718894351941462,-0.3896423953645136,False,,,0.38557200758473453,-0.04429565979575378
ADHD,lived_only,target,ADHD,arousal_mean,13,2020.0,-0.039346230420840955,0.001364412416158336,0.000677357727645263,0.06908707691317842,0.26946550981487016,0.20305328343440376,0.5191006740651282,1.6391663297053745,0.14478300589159754,False,,,0.12538706839816083,-0.07766621503624294
ADHD,mixed,target,ADHD,arousal_mean,13,2020.0,-0.03216359262769464,0.0006870637746613417,0.0008104413103523542,0.41463476526846793,0.06132976803628276,-0.02400388941496434,0.24764847674936963,1.8060037001143125,0.0756299879858068,False,,,0.08415582608023287,0.1081597154951972
ADHD,substantive_core_overall,target,ADHD,arousal_mean,13,2020.0,-0.025004190678786117,0.0010128634634197153,0.0003742362851730796,0.020418885846567283,0.39972847169880754,0.34515833276233543,0.6322408336218153,1.881084110206786,0.04998848313985666,False,,,0.2973368139787004,-0.04782151878363505
Autism,clinical_only,target,Autism,arousal_mean,13,2020.0,-0.01421937112505675,0.001099460856842728,0.00029451299315785026,0.003305313177667897,0.558877797816786,0.5187757794364938,0.7475812984664518,2.1796593662075185,-0.42379017798928864,False,,,0.5332039740957828,0.014428194659289018
Autism,lived_only,target,Autism,arousal_mean,13,2020.0,-0.04455643411555082,0.001678965915888644,0.001161662218727132,0.17624987454546945,0.15959521346876526,0.08319477832956212,0.3994936964067961,2.260692334309822,-0.15306986643515966,False,,,0.1348660613845638,0.05167128305500168
Autism,mixed,target,Autism,arousal_mean,13,2020.0,-0.039163415756004544,0.0010739091831117804,0.0005559257346449169,0.07954966686674828,0.2533086367861136,0.18542760376666934,0.5032977615548411,1.9248304239539358,-0.10868022908885384,False,,,0.14528272477248017,-0.04014487899418917
Autism,substantive_core_overall,target,Autism,arousal_mean,13,2020.0,-0.028353798163446617,0.0011373291301841812,0.0005593748620725999,0.06688019303471886,0.2731579267365676,0.20708137462171006,0.5226451250481227,2.345848414878616,-0.23630596592254,False,,,0.20241241499906493,-0.00466895962264513
frustration,unframed_baseline,baseline,baseline,arousal_mean,13,2020.0,-0.024250053510879478,-0.00026088736650709844,0.0002119445991484559,0.24402251568449573,0.12106667998395637,0.0411636508915888,-0.34794637515564947,0.608791886187977,0.6170790023033361,True,-0.000998701003097209,0.04970483483487769,0.477426440714978,0.4362627898233892
loneliness,unframed_baseline,baseline,baseline,arousal_mean,13,2020.0,-0.0238633697842962,7.573665042026155e-05,0.0003582739812390315,0.8364460203376556,0.004046021941210842,-0.08649524879140635,0.06360834804654879,1.8224144799412614,0.08046042100530718,False,,,0.13356180180519672,0.22005705059660308
sadness,unframed_baseline,baseline,baseline,arousal_mean,13,2020.0,-0.002062954540077708,0.001971615234430751,0.00025816661462255624,1.0129811492480113e-05,0.8413238314479056,0.826898725215897,0.9172370639305337,2.380032398149248,-0.19761172008573308,False,,,0.8129403342991744,-0.013958390916722574
