lsc_year,analysis_unit,frame_stratum,term_role,target_group,arousal_warriner_mean,arousal_warriner_sd,arousal_scaled_mean,arousal_scaled_sd,valence_warriner_mean_for_reference,valence_scaled_mean_for_reference,dominance_warriner_mean_for_reference,matched_warriner_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,arousal_warriner_bootstrap_mean,arousal_warriner_ci_low,arousal_warriner_ci_high,arousal_scaled_bootstrap_mean,arousal_scaled_ci_low,arousal_scaled_ci_high
2014,ADHD,clinical_only,target,ADHD,4.133536660505237,0.8134900640871713,0.3916920825631547,0.10168625801089638,5.3985602793181355,0.5498200349147669,5.355730129390018,4869,966,800,1286,808,9069,4869,4871,1259,0.5371044216561914,0.97900466562986,False,500,doc_id,4.134334638304044,4.110206907051283,4.160050443280462,0.39179182978800564,0.3887758633814103,0.3950063054100578
2015,ADHD,clinical_only,target,ADHD,4.1130547976352885,0.7947033815129242,0.3891318497044111,0.0993379226891156,5.391706457480673,0.5489633071850841,5.392947930877672,4398,957,759,1203,774,8360,4398,4400,1175,0.5263157894736842,0.9767248545303409,False,500,doc_id,4.114225171557127,4.086257422334819,4.141005654471453,0.3892781464446409,0.38578217779185253,0.3926257068089316
2016,ADHD,clinical_only,target,ADHD,4.11419215503152,0.7881493756344883,0.38927401937894,0.09851867195431109,5.33172892832127,0.5414661160401587,5.358084286714919,4283,946,784,1149,790,8030,4283,4284,1136,0.5334993773349938,0.9886858137510879,False,500,doc_id,4.1142086545309295,4.086133546371413,4.14166169204012,0.3892760818163662,0.38576669329642665,0.39270771150501504
2017,ADHD,clinical_only,target,ADHD,4.111937622789784,0.811620196092984,0.388992202848723,0.10145252451162305,5.334540766208251,0.5418175957760314,5.3336394891945,4072,941,744,1099,751,7593,4072,4077,1075,0.5369419201896484,0.978161965423112,False,500,doc_id,4.112201475775879,4.084837809554457,4.141459453099579,0.3890251844719849,0.38560472619430697,0.3926824316374475
2018,ADHD,clinical_only,target,ADHD,4.114713938590678,0.8018656445014618,0.38933924232383477,0.10023320556268273,5.363711066931743,0.5454638833664679,5.377294013695604,4527,979,781,1182,787,8408,4527,4532,1168,0.5390104662226451,0.988155668358714,False,500,doc_id,4.114316636651235,4.087470474375849,4.1409070410531745,0.38928957958140437,0.38593380929698123,0.3926133801316468
2019,ADHD,clinical_only,target,ADHD,4.125590755647884,0.7914062990259157,0.39069884445598546,0.09892578737823955,5.272373409504025,0.5340466761880032,5.336582705790704,3851,852,665,1000,674,7120,3851,3851,983,0.5408707865168539,0.983,False,500,doc_id,4.126943723576285,4.096266202197359,4.15496482512488,0.39086796544703567,0.3870332752746699,0.39437060314061
2020,ADHD,clinical_only,target,ADHD,4.089698795180723,0.7865760829024592,0.38621234939759036,0.09832201036280731,5.328415522555338,0.5410519403194172,5.348485570187727,3569,800,661,959,668,6722,3569,3572,939,0.5313894674204106,0.9791449426485923,False,500,doc_id,4.089402014690022,4.057848581355533,4.1188487245883945,0.38617525183625273,0.3822310726694416,0.38985609057354936
2021,ADHD,clinical_only,target,ADHD,4.138755787037037,0.8131328438048557,0.3923444733796297,0.10164160547560694,5.291180555555555,0.5363975694444444,5.288857060185186,3456,880,634,928,636,6430,3456,3459,913,0.5379471228615863,0.9838362068965517,False,500,doc_id,4.140064957512274,4.109803139432787,4.1713428962365455,0.3925081196890342,0.38872539242909837,0.39641786202956814
2022,ADHD,clinical_only,target,ADHD,4.0840597932383345,0.8208744112876423,0.38550747415479186,0.10260930141095523,5.344646549315452,0.5430808186644314,5.395979323833473,3579,851,627,930,634,6550,3579,3580,916,0.5465648854961832,0.9849462365591398,False,500,doc_id,4.083706640038022,4.052122718640842,4.1160801002881,0.38546333000475275,0.3815153398301052,0.3895100125360125
2023,ADHD,clinical_only,target,ADHD,4.122442031652557,0.798785810484214,0.39030525395656973,0.0998482263105267,5.3361262421788735,0.5420157802723592,5.341492454913508,2717,755,467,750,477,5142,2717,2718,722,0.5285880980163361,0.9626666666666667,False,500,doc_id,4.121744972315093,4.0893745153848595,4.157796221487698,0.3902181215393866,0.3861718144231074,0.3947245276859622
2024,ADHD,clinical_only,target,ADHD,4.093854684512428,0.7943396117619473,0.38673183556405355,0.09929245147024335,5.322845124282983,0.5403556405353729,5.374478011472275,2615,691,447,704,457,4861,2615,2616,685,0.5381608722485085,0.9730113636363636,False,500,doc_id,4.094619556832191,4.059889533719263,4.12864413155057,0.3868274446040239,0.3824861917149078,0.3910805164438213
2025,ADHD,clinical_only,target,ADHD,4.104859346642469,0.7793032772942567,0.3881074183303085,0.0974129096617821,5.310113430127042,0.5387641787658802,5.38021778584392,2204,656,371,578,380,4040,2204,2204,554,0.5455445544554456,0.9584775086505191,False,500,doc_id,4.104594178161271,4.062129932184273,4.147806389549404,0.38807427227015884,0.38276624152303423,0.3934757986936755
2026,ADHD,clinical_only,target,ADHD,4.050494053064958,0.7754301259495726,0.38131175663311984,0.09692876574369658,5.327941445562671,0.5409926806953339,5.394409881061299,1093,423,169,271,170,1986,1093,1093,268,0.5503524672708963,0.988929889298893,False,500,doc_id,4.052211711394979,3.996971921868991,4.110249172397591,0.38152646392437234,0.3746214902336239,0.38878114654969886
2014,ADHD,lived_only,target,ADHD,4.007679362267494,0.751137624163266,0.37595992028343667,0.09389220302040825,5.650974313551815,0.5813717891939769,5.46859167404783,1129,457,243,310,243,2326,1129,1129,309,0.48538263112639723,0.9967741935483871,False,500,doc_id,4.0084511613427996,3.959666066894429,4.05651337758899,0.37605639516785005,0.3699582583618036,0.38206417219862376
2015,ADHD,lived_only,target,ADHD,4.056548223350254,0.7267170537407263,0.3820685279187817,0.09083963171759084,5.7091751269035536,0.5886468908629442,5.509213197969544,788,343,166,216,169,1638,788,789,213,0.4816849816849817,0.9861111111111112,False,500,doc_id,4.057561270476377,4.008714167636502,4.111291566250777,0.38219515880954713,0.3760892709545628,0.3889114457813471
2016,ADHD,lived_only,target,ADHD,4.044926787252368,0.7443007704393774,0.38061584840654605,0.09303759630492221,5.6360292850990525,0.5795036606373816,5.535193798449612,1161,449,245,309,245,2378,1161,1161,309,0.48822539949537425,1.0,False,500,doc_id,4.0478735055037065,4.003830437494432,4.093738265224037,0.3809841881879633,0.3754788046868039,0.38671728315300463
2017,ADHD,lived_only,target,ADHD,4.050990443092962,0.7764451160059255,0.38137380538662036,0.09705563950074067,5.7031277150304085,0.5878909643788011,5.508531711555169,1151,448,239,303,241,2324,1151,1152,301,0.49569707401032703,0.9933993399339934,False,500,doc_id,4.0497007862456575,4.002576834282722,4.098166538399872,0.3812125982807072,0.37532210428534024,0.3872708172999839
2018,ADHD,lived_only,target,ADHD,4.090184804928132,0.7912232887347878,0.38627310061601644,0.09890291109184846,5.657227926078029,0.5821534907597536,5.529989733059549,974,420,212,269,216,2031,974,974,264,0.4795667159034958,0.9814126394052045,False,500,doc_id,4.086895594127853,4.036926692663623,4.141277350867464,0.38586194926598166,0.3796158365829529,0.392659668858433
2019,ADHD,lived_only,target,ADHD,4.0800180995475115,0.750503695376351,0.38500226244343894,0.09381296192204393,5.681981900452489,0.5852477375565611,5.543013574660633,1105,408,223,299,223,2242,1105,1106,299,0.4933095450490633,1.0,False,500,doc_id,4.0781991849738715,4.036971613271096,4.117854113495639,0.38477489812173404,0.37962145165888705,0.3897317641869549
2020,ADHD,lived_only,target,ADHD,4.060773109243697,0.7559213343332528,0.38259663865546223,0.09449016679165659,5.703058823529412,0.5878823529411765,5.532789915966387,1190,437,239,312,240,2351,1190,1190,311,0.5061675882603147,0.9967948717948718,False,500,doc_id,4.061373805209814,4.013604086319099,4.106839453611317,0.38267172565122676,0.3767005107898875,0.3883549317014147
2021,ADHD,lived_only,target,ADHD,4.027270245677889,0.740933425680445,0.3784087807097361,0.09261667821005565,5.609672429481346,0.5762090536851683,5.490327570518653,1099,414,232,299,232,2236,1099,1099,297,0.4915026833631485,0.9933110367892977,False,500,doc_id,4.028061575576691,3.9830677840797075,4.074817271538726,0.3785076969470864,0.3728834730099635,0.38435215894234076
