lsc_year,analysis_unit,frame_stratum,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag
2014,ADHD,clinical_only,1286,808,4888,4024,4026,1235,0.8236497545008183,0.9603421461897356,False
2014,ADHD,lived_only,310,243,1041,836,836,307,0.803073967339097,0.9903225806451613,False
2014,ADHD,mixed,183,152,666,521,521,176,0.7822822822822822,0.9617486338797814,False
2014,ADHD,substantive_core_overall,1779,1093,6595,5381,5383,1718,0.8162244124336618,0.9657110736368747,False
2014,Autism,clinical_only,2850,1708,12440,9961,9970,2839,0.8014469453376206,0.996140350877193,False
2014,Autism,lived_only,1303,937,5063,4113,4113,1280,0.8123642109421292,0.9823484267075978,False
2014,Autism,mixed,660,502,2797,2296,2299,657,0.8219520915266357,0.9954545454545455,False
2014,Autism,substantive_core_overall,4813,2858,20300,16370,16382,4776,0.8069950738916256,0.9923124870143362,False
2014,frustration,unframed_baseline,11401,10238,41880,33831,33845,11238,0.808142311365807,0.9857030085080256,False
2014,loneliness,unframed_baseline,3209,2621,11982,9738,9739,3169,0.8128025371390419,0.9875350576503583,False
2014,sadness,unframed_baseline,6174,5212,21459,17640,17642,6088,0.8221259145346941,0.98607061872368,False
2015,ADHD,clinical_only,1203,774,4464,3617,3619,1158,0.8107078853046595,0.9625935162094763,False
2015,ADHD,lived_only,216,169,755,613,614,210,0.8132450331125828,0.9722222222222222,False
2015,ADHD,mixed,128,109,494,419,421,125,0.8522267206477733,0.9765625,False
2015,ADHD,substantive_core_overall,1547,993,5713,4649,4654,1493,0.8146332924908104,0.9650937297996122,False
2015,Autism,clinical_only,2083,1322,9455,7462,7482,2066,0.7913273400317292,0.9918386941910706,False
2015,Autism,lived_only,1055,741,4117,3357,3357,1037,0.8153995627884382,0.9829383886255925,False
2015,Autism,mixed,539,413,2307,1815,1817,529,0.787602947550932,0.9814471243042672,False
2015,Autism,substantive_core_overall,3677,2252,15879,12634,12656,3632,0.7970275206247245,0.9877617623062279,False
2015,frustration,unframed_baseline,8543,7595,31211,25690,25702,8416,0.8234917176636443,0.9851340278590659,False
2015,loneliness,unframed_baseline,2759,2265,10410,8571,8574,2728,0.8236311239193084,0.9887640449438202,False
2015,sadness,unframed_baseline,4936,4145,17163,14132,14133,4862,0.8234574375109247,0.9850081037277147,False
2016,ADHD,clinical_only,1149,790,4295,3581,3582,1114,0.8339930151338766,0.9695387293298521,False
2016,ADHD,lived_only,309,245,1109,895,895,302,0.8070333633904418,0.9773462783171522,False
2016,ADHD,mixed,182,142,700,565,565,176,0.8071428571428572,0.967032967032967,False
2016,ADHD,substantive_core_overall,1640,1098,6104,5041,5042,1592,0.8260157273918742,0.9707317073170731,False
2016,Autism,clinical_only,2175,1392,9691,7693,7707,2166,0.7952739655350325,0.9958620689655172,False
2016,Autism,lived_only,1367,931,5380,4323,4323,1343,0.8035315985130111,0.9824433065106072,False
2016,Autism,mixed,678,501,2892,2316,2316,670,0.8008298755186722,0.9882005899705014,False
2016,Autism,substantive_core_overall,4220,2553,17963,14332,14346,4179,0.798641652285253,0.9902843601895734,False
2016,frustration,unframed_baseline,10068,9003,36967,30408,30416,9927,0.8227878919035897,0.9859952324195471,False
2016,loneliness,unframed_baseline,3561,2884,13446,11053,11057,3513,0.8223263424066637,0.9865206402695872,False
2016,sadness,unframed_baseline,6011,5057,21274,17452,17456,5919,0.8205321049167998,0.9846947263350524,False
2017,ADHD,clinical_only,1099,751,4123,3358,3363,1049,0.815668202764977,0.9545040946314831,False
2017,ADHD,lived_only,303,241,1073,881,882,296,0.8219944082013048,0.976897689768977,False
