analysis_unit,frame_stratum,term_role,target_group,index_name,value_column,n_years,year_center,linear_intercept,warriner_scaled_linear_slope_per_year,linear_slope_se,warriner_scaled_linear_p_value,linear_r_squared,warriner_scaled_linear_adj_r_squared,standardized_beta_year,durbin_watson,lag1_residual_autocorrelation,warriner_scaled_autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,quadratic_adj_r_squared,quadratic_delta_adj_r_squared,nrc_linear_slope_per_year,nrc_linear_p_value,nrc_linear_adj_r_squared,nrc_autocorrelation_flag,slope_direction_agrees
ADHD,clinical_only,target,ADHD,warriner_arousal_scaled_0_1,arousal_scaled_mean,13,2020.0,0.40196926483911527,-0.0008549691007906314,0.00020870021974302193,0.0017694672891681148,0.6040664109264603,0.5680724482834112,-0.7772170938202935,1.5244663618919867,0.07384211076944903,False,,,0.7480428421378017,0.1799703938543905,0.0002121324778678,0.7384785139815639,-0.0794026038016288,False,False
ADHD,lived_only,target,ADHD,warriner_arousal_scaled_0_1,arousal_scaled_mean,13,2020.0,0.39900292504901286,-0.00043989428964657953,0.00037442261509901384,0.26485618699295255,0.11149141960227327,0.030717912293388938,-0.33390330876209245,1.1972507071158531,0.24666903473478471,True,-0.0009577811536187382,0.08064764756273204,0.5018555159175044,0.4711376036241155,0.0014961918261251,0.1231926227234267,0.1296348618974157,False,False
ADHD,mixed,target,ADHD,warriner_arousal_scaled_0_1,arousal_scaled_mean,13,2020.0,0.3983809088685649,-0.0012843280475861162,0.0002846870416877788,0.000884506925465467,0.6491501411459468,0.617254699431942,-0.8056985423506411,2.7626344236675777,-0.40346250558683894,True,-0.0012668726412800517,0.00017266628783504966,0.5875535950381474,-0.029701104393794586,-0.0001523908806159,0.9106991258614402,-0.0896044273974598,False,True
ADHD,substantive_core_overall,target,ADHD,warriner_arousal_scaled_0_1,arousal_scaled_mean,13,2020.0,0.40100018541290133,-0.0008623974967473405,0.00019165145231557352,0.000901472561879381,0.6479819943295098,0.6159803574503743,-0.804973287960233,0.9481235853646443,0.4232432811851482,True,-0.00114001686650413,0.007567866785211628,0.8450250461769623,0.229044688726588,6.539854031933056e-05,0.8995696776713757,-0.0892573917794896,False,False
Autism,clinical_only,target,Autism,warriner_arousal_scaled_0_1,arousal_scaled_mean,13,2020.0,0.40241352846201744,-0.00028824078960299263,0.00021270603379969487,0.20255545690129456,0.1430573938890468,0.0651535206062328,-0.37822928745543605,2.258640174152874,-0.30287386932111715,False,,,-0.02662339160805982,-0.09177691221429263,0.000985721661208,0.0478901111576847,0.2478135434420206,False,False
Autism,lived_only,target,Autism,warriner_arousal_scaled_0_1,arousal_scaled_mean,13,2020.0,0.39796998318954585,0.0003255210621459928,0.0008436385818631046,0.7069631241864929,0.013354079617972858,-0.0763410040531205,0.1155598529679444,2.764448274857585,-0.48708634848680327,True,0.0005884758418087628,0.3342566299330867,-0.1644076405145516,-0.08806663646143109,0.0025414947778987,0.2515057215226688,0.0373027996266895,False,True
Autism,mixed,target,Autism,warriner_arousal_scaled_0_1,arousal_scaled_mean,13,2020.0,0.3940883200920208,-0.0005938011552402825,0.0002711476554683175,0.05097224187380951,0.3036168831332371,0.2403093270544404,-0.5510144128180654,3.072754790063877,-0.6722327900215864,True,-0.0005077920604589639,0.004607603716283269,0.16441622437146042,-0.07589310268298,0.0004269695374307,0.6678794151764023,-0.0719717506259813,False,False
Autism,substantive_core_overall,target,Autism,warriner_arousal_scaled_0_1,arousal_scaled_mean,13,2020.0,0.39966272735965186,-0.0001910952639456972,0.0003981445058515032,0.6406544669424066,0.020512778137424914,-0.06853151475917274,-0.1432228268727543,2.6693400467199093,-0.45699398670547725,False,,,-0.16422896394229491,-0.09569744918312217,0.0010924032024318,0.2229248270527008,0.052777538871583,False,False
frustration,unframed_baseline,baseline,baseline,warriner_arousal_scaled_0_1,arousal_scaled_mean,13,2020.0,0.3983991998648688,-0.0006584036434328955,0.00023478940031838795,0.017144533915077746,0.41686973987489806,0.3638578980453434,-0.6456545050372514,0.5096779466307025,0.6971741064989878,True,-0.001704982889962842,0.005804999980663971,0.8506777149016089,0.4868198168562655,-0.0004428073840534,0.4461368429666852,-0.032316136924593,True,True
loneliness,unframed_baseline,baseline,baseline,warriner_arousal_scaled_0_1,arousal_scaled_mean,13,2020.0,0.4112177862964449,-0.0009871916116220502,0.0002765288488486082,0.004395518330816132,0.5367343760557901,0.49461931933358916,-0.7326215776618848,1.6774206178490918,0.15533590246334786,False,,,0.6812435858145812,0.18662426648099206,-0.0006035160863522,0.318523603235018,0.007579465664688,False,True
sadness,unframed_baseline,baseline,baseline,warriner_arousal_scaled_0_1,arousal_scaled_mean,13,2020.0,0.43094724611486923,0.00015841000329820315,0.00020174634449835908,0.44892132024833703,0.053073466909410505,-0.033010763371552176,0.23037679333953676,1.9099195781356835,-0.039494860664935696,False,,,0.07480489016302094,0.10781565353457312,0.0027566299466647,6.752126769710993e-05,0.7570498084774273,False,True
