analysis_unit,frame_stratum,collocate,occurrences,documents,arousal_warriner_mean,arousal_scaled_mean,valence_warriner_mean,source_terms,unit_frame_occurrences,collocate_share
ADHD,clinical_only,child,1404,1192,5.21,0.52625,6.78,child|children,37826,0.03711732670649818
ADHD,clinical_only,disorder,1114,948,4.9,0.48750000000000004,3.7599999999999993,disorder,37826,0.02945064241526992
ADHD,clinical_only,autism,1057,937,4.1,0.38749999999999996,3.2,autism,37826,0.027943742399407816
ADHD,clinical_only,add,991,822,4.0,0.375,6.23,add,37826,0.026198910802093796
ADHD,clinical_only,anxiety,672,634,4.78,0.47250000000000003,2.38,anxiety,37826,0.017765558081742717
ADHD,clinical_only,symptom,665,585,4.17,0.39624999999999994,3.3300000000000005,symptom,37826,0.017580500185057895
ADHD,clinical_only,depression,613,576,5.2,0.525,2.44,depression,37826,0.01620578438111352
ADHD,clinical_only,diagnose,547,491,3.72,0.34,5.0,diagnose,37826,0.014460952783799504
ADHD,clinical_only,treatment,488,415,4.47,0.43374999999999997,5.0,treatment,37826,0.012901179083170306
ADHD,clinical_only,include,485,473,3.05,0.25625,6.39,include,37826,0.01282186855601967
ADHD,clinical_only,treat,484,445,5.0,0.5,6.84,treat,37826,0.012795431713636124
ADHD,clinical_only,medication,451,384,4.56,0.4449999999999999,3.65,medication,37826,0.011923015914979115
ADHD,clinical_only,adult,438,340,4.36,0.42000000000000004,5.9,adult,37826,0.01157933696399302
ADHD,clinical_only,condition,434,411,3.9599999999999995,0.36999999999999994,4.605,condition|conditioning,37826,0.011473589594458837
ADHD,clinical_only,like,424,398,4.4,0.42500000000000004,7.4399999999999995,like,37826,0.01120922117062338
ADHD,clinical_only,diagnosis,363,330,4.0,0.375,4.62,diagnosis,37826,0.009596573785227092
ADHD,clinical_only,learn,355,331,4.8,0.475,6.85,learn,37826,0.009385079046158727
ADHD,clinical_only,disability,326,300,3.8999999999999995,0.3625,2.95,disability,37826,0.008618410617035901
ADHD,clinical_only,people,313,287,3.77,0.34625,5.7,people,37826,0.008274731666049808
ADHD,clinical_only,problem,283,272,4.81,0.4762499999999999,3.52,problem,37826,0.007481626394543436
ADHD,clinical_only,help,274,260,4.29,0.41125,6.95,help,37826,0.007243694813091524
ADHD,clinical_only,drug,229,200,5.130000000000001,0.5162500000000001,3.9850000000000003,drug|drugs,37826,0.006054036905831967
ADHD,clinical_only,spectrum,222,203,3.0499999999999994,0.25625,6.650000000000001,spectrum,37826,0.005868979009147147
ADHD,clinical_only,behavior,215,201,4.27,0.40874999999999995,5.28,behavior,37826,0.005683921112462327
ADHD,clinical_only,issue,207,198,4.55,0.4437499999999999,3.9500000000000006,issue,37826,0.0054724263733939614
ADHD,lived_only,autism,403,367,4.1,0.3875,3.2,autism,10342,0.03896731773351383
ADHD,lived_only,child,326,273,5.21,0.52625,6.78,child|children,10342,0.031521949332817635
ADHD,lived_only,add,190,168,4.0,0.375,6.23,add,10342,0.018371688261458134
ADHD,lived_only,diagnose,181,175,3.72,0.34,5.0,diagnose,10342,0.017501450396441694
ADHD,lived_only,like,160,146,4.4,0.425,7.44,like,10342,0.015470895378070006
ADHD,lived_only,people,143,128,3.77,0.34625,5.7,people,10342,0.013827112744150067
ADHD,lived_only,adult,127,99,4.36,0.42000000000000004,5.9,adult,10342,0.012280023206343067
ADHD,lived_only,help,124,113,4.29,0.41125,6.95,help,10342,0.011989943918004254
ADHD,lived_only,learn,122,113,4.8,0.475,6.85,learn,10342,0.01179655772577838
ADHD,lived_only,anxiety,118,116,4.78,0.47250000000000003,2.38,anxiety,10342,0.011409785341326629
ADHD,lived_only,kid,113,107,5.2,0.525,6.855,kid|kids,10342,0.010926319860761941
ADHD,lived_only,disorder,108,99,4.9,0.48750000000000004,3.76,disorder,10342,0.010442854380197254
ADHD,lived_only,student,101,82,4.25,0.40625,6.409999999999999,student,10342,0.009766002707406692
ADHD,lived_only,autistic,91,81,4.24,0.405,3.62,autistic,10342,0.008799071746277316
ADHD,lived_only,disability,91,80,3.9,0.3625,2.9499999999999997,disability,10342,0.008799071746277316
ADHD,lived_only,parent,89,78,4.14,0.39249999999999996,6.73,parent,10342,0.00860568555405144
ADHD,lived_only,diagnosis,82,79,4.0,0.375,4.62,diagnosis,10342,0.007928833881260878
ADHD,lived_only,challenge,78,68,5.25,0.53125,5.95,challenge,10342,0.007542061496809128
ADHD,lived_only,know,70,65,3.24,0.28,6.82,know,10342,0.006768516727905628
ADHD,lived_only,life,70,66,5.59,0.57375,6.68,life,10342,0.006768516727905628
ADHD,lived_only,live,70,62,4.71,0.46375,7.95,live,10342,0.006768516727905628
ADHD,lived_only,work,68,66,4.33,0.41625,5.05,work,10342,0.0065751305356797525
ADHD,lived_only,include,66,64,3.05,0.25625,6.39,include,10342,0.006381744343453877
ADHD,lived_only,brain,64,58,3.35,0.29375,6.22,brain,10342,0.006188358151228002
ADHD,lived_only,depression,64,60,5.2,0.525,2.44,depression,10342,0.006188358151228002
ADHD,mixed,child,220,190,5.21,0.52625,6.78,child|children,6162,0.03570269393054203
ADHD,mixed,autism,202,192,4.1,0.38749999999999996,3.2000000000000006,autism,6162,0.03278156442713405
