dimension,analysis_unit,frame_stratum,A_nrc_set_nrc_ratings_beta,B_warriner_set_warriner_ratings_beta,C_shared_set_nrc_ratings_beta,D_shared_set_warriner_ratings_beta,A_nrc_set_nrc_ratings_p,B_warriner_set_warriner_ratings_p,C_shared_set_nrc_ratings_p,D_shared_set_warriner_ratings_p,verdict_A_vs_B,coverage_effect_A_to_C,rating_effect_C_to_D,residual_coverage_D_to_B,total_A_to_B
valence,ADHD,substantive_core_overall,0.46083142219611584,0.27320382455583636,0.48414491350243877,0.2865250147093478,0.11299952634889318,0.3664454638115548,0.09364510445479807,0.3425721932696593,agree,0.02331349130632293,-0.19761989879309094,-0.013321190153511464,-0.18762759764027948
valence,Autism,substantive_core_overall,0.5018806200988867,0.643126283088469,0.6025955837209761,0.5192493227978038,0.08053865935862828,0.0177293302905288,0.029279414868481093,0.0689935110205355,differ,0.10071496362208943,-0.08334626092317232,0.1238769602906652,0.1412456629895823
valence,frustration,unframed_baseline,0.6671710883546743,0.6428196050508445,0.678633037322408,0.6026159126433916,0.012733432894759368,0.01780126760963383,0.01076603233059451,0.02927251070376362,agree,0.01146194896773367,-0.07601712467901633,0.04020369240745281,-0.024351483303829857
valence,loneliness,unframed_baseline,0.7062720572244036,0.718553224747375,0.7896271257849375,0.7444429988569221,0.006968242000806151,0.005655948431859663,0.0013247167558247547,0.0035144223203576294,agree,0.08335506856053398,-0.04518412692801543,-0.02588977410954707,0.012281167522971481
valence,sadness,unframed_baseline,-0.790766877832684,-0.8415637146653276,-0.7301213575021173,-0.8677260379367391,0.0012887582007498936,0.00030980484048298334,0.0046019203801041415,0.00012103400324402485,agree,0.06064552033056669,-0.13760468043462182,0.026162323271411436,-0.05079683683264369
arousal,ADHD,substantive_core_overall,0.03891089224712815,-0.804973287960233,0.296904947833393,-0.8084979395658481,0.8995696776713757,0.000901472561879381,0.3245771129852529,0.000821364817994863,differ,0.25799405558626487,-1.1054028873992412,0.0035246516056151034,-0.8438841802073612
arousal,Autism,substantive_core_overall,0.362922504077135,-0.1432228268727543,0.43616935989419336,-0.15181826339807658,0.2229248270527008,0.6406544669424066,0.13622639519639124,0.6205155156690563,agree,0.07324685581705837,-0.58798762329227,0.00859543652532227,-0.5061453309498893
arousal,frustration,unframed_baseline,-0.23175462847400302,-0.6456545050372514,-0.3248750948605973,-0.6210264051779321,0.4461368429666852,0.017144533915077746,0.27878555056927423,0.02349560503697038,differ,-0.09312046638659427,-0.29615131031733477,-0.024628099859319352,-0.4138998765632484
arousal,loneliness,unframed_baseline,-0.30046826264898163,-0.7326215776618848,-0.2998685993517843,-0.6786254576434321,0.31852360323501805,0.004395518330816132,0.3195378792261124,0.010767252037438533,differ,0.0005996632971973503,-0.3787568582916478,-0.053996120018452776,-0.4321533150129032
arousal,sadness,unframed_baseline,0.8816437249654617,0.23037679333953676,0.8850397998615896,0.28584925051529864,6.752126769710993e-05,0.44892132024833703,5.792148929594294e-05,0.3437622648466584,differ,0.003396074896127921,-0.599190549346291,-0.05547245717576188,-0.651266931625925
