analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,content_lemmas,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,arousal,weighted_arousal_contribution,arousal_contribution_to_filtered_mean,match_share,total_filtered_matches_for_cell,total_filtered_documents_for_cell,filtered_arousal_mean
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,1,add,unigram,add,True,False,534,453,-0.105,-56.07,-0.0026424430934539798,0.025166124699561712,21219,4199,0.013938591985170523
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,2,treatment,unigram,treatment,False,False,212,184,-0.22799999999999998,-48.336,-0.0022779584334794286,0.009991045760874688,21219,4199,0.013938591985170523
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,3,patient,unigram,patient,False,False,74,68,-0.614,-45.436,-0.002141288467882558,0.003487440501437391,21219,4199,0.013938591985170523
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,4,common,unigram,common,False,False,55,55,-0.746,-41.03,-0.0019336443753240021,0.002592016588906169,21219,4199,0.013938591985170523
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,5,use,unigram,use,False,False,118,112,-0.33599999999999997,-39.647999999999996,-0.0018685140675809414,0.0055610537725623264,21219,4199,0.013938591985170523
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,1,disorder,unigram,disorder,False,False,383,336,0.53,202.99,0.009566426316037513,0.018049860973655685,21219,4199,0.013938591985170523
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,2,anxiety,unigram,anxiety,False,False,215,204,0.73,156.95,0.007396672793251331,0.010132428483905933,21219,4199,0.013938591985170523
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,3,hyperactivity,unigram,hyperactivity,True,False,94,90,1.0,94.0,0.004429991988312362,0.004429991988312362,21219,4199,0.013938591985170523
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,4,drug,unigram,drug,False,False,121,108,0.5419999999999999,65.582,0.0030907205806117157,0.005702436495593572,21219,4199,0.013938591985170523
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,5,issue,unigram,issue,False,False,86,84,0.5900000000000001,50.74000000000001,0.0023912531222018006,0.0040529713935623735,21219,4199,0.013938591985170523
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,1,add,unigram,add,True,False,499,396,-0.105,-52.394999999999996,-0.0026888535358719078,0.02560812891306579,19486,3900,0.022810116664956036
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,2,sleep,unigram,sleep,False,False,55,45,-0.8063333333333333,-44.348333333333336,-0.0022759074891375007,0.0028225392589551475,19486,3900,0.022810116664956036
