analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,valence,weighted_valence_contribution,valence_contribution_to_cell_mean,match_share,total_matches_for_cell,total_documents_for_cell,valence_mean_for_cell
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,1,disorder,unigram,False,False,383,336,-0.675,-258.52500000000003,-0.012137893797830885,0.017982064885675383,21299,4203,0.07415512856628637
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,2,autism,unigram,False,True,485,443,-0.53,-257.05,-0.012068641720268558,0.02277102211371426,21299,4203,0.07415512856628637
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,3,depression,unigram,False,False,237,223,-0.938,-222.30599999999998,-0.01043739142682755,0.011127282971031504,21299,4203,0.07415512856628637
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,4,diagnose,unigram,False,False,355,322,-0.4555,-161.70250000000001,-0.0075920230996760416,0.016667449176017653,21299,4203,0.07415512856628637
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,5,anxiety,unigram,False,False,215,204,-0.708,-152.22,-0.007146814404432133,0.010094370627729,21299,4203,0.07415512856628637
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,1,child,unigram,False,False,820,671,0.7689999999999999,630.5799999999999,0.029606084792713268,0.03849946006854782,21299,4203,0.07415512856628637
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,2,adult,unigram,False,False,268,203,0.63,168.84,0.007927132729236114,0.012582750363866848,21299,4203,0.07415512856628637
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,3,add,unigram,True,False,549,464,0.29000000000000004,159.21,0.007474998826235974,0.025775858021503357,21299,4203,0.07415512856628637
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,4,like,unigram,False,False,162,153,0.77225,125.1045,0.005873726466031269,0.007605990891591154,21299,4203,0.07415512856628637
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,5,include,unigram,False,False,213,207,0.45933333333333337,97.83800000000001,0.004593548992910466,0.010000469505610591,21299,4203,0.07415512856628637
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,1,autism,unigram,False,True,575,521,-0.53,-304.75,-0.01550496056982956,0.029254642584584076,19655,3901,0.05358546849826168
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,2,disorder,unigram,False,False,394,349,-0.6750000000000002,-265.95000000000005,-0.013530908165861106,0.020045789875349784,19655,3901,0.05358546849826168
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,3,depression,unigram,False,False,269,256,-0.938,-252.32199999999997,-0.012837547697786821,0.013686084965657593,19655,3901,0.05358546849826168
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,4,anxiety,unigram,False,False,306,295,-0.708,-216.648,-0.011022538794199949,0.015568557618926481,19655,3901,0.05358546849826168
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,5,diagnose,unigram,False,False,286,260,-0.45549999999999996,-130.273,-0.006627982701602645,0.01455100483337573,19655,3901,0.05358546849826168
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,1,child,unigram,False,False,646,546,0.7689999999999999,496.77399999999994,0.025274688374459422,0.03286695497328924,19655,3901,0.05358546849826168
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,2,like,unigram,False,False,211,195,0.77225,162.94475,0.008290244212668533,0.010735181887560417,19655,3901,0.05358546849826168
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,3,add,unigram,True,False,510,402,0.29000000000000004,147.9,0.0075248028491477995,0.025947596031544135,19655,3901,0.05358546849826168
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,4,adult,unigram,False,False,183,138,0.63,115.29,0.005865683032307301,0.009310607987789366,19655,3901,0.05358546849826168
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,5,include,unigram,False,False,207,202,0.45933333333333337,95.08200000000001,0.004837547697786823,0.010531671330450267,19655,3901,0.05358546849826168
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,negative,1,autism,unigram,False,True,602,496,-0.53,-319.06,-0.018013775971093045,0.03398825654923216,17712,3215,0.09546163994278832
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,negative,2,depression,unigram,False,False,222,207,-0.938,-208.236,-0.011756775067750677,0.012533875338753388,17712,3215,0.09546163994278832
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,negative,3,disorder,unigram,False,False,287,259,-0.675,-193.72500000000002,-0.010937500000000001,0.016203703703703703,17712,3215,0.09546163994278832
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,negative,4,anxiety,unigram,False,False,268,247,-0.708,-189.744,-0.010712737127371273,0.015130984643179765,17712,3215,0.09546163994278832
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,negative,5,dyslexia,unigram,False,False,164,146,-0.667,-109.388,-0.006175925925925926,0.009259259259259259,17712,3215,0.09546163994278832
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,positive,1,child,unigram,False,False,446,354,0.7689999999999998,342.97399999999993,0.019363934056007222,0.0251806684733514,17712,3215,0.09546163994278832
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,positive,2,like,unigram,False,False,228,217,0.77225,176.073,0.009940887533875339,0.012872628726287264,17712,3215,0.09546163994278832
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,positive,3,adult,unigram,False,False,178,139,0.63,112.14,0.00633130081300813,0.010049683830171635,17712,3215,0.09546163994278832
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,positive,4,include,unigram,False,False,179,173,0.45933333333333337,82.22066666666667,0.004642088226437821,0.010106142728093948,17712,3215,0.09546163994278832
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,positive,5,add,unigram,True,False,235,198,0.29000000000000004,68.15,0.003847673893405601,0.01326784101174345,17712,3215,0.09546163994278832
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,negative,1,disorder,unigram,False,False,314,272,-0.675,-211.95000000000002,-0.013575225773393968,0.020111445590213283,15613,3073,0.0541557067828092
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,negative,2,depression,unigram,False,False,198,188,-0.938,-185.724,-0.011895471722282712,0.012681739575994364,15613,3073,0.0541557067828092
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,negative,3,autism,unigram,False,True,344,316,-0.53,-182.32000000000002,-0.011677448280279256,0.022032921283545764,15613,3073,0.0541557067828092
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,negative,4,anxiety,unigram,False,False,179,168,-0.708,-126.732,-0.008117081918913726,0.011464804970217127,15613,3073,0.0541557067828092
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,negative,5,problem,unigram,False,False,135,129,-0.876,-118.26,-0.0075744571831166336,0.008646640619996157,15613,3073,0.0541557067828092
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,positive,1,child,unigram,False,False,618,522,0.7689999999999999,475.24199999999996,0.030438865048357137,0.039582399282649075,15613,3073,0.0541557067828092
