analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,total_matches_for_cell,total_documents_for_cell,valence_mean_for_cell,arousal_mean_for_cell
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,15613,3073,0.0541557067828092,0.02894162877089605
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,13877,2742,0.027381428502798396,0.03664666954913406
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,11282,2088,0.061242784967204394,0.02974434645157478
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,3433,893,0.1465600106806486,-0.007468831925429652
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,3616,901,0.1433935794616519,0.005504507743362833
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,4197,908,0.16080247796044794,0.0011107497418791205
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,21299,4203,0.07415512856628637,0.020159733633816925
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,19655,3901,0.05358546849826168,0.029389437802085985
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,17712,3215,0.09546163994278832,0.019362843458295698
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,34851,5699,0.08466302975524376,0.023674290072977344
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,25516,4320,0.06991934603124836,0.03176428842033757
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,17935,2913,0.09600177771582566,0.035414257039308616
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,16882,3537,0.24226083797338388,-0.021063889547052086
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,15154,3176,0.24121968127227134,-0.025506411948440454
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,11069,2282,0.2119501867076219,-0.0032046797362001987
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,60729,10065,0.1465503877883713,0.005642004094693916
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,48838,8243,0.14446301718607096,0.00757889348458168
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,35101,5741,0.15216853318518941,0.01664056294692459
