model_population,analysis_unit,lsc_year,contexts,documents,arousal_mean,arousal_sd,mhi_mean,mhi_sd,median_mhi_tokens,mean_mhi_in_vocab_coverage
raw_target_pool,ADHD,2014,3096,1825,-0.014566995900143395,0.1396889593960767,0.09798131907699291,0.09094157002258067,33.0,0.984798333475915
raw_target_pool,ADHD,2015,2328,1475,-0.02638350986251698,0.1389088279761763,0.10981840845537466,0.09174783436671784,30.0,0.9804389762089016
raw_target_pool,ADHD,2016,2667,1792,-0.015908627949573966,0.1392867395074953,0.10621440563305641,0.09470824190253803,31.0,0.9835557513006657
raw_target_pool,ADHD,2017,2498,1657,-0.011154013037338411,0.15171991533450346,0.10009175997548085,0.09656526705484765,31.0,0.9847339366239864
raw_target_pool,ADHD,2018,2692,1754,-0.019370578462584474,0.14178427955904233,0.10583988286579427,0.09106710822279677,30.0,0.978800911597378
raw_target_pool,ADHD,2019,2286,1505,-0.013536165713435352,0.1410229927951957,0.10318630348083672,0.09164112617630285,30.0,0.9819531646077042
raw_target_pool,ADHD,2020,2306,1556,-0.018340708102651558,0.13713828003607575,0.09702095550328485,0.09449984578965825,30.0,0.9814761702194338
raw_target_pool,ADHD,2021,2352,1592,-0.016127888476617367,0.1438107933538012,0.09699739353153901,0.0991140751559433,32.0,0.9814416247889846
raw_target_pool,ADHD,2022,2327,1488,-0.02118382309723297,0.1381153835085305,0.09922525492954294,0.09623835083946948,30.0,0.9836936229735953
raw_target_pool,ADHD,2023,1877,1180,-0.011387568648870782,0.14320411618569998,0.11034669178572153,0.097936182964593,32.0,0.984184324656216
raw_target_pool,ADHD,2024,1724,1084,-0.013672641109550288,0.1391775434640025,0.11349186411455765,0.09570369552312366,31.0,0.9856218062121878
raw_target_pool,ADHD,2025,1559,1054,0.0006118379376909365,0.1410399468260192,0.09085718900363547,0.11028748293419545,36.0,0.987041823377463
raw_target_pool,ADHD,2026,698,434,-0.0035024625218817804,0.13752578972187185,0.11338130334449083,0.08365877006914905,34.0,0.9877849143833559
raw_target_pool,Autism,2014,8277,4755,-0.035244554886130375,0.11985852372855313,0.04602902701100775,0.09324092945753197,31.0,0.9818566682271527
raw_target_pool,Autism,2015,6457,3825,-0.0336801642461503,0.11724755036413928,0.05103246434138895,0.0936104038723284,31.0,0.9802890553481209
raw_target_pool,Autism,2016,7250,4315,-0.031664981792710115,0.12085176798012691,0.047801022041804204,0.09564417003800489,30.0,0.9802833549552333
raw_target_pool,Autism,2017,7008,4151,-0.03733361603861815,0.12388690936991821,0.04347708895690127,0.09148448125421084,30.0,0.9803846022159672
raw_target_pool,Autism,2018,6514,3973,-0.03153383270252258,0.12170217492799608,0.0506598823962553,0.09339037648803927,31.0,0.977546520639427
raw_target_pool,Autism,2019,5821,3522,-0.03338966252717277,0.12080398349302669,0.051795508523530376,0.0916539367715921,31.0,0.9787224332543393
raw_target_pool,Autism,2020,5294,3265,-0.02957193619839742,0.12287348121238242,0.05941632961323764,0.09317151699731739,32.0,0.9787854709200495
raw_target_pool,Autism,2021,5010,3040,-0.03142249851890392,0.12402402116000032,0.0604133400326782,0.09208603445990599,32.0,0.9811315778436356
raw_target_pool,Autism,2022,4177,2553,-0.035898293178886265,0.12390227649053746,0.06029157778345533,0.0918059084926541,32.0,0.9791057079748898
raw_target_pool,Autism,2023,3500,2070,-0.028975775815982957,0.1272229178120413,0.06697163453307907,0.09328056211230965,32.0,0.9817216988249464
raw_target_pool,Autism,2024,3132,1866,-0.026672428103765165,0.12614328142680217,0.07488940212517882,0.09123969281497886,33.0,0.9827038493503718
raw_target_pool,Autism,2025,4508,3104,0.003361335069319646,0.14361687174425097,0.019676811070564897,0.10799216088335248,42.0,0.985076597405761
raw_target_pool,Autism,2026,1219,711,-0.02751669615303053,0.12427091328298027,0.07906733020366163,0.08328237218214583,33.0,0.9828872937363557
substantive_core,ADHD,2014,1765,1092,-0.03452647506204244,0.12993145739801856,0.1121540481270434,0.08845403800840204,30.0,0.9878193683342633
substantive_core,ADHD,2015,1535,990,-0.03465826787099204,0.13513599833966397,0.12238373138830438,0.08728853164084119,29.0,0.9875373691091316
substantive_core,ADHD,2016,1632,1097,-0.02218577192435265,0.1283637468701354,0.11985207310314362,0.08887064439566696,29.0,0.9872847757992324
substantive_core,ADHD,2017,1576,1066,-0.017259821234331296,0.1469752199105263,0.11256910654988093,0.0927320019369284,29.0,0.9890402226389234
substantive_core,ADHD,2018,1625,1064,-0.02284345522355951,0.1337539412167341,0.1228893212750512,0.08435843164247998,28.0,0.9862765942150878
substantive_core,ADHD,2019,1436,955,-0.01424721297365771,0.14090875757225182,0.11733242753344324,0.08647591439320039,28.0,0.9884408517813126
substantive_core,ADHD,2020,1412,968,-0.02433932836189602,0.13440745994646633,0.10935228829230631,0.0870704044345847,29.0,0.9882598908068178
substantive_core,ADHD,2021,1401,940,-0.01772678225729401,0.1398156650395498,0.11827817421977174,0.08763217819223681,30.0,0.9888693433406094
substantive_core,ADHD,2022,1470,940,-0.02777728872679079,0.13472419913045494,0.11205211258391685,0.08821606147108553,29.0,0.9885080068992124
substantive_core,ADHD,2023,1193,751,-0.021408754161019908,0.1378547240348901,0.11878047044673265,0.08993073473396329,30.0,0.9895357102813136
substantive_core,ADHD,2024,1159,727,-0.02388887216251662,0.13265079296073648,0.11783363782929981,0.09161256896604879,29.0,0.9894959395504905
substantive_core,ADHD,2025,889,571,-0.015468326321029596,0.13300928140097953,0.1213237098834907,0.08922786314950301,32.0,0.9910008224233757
substantive_core,ADHD,2026,424,259,-0.01839554405623265,0.1291672083712489,0.11320401291312096,0.08035989114053085,32.5,0.9909415673934834
substantive_core,Autism,2014,4810,2858,-0.03236168181285352,0.11805688011726388,0.07029224381343575,0.0873214764099718,30.0,0.9861466523399184
substantive_core,Autism,2015,3676,2252,-0.03186678457709212,0.11478750723828585,0.07500761106631264,0.08816199284003763,31.0,0.9857119140334741
substantive_core,Autism,2016,4220,2553,-0.02842735931037166,0.11854641936641432,0.06814831335263082,0.09018235023603423,29.0,0.9849978939452173
substantive_core,Autism,2017,3972,2439,-0.031119841796357222,0.12138351380574927,0.06475587722633602,0.08752815868205263,30.0,0.9858233369155808
substantive_core,Autism,2018,3814,2369,-0.027517484329830196,0.11894803709299341,0.07298184081151213,0.08815175244943045,30.0,0.9846564518752464
substantive_core,Autism,2019,3454,2104,-0.029178660002995658,0.11863264897808116,0.07203502053891508,0.08624256098167848,31.0,0.985258073580984
substantive_core,Autism,2020,3119,1972,-0.02785611135042168,0.11819062619589435,0.07569472177828743,0.08816491257846011,31.0,0.985864614903692
substantive_core,Autism,2021,2957,1831,-0.029066493683885527,0.12031549699286082,0.0794587305420852,0.0862396107679383,31.0,0.9865973112159397
substantive_core,Autism,2022,2505,1557,-0.032077759051333185,0.12287263828838,0.0774432002615545,0.08575330483860813,31.0,0.9851440371172174
substantive_core,Autism,2023,2147,1284,-0.024791306800999228,0.1231972400014398,0.08639050163497185,0.08629029078050847,31.0,0.9870257102378377
substantive_core,Autism,2024,1865,1140,-0.02265850793042865,0.12166533621991595,0.09367641472683508,0.08520877140535513,32.0,0.9870142110506052
substantive_core,Autism,2025,2147,1326,0.01020860256010258,0.14510543178036453,0.08187315053512378,0.08993895611181393,31.0,0.9900429794803145
substantive_core,Autism,2026,752,453,-0.02783740401383662,0.11540956686268443,0.08588607918268637,0.08051870936467488,32.0,0.9865150676172062
