model_population,analysis_unit,predicted_derived_frame,contexts,documents,arousal_mean,mhi_mean,mhi_sd,median_mhi_tokens
raw_target_pool,ADHD,clinical_only,11924,7982,-0.017203596464275345,0.15016708855371655,0.07348919145414348,31.0
raw_target_pool,ADHD,lived_only,3601,2728,-0.03987239788505002,0.028769459655418595,0.06866549018331566,25.0
raw_target_pool,ADHD,mixed,1992,1627,-0.030735752311365296,0.07619029539468747,0.07346624716230467,28.0
raw_target_pool,ADHD,non_substantive_or_insufficient,10175,8177,0.00015432330484175562,0.08100759209934909,0.1027823129574961,37.0
raw_target_pool,ADHD,substantive_other,718,658,-0.03828294661196124,0.0685701755626086,0.08011210272758587,26.0
raw_target_pool,Autism,clinical_only,20289,12955,-0.012134318815547988,0.11844896551680942,0.07616116479305447,32.0
raw_target_pool,Autism,lived_only,12819,9066,-0.04474695183186738,0.009828240921222597,0.06802643811120061,27.0
raw_target_pool,Autism,mixed,6330,4734,-0.039493269367415096,0.0666972739470873,0.07268335138924797,31.0
raw_target_pool,Autism,non_substantive_or_insufficient,26452,20265,-0.0342732771432411,0.01969516901406617,0.09550954799848103,35.0
raw_target_pool,Autism,substantive_other,2277,1919,-0.03998557442586169,0.019312029679068744,0.08041609834589969,27.0
substantive_core,ADHD,clinical_only,11924,7982,-0.017203596464275345,0.15016708855371655,0.07348919145414348,31.0
substantive_core,ADHD,lived_only,3601,2728,-0.03987239788505002,0.028769459655418595,0.06866549018331566,25.0
substantive_core,ADHD,mixed,1992,1627,-0.030735752311365296,0.07619029539468747,0.07346624716230467,28.0
substantive_core,Autism,clinical_only,20289,12955,-0.012134318815547988,0.11844896551680942,0.07616116479305447,32.0
substantive_core,Autism,lived_only,12819,9066,-0.04474695183186738,0.009828240921222597,0.06802643811120061,27.0
substantive_core,Autism,mixed,6330,4734,-0.039493269367415096,0.0666972739470873,0.07268335138924797,31.0
