model_population,analysis_unit,model_scope,formula_name,dependent_variable,coefficient,estimate,standard_error,t_value,p_value
raw_target_pool,ADHD,overall,arousal ~ year,context_arousal_mean,intercept,-0.015341736137590496,0.0008383069737427381,-18.300857106192474,2.181960282093404e-74
raw_target_pool,ADHD,overall,arousal ~ year,context_arousal_mean,year_centered,0.000821634896173294,0.0002398963395009236,3.42495803763663,0.0006157631751181996
raw_target_pool,ADHD,overall,arousal ~ year + MHI,context_arousal_mean,intercept,-0.0153417361375905,0.0008223732592804611,-18.655441388030802,3.3033129830273036e-77
raw_target_pool,ADHD,overall,arousal ~ year + MHI,context_arousal_mean,mhi_z,0.027429952137778685,0.0008223882545765879,33.3540173818523,2.6475881453906446e-239
raw_target_pool,ADHD,overall,arousal ~ year + MHI,context_arousal_mean,year_centered,0.0008127941998500607,0.00023533677508803948,3.453749204925556,0.0005536571326778695
raw_target_pool,Autism,overall,arousal ~ year,context_arousal_mean,intercept,-0.030329054308357285,0.0004743501090877689,-63.93812023503827,0.0
raw_target_pool,Autism,overall,arousal ~ year,context_arousal_mean,year_centered,0.001647569590702671,0.00013632398491580765,12.08569124296208,1.3606966268965098e-33
raw_target_pool,Autism,overall,arousal ~ year + MHI,context_arousal_mean,intercept,-0.030329054308357292,0.0004665404695950943,-65.00841038437581,0.0
raw_target_pool,Autism,overall,arousal ~ year + MHI,context_arousal_mean,mhi_z,0.022394342802632354,0.0004667319473346608,47.98116548592492,0.0
raw_target_pool,Autism,overall,arousal ~ year + MHI,context_arousal_mean,year_centered,0.0014648903941700217,0.00013413360939489152,10.921128573058528,9.632433562108107e-28
substantive_core,ADHD,clinical_only,arousal ~ year,context_arousal_mean,intercept,-0.017203596464275214,0.001310963867341838,-13.12286089101594,4.541745952185629e-39
substantive_core,ADHD,clinical_only,arousal ~ year,context_arousal_mean,year_centered,0.0013453725353045466,0.000379292458037812,3.547058494820968,0.0003910537110556591
substantive_core,ADHD,clinical_only,arousal ~ year + MHI,context_arousal_mean,intercept,-0.017203596464275238,0.0012929031479323595,-13.306175711450333,4.11643504493082e-40
substantive_core,ADHD,clinical_only,arousal ~ year + MHI,context_arousal_mean,mhi_z,0.02374243897078988,0.0012944741701209875,18.341377154378293,4.030213208474927e-74
substantive_core,ADHD,clinical_only,arousal ~ year + MHI,context_arousal_mean,year_centered,0.00101294541576913,0.0003745058987366451,2.704751565158763,0.006845257497884554
substantive_core,ADHD,lived_only,arousal ~ year,context_arousal_mean,intercept,-0.03987239788505,0.0019055186561603434,-20.924695623496884,7.62296986714209e-92
substantive_core,ADHD,lived_only,arousal ~ year,context_arousal_mean,year_centered,0.000910396196813661,0.0005457402133968633,1.6681860241653463,0.09536579363921016
substantive_core,ADHD,lived_only,arousal ~ year + MHI,context_arousal_mean,intercept,-0.03987239788505,0.0018990405100099425,-20.9960754785801,2.009719174942096e-92
substantive_core,ADHD,lived_only,arousal ~ year + MHI,context_arousal_mean,mhi_z,0.009663009740914684,0.0019099607848778771,5.059271277934922,4.4190915321739097e-07
