model_population,analysis_unit,model_scope,formula_name,dependent_variable,n_contexts,n_documents,n_parameters,df_resid,year_center,mhi_center,mhi_scale,frame_reference,r_squared,adj_r_squared,year_slope_per_year,year_slope_se,year_slope_p_value,mhi_z_coefficient,mhi_z_p_value
raw_target_pool,ADHD,overall,arousal ~ year,context_arousal_mean,28410,18396,2,28408,2019.1365012319607,,,not_applicable,0.0004127533027317165,0.00037756648047393426,0.000821634896173294,0.0002398963395009236,0.0006157631751181996,,
raw_target_pool,ADHD,overall,arousal ~ year + MHI,context_arousal_mean,28410,18396,3,28407,2019.1365012319607,0.10276127744543209,0.09525439782953518,not_applicable,0.03808384021778133,0.03801611633565494,0.0008127941998500607,0.00023533677508803948,0.0005536571326778695,0.027429952137778685,2.6475881453906446e-239
raw_target_pool,Autism,overall,arousal ~ year,context_arousal_mean,68167,41150,2,68165,2018.7593116904075,,,not_applicable,0.002138217799738995,0.002123578882667232,0.001647569590702671,0.00013632398491580765,1.3606966268965098e-33,,
raw_target_pool,Autism,overall,arousal ~ year + MHI,context_arousal_mean,68167,41150,3,68164,2018.7593116904075,0.051584243521998606,0.09461457533458631,not_applicable,0.034739236527830175,0.03471091481069288,0.0014648903941700217,0.00013413360939489152,9.632433562108107e-28,0.022394342802632354,0.0
substantive_core,ADHD,clinical_only,arousal ~ year,context_arousal_mean,11924,7982,2,11922,2018.947836296545,,,not_applicable,0.0010542157540252006,0.0009704256362390584,0.0013453725353045466,0.000379292458037812,0.0003910537110556591,,
substantive_core,ADHD,clinical_only,arousal ~ year + MHI,context_arousal_mean,11924,7982,3,11921,2018.947836296545,0.15016708855371655,0.07348919145414355,not_applicable,0.028470413611380696,0.028307418965564324,0.00101294541576913,0.0003745058987366451,0.006845257497884554,0.02374243897078988,4.030213208474927e-74
substantive_core,ADHD,lived_only,arousal ~ year,context_arousal_mean,3601,2728,2,3599,2019.7100805331852,,,not_applicable,0.0007726297590050502,0.0004949894783046194,0.000910396196813661,0.0005457402133968633,0.09536579363921016,,
substantive_core,ADHD,lived_only,arousal ~ year + MHI,context_arousal_mean,3601,2728,3,3598,2019.7100805331852,0.028769459655418595,0.06866549018331565,not_applicable,0.007830935338242084,0.007279423907079363,0.0006184995790830192,0.0005469364801673873,0.2581963268876249,0.009663009740914684,4.4190915321739097e-07
substantive_core,ADHD,mixed,arousal ~ year,context_arousal_mean,1992,1627,2,1990,2019.4618473895582,,,not_applicable,0.0006574989077404725,0.0001553167463875793,0.0008969768785171016,0.0007839066907793404,0.2526620018673632,,
substantive_core,ADHD,mixed,arousal ~ year + MHI,context_arousal_mean,1992,1627,3,1989,2019.4618473895582,0.07619029539468745,0.07346624716230471,not_applicable,0.020797386976165955,0.019812768964075578,0.00047926116288198354,0.0007789052300254661,0.5384263523442778,0.01721333411025232,1.9824718684330133e-10
substantive_core,ADHD,overall,arousal ~ year,context_arousal_mean,17517,11420,2,17515,2019.1629845293144,,,not_applicable,0.0005868995753879336,0.0005298391642875044,0.000944751744565611,0.00029457999674424904,0.0013431458159005728,,
substantive_core,ADHD,overall,arousal ~ year + MHI,context_arousal_mean,17517,11420,3,17514,2019.1629845293144,0.11679866738367847,0.08830256108415614,not_applicable,0.027187111526867258,0.027076021782836968,0.0009485316293653186,0.0002906416609799971,0.001102258817434218,0.022123444934139227,9.379729663415232e-105
substantive_core,ADHD,overall,arousal ~ year + frame,context_arousal_mean,17517,11420,4,17513,2019.1629845293144,,,clinical_only,0.005729481035794959,0.005559161184433448,0.001203766382522637,0.00029509917608755047,4.5392361223489246e-05,,
substantive_core,ADHD,overall,arousal ~ year + frame + MHI,context_arousal_mean,17517,11420,5,17512,2019.1629845293144,0.11679866738367847,0.08830256108415614,clinical_only,0.02789106894081117,0.027669024872501558,0.0008319237225038502,0.0002923930414671424,0.004443168109818989,0.02463910343368563,7.711578809468733e-88
substantive_core,Autism,clinical_only,arousal ~ year,context_arousal_mean,20289,12955,2,20287,2018.5398984671497,,,not_applicable,0.001870956068676266,0.001821755642594014,0.0015831846392493011,0.00025673448300971664,7.10826147261748e-10,,
substantive_core,Autism,clinical_only,arousal ~ year + MHI,context_arousal_mean,20289,12955,3,20286,2018.5398984671497,0.11844896551680942,0.07616116479305446,not_applicable,0.05011833651984521,0.050024687533994916,0.0008332120677522602,0.00025154619246538695,0.0009267343506762027,0.027979773098943252,1.4352432274028212e-220
substantive_core,Autism,lived_only,arousal ~ year,context_arousal_mean,12819,9066,2,12817,2018.9378266635463,,,not_applicable,0.005608170030477866,0.005530586209773314,0.0025017503994838436,0.00029425169501309014,2.0670844032595412e-17,,
