rank,term,cosine_similarity
1,psychiatry,0.627163827419281
2,psychosocial,0.600994348526001
3,psychiatric,0.5827592015266418
4,schizophrenia,0.5666040778160095
5,psychology,0.5570853352546692
6,psychopathology,0.5560559630393982
7,disorders,0.5471650958061218
8,therapy,0.5286878943443298
9,psychotherapy,0.5239840745925903
10,neurocognitive,0.5216058492660522
11,depression,0.5167398452758789
12,psychological,0.5154082179069519
13,health,0.5082987546920776
14,clinical,0.4979223608970642
15,disease,0.4888034164905548
16,treatment,0.48833519220352173
17,psychopharmacology,0.4874379634857178
18,disorder,0.48426342010498047
19,neurology,0.4809702932834625
20,interventions,0.47196632623672485
21,geriatric,0.4718187749385834
22,mental,0.4696328639984131
23,substance,0.46848952770233154
24,neuropsychiatric,0.4676281213760376
25,cognitive,0.4667676091194153
26,psychosis,0.46433183550834656
27,geriatrics,0.46347442269325256
28,drug,0.45835360884666443
29,cognition,0.45507726073265076
30,dyadic,0.45403528213500977
