model_population,analysis_unit,model_scope,metric,bootstrap_repetitions,mean,ci_low,ci_high
substantive_core,ADHD,overall,unadjusted_year_slope,200,0.0009435427316049141,0.00039490803810551155,0.0015550668003801954
substantive_core,ADHD,overall,mhi_adjusted_year_slope,200,0.0009535474069317412,0.00036500641063426365,0.0015245725538803516
substantive_core,ADHD,overall,slope_change_adjusted_minus_unadjusted,200,1.0004675326826952e-05,-0.00011622196039513425,0.00013409062064342924
substantive_core,ADHD,overall,absolute_slope_reduction,200,-9.805604462433879e-06,-0.0001340906206434292,0.0001162219603951343
substantive_core,ADHD,overall,relative_absolute_attenuation,200,-0.024868682751342276,-0.18237960362260647,0.1378799356413796
substantive_core,Autism,overall,unadjusted_year_slope,200,0.00155464743781764,0.0011638734904336945,0.0019001939356805468
substantive_core,Autism,overall,mhi_adjusted_year_slope,200,0.001121930895367094,0.0007489990681316884,0.0014752189090643684
substantive_core,Autism,overall,slope_change_adjusted_minus_unadjusted,200,-0.00043271654245054594,-0.000521794734844578,-0.0003318232181931947
substantive_core,Autism,overall,absolute_slope_reduction,200,0.00043271654245054594,0.0003318232181931947,0.000521794734844578
substantive_core,Autism,overall,relative_absolute_attenuation,200,0.2821400816293591,0.21336878042649685,0.37060897349143124
raw_target_pool,ADHD,overall,unadjusted_year_slope,200,0.0008553070172825752,0.00040012722991053843,0.001330015708488184
raw_target_pool,ADHD,overall,mhi_adjusted_year_slope,200,0.0008416435382001294,0.0004203127216800428,0.001298699707856672
raw_target_pool,ADHD,overall,slope_change_adjusted_minus_unadjusted,200,-1.3663479082445897e-05,-0.00013400092177273456,0.00011002562083304912
raw_target_pool,ADHD,overall,absolute_slope_reduction,200,1.3663479082445897e-05,-0.00011002562083304902,0.00013400092177273462
raw_target_pool,ADHD,overall,relative_absolute_attenuation,200,0.007382162665291097,-0.1825400637439473,0.15822263787754431
raw_target_pool,Autism,overall,unadjusted_year_slope,200,0.001650665401876652,0.0013869510569036886,0.0019312056562002429
raw_target_pool,Autism,overall,mhi_adjusted_year_slope,200,0.0014694626484845752,0.001211014048941104,0.0017504898735061895
raw_target_pool,Autism,overall,slope_change_adjusted_minus_unadjusted,200,-0.00018120275339207666,-0.0002478514897501536,-0.00011571141438404416
raw_target_pool,Autism,overall,absolute_slope_reduction,200,0.00018120275339207666,0.00011571141438404417,0.0002478514897501537
raw_target_pool,Autism,overall,relative_absolute_attenuation,200,0.11034670954953596,0.06907599911006093,0.1507997334842827
