year,docs_scanned,docs_minlen,tokens_scanned,tokens_minlen,candidate_hits,validated_hits_wet,validated_hits_warc,pct_fetch_success_docs_with_published_ts,pct_warc_validated_docs_with_published_ts
2014,5349060.0,3762398.0,3483618608.0,3439497544.0,57128.0,29182.0,13918.0,98.051083,97.347595
2015,5291648.0,3632797.0,3470904151.0,3426098147.0,49619.0,25203.0,11898.0,98.064335,97.077497
2016,5760599.0,5329183.0,5722868962.0,5709595419.0,85600.0,40044.0,19945.0,98.426011,97.575085
2017,4435233.0,4231720.0,4633506216.0,4626728607.0,51233.0,25351.0,11828.0,98.033668,97.200861
2018,4702862.0,4429927.0,4326587135.0,4316885807.0,45638.0,26406.0,12086.0,98.229411,97.506285
2019,4377625.0,4099485.0,4100525448.0,4091311736.0,42410.0,28262.0,13847.0,97.190097,96.059658
2020,5040987.0,4785776.0,5392948141.0,5383635819.0,53444.0,32802.0,14117.0,97.90067,97.359794
2021,4818457.0,4556751.0,4847258004.0,4837622244.0,46689.0,30804.0,13996.0,98.260558,98.121324
2022,4217647.0,3870995.0,4027739099.0,4017628393.0,39809.0,26183.0,11948.0,98.552681,98.307159
2023,3806981.0,3525612.0,3585727305.0,3577250767.0,33691.0,21098.0,10102.0,98.573417,98.445847
2024,3026698.0,2780501.0,2803364332.0,2796599087.0,24348.0,16253.0,7943.0,98.773052,98.764097
2025,2684104.0,2505449.0,2565156637.0,2559426422.0,22665.0,15184.0,7585.0,98.780983,98.639129
2026,2136636.0,1973507.0,2029719769.0,2024899587.0,19491.0,12961.0,6976.0,99.104677,99.036609
