year,publication_year_status,input_docs,fetch_success_docs,warc_validated_docs,warc_status_share
2014,before_window,18448.0,18448.0,8658.0,0.7529350378293764
2014,in_window,5852.0,5852.0,2536.0,0.2205409166014436
2014,missing_or_unparseable,500.0,483.0,305.0,0.02652404556917993
2015,before_window,14051.0,14051.0,6718.0,0.677013000100776
2015,in_window,6923.0,6923.0,2915.0,0.2937619671470321
2015,missing_or_unparseable,428.0,414.0,290.0,0.029225032752191876
2016,before_window,21800.0,21800.0,11089.0,0.6479490475633984
2016,in_window,12468.0,12468.0,5610.0,0.3278017996961552
2016,missing_or_unparseable,575.0,548.0,415.0,0.02424915274044642
2017,before_window,10343.0,10343.0,4991.0,0.5117399774428381
2017,in_window,10447.0,10447.0,4489.0,0.46026863529170514
2017,missing_or_unparseable,429.0,417.0,273.0,0.02799138726545678
2018,before_window,8347.0,8347.0,3850.0,0.38712921065862244
2018,in_window,13456.0,13456.0,5847.0,0.5879336349924585
2018,missing_or_unparseable,438.0,393.0,248.0,0.024937154348919056
2019,before_window,6409.0,6409.0,3269.0,0.30095746639661203
2019,in_window,15693.0,15693.0,7165.0,0.6596391088197385
2019,missing_or_unparseable,650.0,639.0,428.0,0.03940342478364942
2020,before_window,6578.0,6578.0,2647.0,0.23451758660405778
2020,in_window,19304.0,19304.0,8342.0,0.7390803579339063
2020,missing_or_unparseable,561.0,555.0,298.0,0.02640205546203597
2021,before_window,5366.0,5366.0,2165.0,0.19006232990957775
2021,in_window,19320.0,19320.0,9012.0,0.7911509086120622
2021,missing_or_unparseable,459.0,437.0,214.0,0.018786761478360108
2022,before_window,4221.0,4221.0,1718.0,0.17519885784213746
2022,in_window,16956.0,16956.0,7922.0,0.8078727309810321
2022,missing_or_unparseable,347.0,311.0,166.0,0.016928411176830513
2023,before_window,2809.0,2809.0,1221.0,0.14825157843613404
2023,in_window,14189.0,14189.0,6887.0,0.8362068965517241
2023,missing_or_unparseable,266.0,246.0,128.0,0.015541525012141816
2024,before_window,1853.0,1853.0,834.0,0.12884288583346207
2024,in_window,11269.0,11269.0,5559.0,0.8587980843503785
2024,missing_or_unparseable,176.0,163.0,80.0,0.012359029816159432
2025,before_window,1510.0,1510.0,633.0,0.10134486071085495
2025,in_window,10645.0,10645.0,5528.0,0.8850464297150176
2025,missing_or_unparseable,160.0,150.0,85.0,0.013608709574127442
2026,before_window,1058.0,1058.0,442.0,0.07742161499386933
2026,in_window,9347.0,9347.0,5212.0,0.9129444736381153
2026,missing_or_unparseable,97.0,94.0,55.0,0.009633911368015413
