year,analysis_unit,publication_year_status,validated_hits_warc,status_share
2014,ADHD,before_window,1055.0,0.7226027397260274
2014,ADHD,in_window,378.0,0.2589041095890411
2014,ADHD,missing_or_unparseable,27.0,0.018493150684931507
2014,Autism,before_window,2623.0,0.6684505606523955
2014,Autism,in_window,1223.0,0.3116717635066259
2014,Autism,missing_or_unparseable,78.0,0.019877675840978593
2014,frustration,before_window,4064.0,0.8001575113211262
2014,frustration,in_window,899.0,0.17700334711557394
2014,frustration,missing_or_unparseable,116.0,0.022839141563299862
2014,loneliness,before_window,771.0,0.6996370235934665
2014,loneliness,in_window,285.0,0.25862068965517243
2014,loneliness,missing_or_unparseable,46.0,0.041742286751361164
2014,sadness,before_window,1869.0,0.7943051423714407
2014,sadness,in_window,407.0,0.17297067573310668
2014,sadness,missing_or_unparseable,77.0,0.03272418189545261
2015,ADHD,before_window,687.0,0.6493383742911153
2015,ADHD,in_window,318.0,0.3005671077504726
2015,ADHD,missing_or_unparseable,53.0,0.0500945179584121
2015,Autism,before_window,2009.0,0.6210200927357032
2015,Autism,in_window,1170.0,0.3616692426584235
2015,Autism,missing_or_unparseable,56.0,0.01731066460587326
2015,frustration,before_window,3162.0,0.7056460611470654
2015,frustration,in_window,1217.0,0.27159116268690026
2015,frustration,missing_or_unparseable,102.0,0.02276277616603437
2015,loneliness,before_window,628.0,0.6382113821138211
2015,loneliness,in_window,303.0,0.3079268292682927
2015,loneliness,missing_or_unparseable,53.0,0.05386178861788618
2015,sadness,before_window,1484.0,0.6934579439252336
2015,sadness,in_window,579.0,0.2705607476635514
2015,sadness,missing_or_unparseable,77.0,0.035981308411214954
2016,ADHD,before_window,995.0,0.5901542111506525
2016,ADHD,in_window,675.0,0.400355871886121
2016,ADHD,missing_or_unparseable,16.0,0.009489916963226572
2016,Autism,before_window,2725.0,0.5545380545380545
2016,Autism,in_window,2093.0,0.42592592592592593
2016,Autism,missing_or_unparseable,96.0,0.019536019536019536
2016,frustration,before_window,5527.0,0.6965343415248897
2016,frustration,in_window,2221.0,0.27989918084436044
2016,frustration,missing_or_unparseable,187.0,0.023566477630749844
2016,loneliness,before_window,1063.0,0.6169471851421938
2016,loneliness,in_window,594.0,0.3447475333720255
2016,loneliness,missing_or_unparseable,66.0,0.038305281485780614
2016,sadness,before_window,2497.0,0.6772443721182533
2016,sadness,in_window,1088.0,0.29509085977759697
2016,sadness,missing_or_unparseable,102.0,0.027664768104149716
2017,ADHD,before_window,624.0,0.48036951501154734
2017,ADHD,in_window,647.0,0.4980754426481909
2017,ADHD,missing_or_unparseable,28.0,0.02155504234026174
2017,Autism,before_window,1423.0,0.44001236858379716
2017,Autism,in_window,1752.0,0.5417439703153989
2017,Autism,missing_or_unparseable,59.0,0.018243661100803957
2017,frustration,before_window,2229.0,0.564732708386116
2017,frustration,in_window,1636.0,0.41449201925513046
2017,frustration,missing_or_unparseable,82.0,0.020775272358753483
2017,loneliness,before_window,558.0,0.4700926705981466
2017,loneliness,in_window,560.0,0.4717775905644482
2017,loneliness,missing_or_unparseable,69.0,0.05812973883740522
2017,sadness,before_window,1156.0,0.5349375289217955
2017,sadness,in_window,927.0,0.4289680703378066
2017,sadness,missing_or_unparseable,78.0,0.036094400740397964
2018,ADHD,before_window,510.0,0.38031319910514544
2018,ADHD,in_window,791.0,0.5898583146905294
2018,ADHD,missing_or_unparseable,40.0,0.02982848620432513
2018,Autism,before_window,1189.0,0.3605215281989084
2018,Autism,in_window,2042.0,0.6191631291691935
2018,Autism,missing_or_unparseable,67.0,0.02031534263189812
2018,frustration,before_window,1628.0,0.41038568187547264
2018,frustration,in_window,2257.0,0.5689437862364507
2018,frustration,missing_or_unparseable,82.0,0.020670531888076632
2018,loneliness,before_window,487.0,0.3840694006309148
2018,loneliness,in_window,732.0,0.5772870662460567
2018,loneliness,missing_or_unparseable,49.0,0.038643533123028394
2018,sadness,before_window,858.0,0.38788426763110306
2018,sadness,in_window,1294.0,0.5849909584086799
2018,sadness,missing_or_unparseable,60.0,0.027124773960216998
2019,ADHD,before_window,696.0,0.36212278876170656
2019,ADHD,in_window,1031.0,0.536420395421436
2019,ADHD,missing_or_unparseable,195.0,0.10145681581685743
2019,Autism,before_window,1558.0,0.37263812485051423
2019,Autism,in_window,2333.0,0.5580004783544606
2019,Autism,missing_or_unparseable,290.0,0.06936139679502511
2019,frustration,before_window,1163.0,0.2811215856901136
