year,term_group,matched_term,candidate_hits,validated_hits_wet,validated_hits_warc,primary_salience_per_million_tokens,warc_over_wet_validation_rate,analysis_unit,warc_share_within_group
2014,adhd,adhd,8945.0,3167.0,1070.0,0.3110919505863732,0.3378591727186611,ADHD,0.7328767123287672
2015,adhd,adhd,6286.0,2561.0,774.0,0.2259129676940921,0.3022256930886372,ADHD,0.7315689981096408
2016,adhd,adhd,14603.0,3924.0,1272.0,0.2227828605450967,0.3241590214067278,ADHD,0.7544483985765125
2017,adhd,adhd,6753.0,3226.0,995.0,0.2150547578033033,0.3084314941103533,ADHD,0.7659738260200154
2018,adhd,adhd,6998.0,3874.0,1067.0,0.2471689193792936,0.2754259163655136,ADHD,0.7956748695003728
2019,adhd,adhd,6747.0,4365.0,1563.0,0.3820290657020714,0.3580756013745704,ADHD,0.8132154006243496
2020,adhd,adhd,7730.0,4908.0,1445.0,0.2684059710911883,0.2944172779136104,ADHD,0.8219567690557452
2021,adhd,adhd,6680.0,4426.0,1373.0,0.2838171173251286,0.3102123813827384,ADHD,0.8291062801932367
2022,adhd,adhd,5860.0,3878.0,1285.0,0.3198404317927668,0.3313563692625064,ADHD,0.8409685863874345
2023,adhd,adhd,5339.0,3406.0,1146.0,0.3203577480706149,0.3364650616559013,ADHD,0.821505376344086
2024,adhd,adhd,4595.0,2829.0,862.0,0.3082315244995287,0.304701307882644,ADHD,0.8116760828625236
2025,adhd,adhd,4315.0,2701.0,843.0,0.3293706717856177,0.3121066271751203,ADHD,0.8489425981873112
2026,adhd,adhd,4474.0,2481.0,804.0,0.3970567257565449,0.3240628778718258,ADHD,0.8516949152542372
2014,adhd,attention_deficit,2792.0,1183.0,390.0,0.113388654886622,0.3296703296703296,ADHD,0.2671232876712329
2015,adhd,attention_deficit,2668.0,995.0,284.0,0.0828931302650157,0.2854271356783919,ADHD,0.2684310018903592
2016,adhd,attention_deficit,3758.0,1319.0,414.0,0.0725095159321305,0.313874147081122,ADHD,0.24555160142348753
2017,adhd,attention_deficit,1747.0,867.0,304.0,0.065705172233371,0.3506343713956171,ADHD,0.2340261739799846
2018,adhd,attention_deficit,1339.0,768.0,274.0,0.0634716812651607,0.3567708333333333,ADHD,0.20432513049962714
2019,adhd,attention_deficit,1472.0,970.0,359.0,0.087746919121589,0.3701030927835051,ADHD,0.18678459937565037
2020,adhd,attention_deficit,1729.0,1061.0,313.0,0.0581391480633508,0.295004712535344,ADHD,0.17804323094425484
2021,adhd,attention_deficit,1387.0,843.0,283.0,0.0584998136948371,0.3357058125741399,ADHD,0.1708937198067633
2022,adhd,attention_deficit,1275.0,764.0,243.0,0.0604834435219006,0.3180628272251309,ADHD,0.15903141361256545
2023,adhd,attention_deficit,1046.0,646.0,249.0,0.0696065264132487,0.3854489164086687,ADHD,0.17849462365591398
2024,adhd,attention_deficit,809.0,509.0,200.0,0.0715154349186841,0.3929273084479371,ADHD,0.18832391713747645
