year,source_year,analysis_role,analysis_unit,tokens_minlen,candidate_hits,validated_hits_wet,validated_hits_warc,candidate_hits_per_million_minlen_tokens,wet_salience_per_million_minlen_tokens,primary_salience_per_million_tokens,relative_to_2014,wet_over_candidate_validation_rate,warc_over_wet_validation_rate,pct_warc_validated_docs_with_published_ts
2014,2014,baseline,frustration,3439497544.0,12759.0,8080.0,5079.0,3.709553455636949,2.34918033713822,1.4766691747927003,1.0,0.6332784700995375,0.628589108910891,97.347595
2015,2015,baseline,frustration,3426098147.0,11776.0,7292.0,4481.0,3.4371461338057223,2.1283686827200516,1.3079018194279417,0.885710788681933,0.6192255434782609,0.6145090510148108,97.077497
2016,2016,baseline,frustration,5709595419.0,19410.0,12381.0,7935.0,3.399540348412207,2.1684548713905993,1.389765722032502,0.9411490032813895,0.6378670788253478,0.640901381148534,97.575085
2017,2017,baseline,frustration,4626728607.0,11601.0,6232.0,3947.0,2.507387181182032,1.3469560307841069,0.853086561858933,0.5777100087287269,0.5371950693905698,0.6333440308087291,97.200861
2018,2018,baseline,frustration,4316885807.0,9951.0,6045.0,3967.0,2.3051339425898325,1.4003150118536365,0.918949487514206,0.6223123656950523,0.6074766355140186,0.6562448304383788,97.506285
2019,2019,baseline,frustration,4091311736.0,8863.0,6270.0,4137.0,2.16629789463689,1.5325158297837411,1.011167143192239,0.6847621393154564,0.707435405618865,0.6598086124401914,96.059658
2020,2020,baseline,frustration,5383635819.0,11735.0,7519.0,4444.0,2.179753682183457,1.396639790058578,0.8254644536534539,0.5590043238827244,0.6407328504473796,0.5910360420268653,97.359794
2021,2021,baseline,frustration,4837622244.0,9928.0,7269.0,4537.0,2.0522478811390217,1.5025976881546683,0.9378574372207638,0.6351168245605339,0.7321716357775987,0.624157380657587,98.121324
2022,2022,baseline,frustration,4017628393.0,8282.0,6071.0,3881.0,2.0614151409398405,1.5110904758084729,0.965992774932084,0.6541700683009742,0.7330354986718184,0.6392686542579477,98.307159
2023,2023,baseline,frustration,3577250767.0,6796.0,4815.0,3410.0,1.8997829458009592,1.346005721605594,0.9532460042938892,0.6455379583769729,0.7085050029429076,0.7082035306334372,98.445847
2024,2024,baseline,frustration,2796599087.0,4883.0,3750.0,2703.0,1.7460493435396731,1.340914404725328,0.9665311029260162,0.6545346238853404,0.7679705099324186,0.7208,98.764097
2025,2025,baseline,frustration,2559426422.0,4817.0,3666.0,2659.0,1.8820623084120056,1.432352174099733,1.0389046456440778,0.7035459691165576,0.7610545982976956,0.7253136933987998,98.639129
2026,2026,baseline,frustration,2024899587.0,4676.0,3646.0,2831.0,2.3092503104945323,1.800583112075078,1.3980940181800727,0.946788923372997,0.77972626176219,0.7764673614920461,99.036609
