lsc_year,analysis_unit,frame_stratum,term_role,target_group,valence_mean,valence_sd,arousal_mean_for_reuse,dominance_mean_for_reuse,matched_vad_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,valence_bootstrap_mean,valence_ci_low,valence_ci_high
2014,ADHD,clinical_only,target,ADHD,0.061855598023318664,0.4886475764217862,0.0282104316269014,0.04158286232723342,4317,1157,791,1286,808,4888,4317,4443,1249,0.9089607201309329,0.9712286158631416,False,500,doc_id,0.0619757034092746,0.0434544949760346,0.08046142522700458
2015,ADHD,clinical_only,target,ADHD,0.07481962177996036,0.48888534719646026,0.02046265615576807,0.045728840354958215,3869,1119,763,1203,774,4464,3869,3979,1171,0.891353046594982,0.9733998337489609,False,500,doc_id,0.07518244963937479,0.055821516173090766,0.09383414560301508
2016,ADHD,clinical_only,target,ADHD,0.03880205235237846,0.5059493982741768,0.031395047395425695,0.028799799982607184,3833,1112,784,1149,790,4295,3833,3933,1124,0.9157159487776484,0.9782419495213229,False,500,doc_id,0.03929650072922728,0.01736020431987769,0.059906060542661975
2017,ADHD,clinical_only,target,ADHD,0.03903646355036171,0.4914730902625846,0.036331102763865704,0.035292547764793174,3594,1107,735,1099,751,4123,3594,3709,1063,0.8995876788746059,0.9672429481346679,False,500,doc_id,0.03971565877497499,0.019686224412364627,0.05888789835608387
2018,ADHD,clinical_only,target,ADHD,0.03988065541697237,0.5007773048212849,0.03419725686801989,0.024145190348088368,4089,1154,782,1182,787,4602,4089,4193,1164,0.9111255975662755,0.9847715736040609,False,500,doc_id,0.03964880949779256,0.021101762708795616,0.05852228844981379
2019,ADHD,clinical_only,target,ADHD,0.010419069544364508,0.5043403105504184,0.03830543405275779,0.0154282206235012,3475,1004,664,1000,674,3957,3475,3571,981,0.9024513520343694,0.981,False,500,doc_id,0.009894600637676951,-0.011600872368691138,0.03373570937470076
2020,ADHD,clinical_only,target,ADHD,0.03143985969387755,0.49438408394846,0.04022822066326531,0.025446901573129253,3136,949,662,959,668,3590,3136,3237,932,0.9016713091922005,0.9718456725755996,False,500,doc_id,0.03138279768832279,0.007516277480811763,0.0545438080640212
2021,ADHD,clinical_only,target,ADHD,0.025841490924352114,0.5066255590338457,0.03444953310250761,0.010944465428601407,3177,1033,634,928,636,3565,3177,3272,911,0.91781206171108,0.9816810344827587,False,500,doc_id,0.025037154888438194,0.0011887303607581447,0.04681619494147795
2022,ADHD,clinical_only,target,ADHD,0.059404096398084534,0.4917374330924737,0.015353086612533833,0.042366291900895275,3202,992,624,930,634,3606,3202,3305,906,0.9165280088740987,0.9741935483870968,False,500,doc_id,0.05868615249044289,0.037749761907178665,0.07939041105757871
2023,ADHD,clinical_only,target,ADHD,0.05814565018315018,0.48675686485818376,0.03946955782312925,0.05626412218733647,2548,861,470,750,477,2845,2548,2598,729,0.9131810193321617,0.972,False,500,doc_id,0.05828578034646687,0.03342683074445335,0.082517255607068
2024,ADHD,clinical_only,target,ADHD,0.04922482152663372,0.496736617301122,0.032133038165842946,0.044552100494233936,2428,790,452,704,457,2749,2428,2487,686,0.9046926154965442,0.9744318181818182,False,500,doc_id,0.04821044580481309,0.02256583345118642,0.07356044814811581
2025,ADHD,clinical_only,target,ADHD,0.07596494252873563,0.47663676132808797,0.04057135217113666,0.062284786079182634,2088,739,374,578,380,2378,2088,2141,556,0.900336417157275,0.9619377162629758,False,500,doc_id,0.07571268208522781,0.04726690212530519,0.10251463335428242
2026,ADHD,clinical_only,target,ADHD,0.07326909448818898,0.4805966179922899,0.022750688976377956,0.08183013451443569,1016,467,168,271,170,1174,1016,1043,267,0.8884156729131175,0.985239852398524,False,500,doc_id,0.07154692785677333,0.026125781549676028,0.11244000057445669
2014,ADHD,lived_only,target,ADHD,0.1345576334453154,0.47850653142836536,-0.011800914520343412,0.0476025195968645,893,496,243,310,243,1041,893,923,308,0.8866474543707973,0.9935483870967742,False,500,doc_id,0.13410713937905383,0.09364611093661372,0.17212669869407618
2015,ADHD,lived_only,target,ADHD,0.1622654761904762,0.4626988366097155,-0.02456793313069909,0.06253644883485308,658,372,167,216,169,755,658,681,214,0.9019867549668874,0.9907407407407407,False,500,doc_id,0.16205107104178987,0.12082077967032967,0.2065588095238095
2016,ADHD,lived_only,target,ADHD,0.14817531315240084,0.4686444707169579,0.004452870563674324,0.07651649269311066,958,488,245,309,245,1109,958,989,305,0.8917944093778178,0.9870550161812298,False,500,doc_id,0.14780303936991318,0.11566608058917253,0.18074634725993813
2017,ADHD,lived_only,target,ADHD,0.14530077561327562,0.4712200343279942,-0.003465836940836939,0.04922402597402597,924,480,238,303,241,1073,924,963,299,0.8974836905871388,0.9867986798679867,False,500,doc_id,0.1454372879557541,0.1043791662247708,0.1823445070111577
2018,ADHD,lived_only,target,ADHD,0.14443350980392158,0.4860020142744738,0.00040307843137254984,0.0783453725490196,850,461,214,269,216,984,850,867,266,0.8810975609756098,0.9888475836431226,False,500,doc_id,0.14431969486712204,0.10294269098289435,0.1820789857655092
2019,ADHD,lived_only,target,ADHD,0.1567577427821522,0.4799815799511962,0.02321679790026247,0.08428318335208099,889,438,220,299,223,1027,889,918,294,0.8938656280428432,0.9832775919732442,False,500,doc_id,0.1563043772454512,0.11288397529302062,0.19596640540071927
2020,ADHD,lived_only,target,ADHD,0.14286764193660745,0.4785322860382672,0.005536050156739812,0.06846717171717172,957,482,235,312,240,1087,957,986,304,0.9070837166513339,0.9743589743589743,False,500,doc_id,0.14257707610961778,0.10724275487019061,0.18007665614065352
