analysis_unit,lsc_year,predicted_derived_frame,contexts,documents,included_in_semantic_estimates,small_cell_flag
ADHD,2014,clinical_only,1286,808,True,False
ADHD,2014,lived_only,310,243,True,False
ADHD,2014,mixed,183,152,True,False
ADHD,2014,non_substantive_or_insufficient,1284,905,False,False
ADHD,2014,substantive_other,55,55,False,False
ADHD,2015,clinical_only,1203,774,True,False
ADHD,2015,lived_only,216,169,True,False
ADHD,2015,mixed,128,109,True,False
ADHD,2015,non_substantive_or_insufficient,733,592,False,False
ADHD,2015,substantive_other,64,63,False,False
ADHD,2016,clinical_only,1149,790,True,False
ADHD,2016,lived_only,309,245,True,False
ADHD,2016,mixed,182,142,True,False
ADHD,2016,non_substantive_or_insufficient,978,803,False,False
ADHD,2016,substantive_other,64,62,False,False
ADHD,2017,clinical_only,1099,751,True,False
ADHD,2017,lived_only,303,241,True,False
ADHD,2017,mixed,187,153,True,False
ADHD,2017,non_substantive_or_insufficient,849,702,False,False
ADHD,2017,substantive_other,82,78,False,False
ADHD,2018,clinical_only,1182,787,True,False
ADHD,2018,lived_only,269,216,True,False
ADHD,2018,mixed,182,152,True,False
ADHD,2018,non_substantive_or_insufficient,985,800,False,False
ADHD,2018,substantive_other,84,76,False,False
ADHD,2019,clinical_only,1000,674,True,False
ADHD,2019,lived_only,299,223,True,False
ADHD,2019,mixed,142,120,True,False
ADHD,2019,non_substantive_or_insufficient,791,641,False,False
ADHD,2019,substantive_other,66,55,False,False
ADHD,2020,clinical_only,959,668,True,False
ADHD,2020,lived_only,312,240,True,False
ADHD,2020,mixed,156,130,True,False
ADHD,2020,non_substantive_or_insufficient,825,692,False,False
ADHD,2020,substantive_other,73,66,False,False
ADHD,2021,clinical_only,928,636,True,False
ADHD,2021,lived_only,299,232,True,False
ADHD,2021,mixed,180,150,True,False
ADHD,2021,non_substantive_or_insufficient,908,747,False,False
ADHD,2021,substantive_other,47,44,False,False
ADHD,2022,clinical_only,930,634,True,False
ADHD,2022,lived_only,356,254,True,False
ADHD,2022,mixed,193,152,True,False
ADHD,2022,non_substantive_or_insufficient,807,646,False,False
ADHD,2022,substantive_other,58,52,False,False
ADHD,2023,clinical_only,750,477,True,False
ADHD,2023,lived_only,299,216,True,False
ADHD,2023,mixed,159,122,True,False
ADHD,2023,non_substantive_or_insufficient,659,503,False,False
ADHD,2023,substantive_other,35,31,False,False
ADHD,2024,clinical_only,704,457,True,False
ADHD,2024,lived_only,313,227,True,False
ADHD,2024,mixed,154,122,True,False
ADHD,2024,non_substantive_or_insufficient,526,435,False,False
ADHD,2024,substantive_other,41,34,False,False
ADHD,2025,clinical_only,578,380,True,False
ADHD,2025,lived_only,216,148,True,False
ADHD,2025,mixed,110,92,True,False
ADHD,2025,non_substantive_or_insufficient,640,555,False,False
ADHD,2025,substantive_other,31,29,False,False
ADHD,2026,clinical_only,271,170,True,False
ADHD,2026,lived_only,109,76,True,False
ADHD,2026,mixed,44,38,True,True
ADHD,2026,non_substantive_or_insufficient,257,200,False,False
ADHD,2026,substantive_other,20,15,False,False
Autism,2014,clinical_only,2850,1708,True,False
Autism,2014,lived_only,1303,937,True,False
Autism,2014,mixed,660,502,True,False
Autism,2014,non_substantive_or_insufficient,3221,2364,False,False
Autism,2014,substantive_other,249,215,False,False
Autism,2015,clinical_only,2083,1322,True,False
Autism,2015,lived_only,1055,741,True,False
Autism,2015,mixed,539,413,True,False
Autism,2015,non_substantive_or_insufficient,2569,1886,False,False
Autism,2015,substantive_other,213,183,False,False
Autism,2016,clinical_only,2175,1392,True,False
Autism,2016,lived_only,1367,931,True,False
Autism,2016,mixed,678,501,True,False
Autism,2016,non_substantive_or_insufficient,2760,2115,False,False
Autism,2016,substantive_other,275,231,False,False
Autism,2017,clinical_only,1984,1290,True,False
Autism,2017,lived_only,1368,959,True,False
Autism,2017,mixed,627,457,True,False
Autism,2017,non_substantive_or_insufficient,2761,2057,False,False
Autism,2017,substantive_other,281,243,False,False
Autism,2018,clinical_only,1959,1277,True,False
Autism,2018,lived_only,1239,873,True,False
Autism,2018,mixed,620,477,True,False
Autism,2018,non_substantive_or_insufficient,2505,1937,False,False
Autism,2018,substantive_other,199,168,False,False
Autism,2019,clinical_only,1717,1097,True,False
Autism,2019,lived_only,1191,833,True,False
Autism,2019,mixed,546,403,True,False
Autism,2019,non_substantive_or_insufficient,2161,1686,False,False
Autism,2019,substantive_other,214,170,False,False
Autism,2020,clinical_only,1532,1031,True,False
Autism,2020,lived_only,1064,782,True,False
Autism,2020,mixed,525,388,True,False
Autism,2020,non_substantive_or_insufficient,2022,1567,False,False
Autism,2020,substantive_other,159,135,False,False
Autism,2021,clinical_only,1413,924,True,False
Autism,2021,lived_only,994,709,True,False
Autism,2021,mixed,551,407,True,False
Autism,2021,non_substantive_or_insufficient,1897,1448,False,False
Autism,2021,substantive_other,159,135,False,False
Autism,2022,clinical_only,1175,772,True,False
Autism,2022,lived_only,911,643,True,False
Autism,2022,mixed,421,318,True,False
Autism,2022,non_substantive_or_insufficient,1525,1197,False,False
Autism,2022,substantive_other,150,125,False,False
Autism,2023,clinical_only,1092,678,True,False
Autism,2023,lived_only,687,470,True,False
Autism,2023,mixed,372,283,True,False
Autism,2023,non_substantive_or_insufficient,1254,947,False,False
Autism,2023,substantive_other,102,87,False,False
Autism,2024,clinical_only,900,592,True,False
Autism,2024,lived_only,651,454,True,False
Autism,2024,mixed,315,229,True,False
Autism,2024,non_substantive_or_insufficient,1150,871,False,False
Autism,2024,substantive_other,122,104,False,False
Autism,2025,clinical_only,1044,634,True,False
Autism,2025,lived_only,746,566,True,False
Autism,2025,mixed,357,273,True,False
Autism,2025,non_substantive_or_insufficient,2259,1911,False,False
Autism,2025,substantive_other,113,87,False,False
Autism,2026,clinical_only,382,242,True,False
