analysis_unit,frame_stratum,lsc_year,collocate,collocate_type,count,valence,arousal,dominance,documents,weighted_valence_contribution,abs_weighted_valence_contribution,total_matches_for_unit_year_frame,match_share,contribution_direction
ADHD,clinical_only,2014,disorder,unigram,84,-0.675,0.53,-0.49400000000000005,72,-56.7,56.7,7410,0.011336032388663968,negative
ADHD,clinical_only,2014,depression,unigram,48,-0.9380000000000001,0.04,-0.536,48,-45.024,45.024,7410,0.006477732793522267,negative
ADHD,clinical_only,2014,autism,unigram,80,-0.53,0.0,-0.10600000000000001,73,-42.400000000000006,42.400000000000006,7410,0.010796221322537112,negative
ADHD,clinical_only,2014,diagnose,unigram,78,-0.45550000000000007,-0.035500000000000004,0.01949999999999999,68,-35.529,35.529,7410,0.010526315789473684,negative
ADHD,clinical_only,2014,problem,unigram,37,-0.876,0.288,-0.17,36,-32.412,32.412,7410,0.004993252361673414,negative
ADHD,clinical_only,2014,drug,unigram,48,-0.6656666666666666,0.5419999999999999,-0.425,43,-31.951999999999998,31.951999999999998,7410,0.006477732793522267,negative
ADHD,clinical_only,2014,of,unigram,280,-0.111,-0.119,-0.161,207,-31.080000000000002,31.080000000000002,7410,0.037786774628879895,negative
ADHD,clinical_only,2014,anxiety,unigram,29,-0.708,0.73,-0.316,29,-20.532,20.532,7410,0.003913630229419703,negative
ADHD,clinical_only,2014,hyperactivity,unigram,26,-0.667,1.0,-0.3330000000000001,23,-17.342000000000002,17.342000000000002,7410,0.0035087719298245615,negative
ADHD,clinical_only,2014,disability,unigram,18,-0.854,-0.036,-0.654,17,-15.372,15.372,7410,0.0024291497975708503,negative
ADHD,clinical_only,2014,child,unigram,190,0.7689999999999999,-0.0020000000000000018,-0.152,152,146.10999999999999,146.10999999999999,7410,0.02564102564102564,positive
ADHD,clinical_only,2014,have,unigram,160,0.514,-0.22200000000000003,0.186,141,82.24000000000001,82.24000000000001,7410,0.021592442645074223,positive
ADHD,clinical_only,2014,with,unigram,291,0.148,-0.119,0.05,238,43.068,43.068,7410,0.039271255060728746,positive
ADHD,clinical_only,2014,adult,unigram,54,0.63,-0.018,0.574,40,34.02,34.02,7410,0.0072874493927125505,positive
ADHD,clinical_only,2014,add,unigram,105,0.29000000000000004,-0.10500000000000001,0.063,88,30.450000000000003,30.450000000000003,7410,0.01417004048582996,positive
ADHD,clinical_only,2014,like,unigram,29,0.77225,0.08024999999999999,-0.034499999999999996,27,22.39525,22.39525,7410,0.003913630229419703,positive
ADHD,clinical_only,2014,treat,unigram,61,0.341,-0.016,-0.0020000000000000018,56,20.801000000000002,20.801000000000002,7410,0.008232118758434548,positive
ADHD,clinical_only,2014,include,unigram,40,0.45933333333333337,-0.18066666666666667,0.19333333333333336,39,18.373333333333335,18.373333333333335,7410,0.005398110661268556,positive
ADHD,clinical_only,2014,to,unigram,165,0.10999999999999999,-0.095,-0.167,145,18.15,18.15,7410,0.022267206477732792,positive
ADHD,clinical_only,2014,study,unigram,33,0.47333333333333333,0.00033333333333333365,0.5633333333333334,30,15.62,15.62,7410,0.004453441295546558,positive
ADHD,clinical_only,2015,disorder,unigram,71,-0.675,0.53,-0.494,65,-47.925000000000004,47.925000000000004,6765,0.01049519586104952,negative
ADHD,clinical_only,2015,depression,unigram,49,-0.938,0.04,-0.536,45,-45.961999999999996,45.961999999999996,6765,0.007243163340724316,negative
ADHD,clinical_only,2015,autism,unigram,75,-0.53,0.0,-0.106,71,-39.75,39.75,6765,0.011086474501108648,negative
ADHD,clinical_only,2015,diagnose,unigram,77,-0.4555,-0.035500000000000004,0.01949999999999999,67,-35.0735,35.0735,6765,0.011382113821138212,negative
ADHD,clinical_only,2015,of,unigram,284,-0.111,-0.119,-0.161,222,-31.524,31.524,6765,0.04198078344419808,negative
ADHD,clinical_only,2015,problem,unigram,27,-0.876,0.288,-0.17000000000000004,26,-23.652,23.652,6765,0.003991130820399113,negative
ADHD,clinical_only,2015,anxiety,unigram,30,-0.708,0.73,-0.316,27,-21.24,21.24,6765,0.004434589800443459,negative
ADHD,clinical_only,2015,drug,unigram,31,-0.6656666666666666,0.5419999999999999,-0.425,26,-20.635666666666665,20.635666666666665,6765,0.004582409460458241,negative
ADHD,clinical_only,2015,dyslexia,unigram,23,-0.667,-0.167,-0.792,23,-15.341000000000001,15.341000000000001,6765,0.003399852180339985,negative
ADHD,clinical_only,2015,difficulty,unigram,19,-0.7949999999999999,0.45949999999999996,-0.364,19,-15.104999999999999,15.104999999999999,6765,0.0028085735402808574,negative
ADHD,clinical_only,2015,child,unigram,156,0.7689999999999999,-0.0020000000000000018,-0.152,135,119.96399999999998,119.96399999999998,6765,0.023059866962305987,positive
ADHD,clinical_only,2015,have,unigram,120,0.514,-0.222,0.186,101,61.68,61.68,6765,0.017738359201773836,positive
ADHD,clinical_only,2015,adult,unigram,66,0.63,-0.018,0.574,50,41.58,41.58,6765,0.00975609756097561,positive
ADHD,clinical_only,2015,with,unigram,261,0.148,-0.119,0.05,206,38.628,38.628,6765,0.038580931263858094,positive
ADHD,clinical_only,2015,like,unigram,35,0.77225,0.08024999999999999,-0.034499999999999996,33,27.02875,27.02875,6765,0.005173688100517369,positive
ADHD,clinical_only,2015,add,unigram,85,0.29000000000000004,-0.10499999999999998,0.063,76,24.650000000000002,24.650000000000002,6765,0.012564671101256468,positive
ADHD,clinical_only,2015,include,unigram,49,0.45933333333333337,-0.18066666666666664,0.19333333333333336,47,22.507333333333335,22.507333333333335,6765,0.007243163340724316,positive
ADHD,clinical_only,2015,treatment,unigram,55,0.326,-0.228,0.24,49,17.93,17.93,6765,0.008130081300813009,positive
