analysis_unit,frame_stratum,term_role,target_group,index_name,n_years,year_center,linear_intercept,linear_slope_per_year,linear_slope_se,linear_p_value,linear_r_squared,linear_adj_r_squared,standardized_beta_year,durbin_watson,lag1_residual_autocorrelation,autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,quadratic_adj_r_squared,quadratic_delta_adj_r_squared
ADHD,clinical_only,target,ADHD,valence_mean,13,2020.0,0.049084878185413745,0.001251074299289542,0.00152805813632696,0.4303181855811425,0.057438546276147306,-0.028248858607839322,0.23966340203741407,1.0113047195125555,0.45064204729977775,True,0.0035506902040281538,0.21758718973531838,0.5750499785239483,0.6032988371317877
ADHD,lived_only,target,ADHD,valence_mean,13,2020.0,0.1494176856905937,0.00017814263955097677,0.0017054254714610698,0.9186874275992002,0.0009909392205978973,-0.08982806630480233,0.031479187101927576,2.3891937898315976,-0.5599460080646096,False,,,-0.13387475693173956,-0.044046690626937224
ADHD,mixed,target,ADHD,valence_mean,13,2020.0,0.10976977899358818,0.004979320584898366,0.0025127462261008214,0.07306605150614043,0.2630722966607386,0.19607886908444205,0.5129057385726334,1.6532526747575702,0.05512552437109276,False,,,0.34299532141575584,0.14691645233131378
ADHD,substantive_core_overall,target,ADHD,valence_mean,13,2020.0,0.0759149091073631,0.0023299421375770203,0.0013529104364363642,0.11299952634889318,0.21236559968329471,0.14076247238177608,0.46083142219611584,1.0904408038025037,0.43294649415404174,True,0.0037487220739576047,0.1473072861626688,0.43004122136833944,0.28927874898656336
Autism,clinical_only,target,Autism,valence_mean,13,2020.0,0.08508873370593585,0.0022499277325841865,0.0014704713825556912,0.1542342869384911,0.17548162163309877,0.10052540541792598,0.41890526570228104,0.9832649884328802,0.4042815366706487,True,0.005182102943770526,0.03969502980850432,0.7468456006983605,0.6463201952804345
Autism,lived_only,target,Autism,valence_mean,13,2020.0,0.2303946057306141,-0.0038293609139602664,0.002229874223568684,0.11390992915875033,0.21141956634778125,0.1397304360157613,-0.45980383463796953,2.2974521809261397,-0.19342245878051248,False,,,0.180620815351191,0.040890379335429716
Autism,mixed,target,Autism,valence_mean,13,2020.0,0.2058006122692272,0.001424502651847037,0.0009506915926280875,0.16217069814274382,0.16950793062974412,0.0940086515960844,0.41171340836769416,1.7920584747961612,0.08490016812816038,False,,,0.20676154982230632,0.11275289822622192
Autism,substantive_core_overall,target,Autism,valence_mean,13,2020.0,0.14902813170199802,0.0011655584578426968,0.0006056499946391279,0.08053865935862828,0.25188415683084264,0.1838736256336465,0.5018806200988867,2.280621246312189,-0.5231903920109701,False,,,0.2821188309115442,0.09824520527789771
frustration,unframed_baseline,baseline,baseline,valence_mean,13,2020.0,0.09255169329389576,0.0037291659330004087,0.0012553902608084372,0.012733432894759368,0.44511726113636063,0.39467337578512063,0.6671710883546743,0.389310202852106,0.7616369024105303,True,0.011627816419421047,0.0027956458395319165,0.8924399043170559,0.49776652853193526
loneliness,unframed_baseline,baseline,baseline,valence_mean,13,2020.0,0.033602513315796084,0.004444064972216273,0.0013431014066241662,0.006968242000806151,0.49882021881599115,0.45325842052653575,0.7062720572244036,0.8924019030656352,0.39262165213563294,True,0.006976830434045688,0.008905500415855434,0.8323070614904909,0.3790486409639552
sadness,unframed_baseline,baseline,baseline,valence_mean,13,2020.0,0.03544721461410611,-0.003016047337862957,0.0007039277486139556,0.0012887582007498936,0.6253122550772505,0.591249732811546,-0.790766877832684,1.6495793922988382,0.08420043549967111,False,,,0.6771586903506597,0.08590895753911365
