lsc_year,analysis_unit,frame_stratum,term_role,target_group,valence_warriner_mean,valence_warriner_sd,valence_scaled_mean,valence_scaled_sd,arousal_warriner_mean_for_reuse,arousal_scaled_mean_for_reuse,dominance_warriner_mean_for_reuse,matched_warriner_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,valence_warriner_bootstrap_mean,valence_warriner_ci_low,valence_warriner_ci_high,valence_scaled_bootstrap_mean,valence_scaled_ci_low,valence_scaled_ci_high
2014,ADHD,clinical_only,target,ADHD,5.253636100066269,1.3856882141597306,0.5317045125082837,0.17321102676996633,4.252283383035122,0.4065354228793903,5.3013672133863485,4024,925,784,1286,808,4888,4024,4026,1235,0.8236497545008183,0.9603421461897356,False,500,doc_id,5.252889322786559,5.197391454064412,5.301903992596116,0.5316111653483199,0.5246739317580514,0.5377379990745145
2015,ADHD,clinical_only,target,ADHD,5.254151691088379,1.391469504396822,0.5317689613860473,0.17393368804960274,4.229485761680951,0.40368572021011884,5.330384296378214,3617,909,753,1203,774,4464,3617,3619,1158,0.8107078853046595,0.9625935162094763,False,500,doc_id,5.254429716338862,5.1994181192808115,5.3061472961139575,0.5318037145423579,0.5249272649101013,0.5382684120142447
2016,ADHD,clinical_only,target,ADHD,5.175758633528809,1.4645694248795655,0.5219698291911011,0.1830711781099457,4.230597133016849,0.403824641627106,5.277579353997952,3581,907,776,1149,790,4295,3581,3582,1114,0.8339930151338766,0.9695387293298521,False,500,doc_id,5.1749874711409,5.114374129688725,5.235481975877167,0.5218734338926125,0.5142967662110907,0.5294352469846458
2017,ADHD,clinical_only,target,ADHD,5.182436470121104,1.4434534490981887,0.522804558765138,0.1804316811372736,4.232981933690689,0.4041227417113361,5.260890410958904,3358,903,730,1099,751,4123,3358,3363,1049,0.815668202764977,0.9545040946314831,False,500,doc_id,5.180797593941348,5.1213329510562104,5.246288702394489,0.5225996992426685,0.5151666188820263,0.5307860877993111
2018,ADHD,clinical_only,target,ADHD,5.229119513484928,1.458496305416933,0.5286399391856161,0.18231203817711664,4.229744843997885,0.4037181054997356,5.319441653446148,3782,931,780,1182,787,4602,3782,3787,1159,0.8229030856149501,0.9805414551607445,False,500,doc_id,5.228614079175621,5.170632237761287,5.28560386939616,0.5285767598969526,0.5213290297201609,0.53570048367452
2019,ADHD,clinical_only,target,ADHD,5.122671644886953,1.4938596407925142,0.5153339556108691,0.18673245509906428,4.240206907280647,0.4050258634100809,5.2613244140219875,3214,812,658,1000,674,3957,3214,3214,969,0.8122314885013899,0.969,False,500,doc_id,5.120184556256287,5.054299885668141,5.190652887444274,0.5150230695320359,0.5067874857085176,0.5238316109305342
2020,ADHD,clinical_only,target,ADHD,5.1660834478021975,1.4710672289048141,0.5207604309752747,0.18388340361310176,4.223874771062271,0.4029843463827839,5.2692914377289375,2912,761,659,959,668,3590,2912,2915,924,0.8119777158774373,0.9635036496350365,False,500,doc_id,5.165553034879867,5.098851593602496,5.232814942118056,0.5206941293599834,0.512356449200312,0.529101867764757
2021,ADHD,clinical_only,target,ADHD,5.141000457090619,1.4902376633435928,0.5176250571363273,0.1862797079179491,4.25056736372986,0.40632092046623247,5.221936350131414,2917,845,630,928,636,3565,2917,2920,903,0.8190743338008415,0.9730603448275862,False,500,doc_id,5.142827408777102,5.07623774522784,5.211239999022864,0.5178534260971378,0.50952971815348,0.526404999877858
2022,ADHD,clinical_only,target,ADHD,5.2163107119095145,1.4560862421122895,0.5270388389886893,0.18201078026403616,4.195264471057884,0.3994080588822355,5.341959414504325,3006,811,623,930,634,3606,3006,3007,903,0.8338879645036051,0.9709677419354839,False,500,doc_id,5.216487529458657,5.156331549841128,5.276554771672536,0.5270609411823322,0.5195414437301411,0.534569346459067
2023,ADHD,clinical_only,target,ADHD,5.210044068776188,1.4251828984210666,0.5262555085970235,0.17814786230263333,4.2243591966478835,0.4030448995809854,5.277719260222511,2307,711,467,750,477,2845,2307,2308,721,0.8112478031634447,0.9613333333333334,False,500,doc_id,5.209522521945872,5.140934066902609,5.276701312621649,0.526190315243234,0.5176167583628262,0.5345876640777061
2024,ADHD,clinical_only,target,ADHD,5.2022445038621505,1.4482541808058855,0.5252805629827688,0.1810317726007357,4.184571449792038,0.39807143122400473,5.316720142602495,2244,656,446,704,457,2749,2244,2245,680,0.8166606038559476,0.9659090909090909,False,500,doc_id,5.204500677857762,5.132465659420742,5.276613252688172,0.5255625847322203,0.5165582074275927,0.5345766565860215
2025,ADHD,clinical_only,target,ADHD,5.199953222453223,1.4039624907992267,0.5249941528066528,0.17549531134990334,4.18033264033264,0.39754158004158,5.320990124740125,1924,623,370,578,380,2378,1924,1924,547,0.8090832632464255,0.9463667820069204,False,500,doc_id,5.1984608021354735,5.119979928482935,5.267618984016343,0.5248076002669342,0.5149974910603669,0.5334523730020427
