lsc_year,analysis_unit,frame_stratum,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag
2014,ADHD,clinical_only,1286,808,9069,4869,4871,1259,0.5371044216561914,0.97900466562986,False
2014,ADHD,lived_only,310,243,2326,1129,1129,309,0.48538263112639723,0.9967741935483871,False
2014,ADHD,mixed,183,152,1324,673,673,183,0.5083081570996979,1.0,False
2014,ADHD,substantive_core_overall,1779,1093,12719,6671,6673,1751,0.5246481641638494,0.9842608206857786,False
2014,Autism,clinical_only,2850,1708,22685,11793,11802,2843,0.5202556755565352,0.9975438596491228,False
2014,Autism,lived_only,1303,937,10515,5141,5141,1299,0.4889205896338564,0.9969301611665388,False
2014,Autism,mixed,660,502,5330,2762,2765,659,0.5187617260787992,0.9984848484848485,False
2014,Autism,substantive_core_overall,4813,2858,38530,19696,19708,4801,0.511497534388788,0.9975067525451901,False
2014,frustration,unframed_baseline,11401,10238,94684,41647,41661,11376,0.4400004224578598,0.997807209893869,False
2014,loneliness,unframed_baseline,3209,2621,25707,11878,11879,3197,0.4620920371883145,0.9962605172951076,False
2014,sadness,unframed_baseline,6174,5212,48952,21920,21922,6161,0.4478264422291224,0.9978943958535795,False
2015,ADHD,clinical_only,1203,774,8360,4398,4400,1175,0.5263157894736842,0.9767248545303409,False
2015,ADHD,lived_only,216,169,1638,788,789,213,0.4816849816849817,0.9861111111111112,False
2015,ADHD,mixed,128,109,952,514,516,127,0.542016806722689,0.9921875,False
2015,ADHD,substantive_core_overall,1547,993,10950,5700,5705,1515,0.5210045662100456,0.9793148028442146,False
2015,Autism,clinical_only,2083,1322,16685,8716,8736,2074,0.5235840575367097,0.9956793086893903,False
2015,Autism,lived_only,1055,741,8482,4185,4185,1052,0.49339778354161756,0.9971563981042654,False
2015,Autism,mixed,539,413,4374,2237,2239,537,0.5118884316415181,0.9962894248608535,False
2015,Autism,substantive_core_overall,3677,2252,29541,15138,15160,3663,0.5131850648251582,0.9961925482730487,False
2015,frustration,unframed_baseline,8543,7595,70564,31595,31607,8518,0.44791961906921374,0.9970736275313122,False
2015,loneliness,unframed_baseline,2759,2265,21794,10411,10414,2754,0.47783793704689365,0.9981877491844872,False
2015,sadness,unframed_baseline,4936,4145,39014,17565,17566,4908,0.4502486286973907,0.9943273905996759,False
2016,ADHD,clinical_only,1149,790,8030,4283,4284,1136,0.5334993773349938,0.9886858137510879,False
2016,ADHD,lived_only,309,245,2378,1161,1161,309,0.48822539949537425,1.0,False
2016,ADHD,mixed,182,142,1404,697,697,181,0.4964387464387464,0.9945054945054945,False
2016,ADHD,substantive_core_overall,1640,1098,11812,6141,6142,1626,0.5199796816796478,0.9914634146341463,False
2016,Autism,clinical_only,2175,1392,17076,8941,8955,2171,0.5244202389318342,0.9981609195402299,False
2016,Autism,lived_only,1367,931,11130,5398,5398,1365,0.4849955076370171,0.9985369422092173,False
2016,Autism,mixed,678,501,5493,2763,2763,677,0.503003823047515,0.9985250737463127,False
2016,Autism,substantive_core_overall,4220,2553,33699,17102,17116,4213,0.5079082465355055,0.9983412322274882,False
2016,frustration,unframed_baseline,10068,9003,83328,37173,37183,10042,0.4462245583717358,0.9974175605880016,False
2016,loneliness,unframed_baseline,3561,2884,28612,13438,13442,3548,0.46980287991052705,0.9963493400730132,False
2016,sadness,unframed_baseline,6011,5057,47627,21701,21705,5997,0.4557288932748231,0.9976709366162037,False
2017,ADHD,clinical_only,1099,751,7593,4072,4077,1075,0.5369419201896484,0.978161965423112,False
2017,ADHD,lived_only,303,241,2324,1151,1152,301,0.49569707401032703,0.9933993399339934,False
2017,ADHD,mixed,187,153,1433,733,734,185,0.5122121423586881,0.9893048128342246,False
2017,ADHD,substantive_core_overall,1589,1070,11350,5956,5963,1561,0.5253744493392071,0.9823788546255506,False
2017,Autism,clinical_only,1984,1290,15661,8173,8179,1980,0.5222527297107464,0.9979838709677419,False
2017,Autism,lived_only,1368,959,10993,5408,5410,1359,0.4921313563176567,0.993421052631579,False
2017,Autism,mixed,627,457,5090,2481,2482,626,0.48762278978388995,0.9984051036682615,False
2017,Autism,substantive_core_overall,3979,2439,31744,16062,16071,3965,0.5062689012096774,0.9964815280221161,False
2017,frustration,unframed_baseline,9489,8588,78492,35232,35238,9467,0.44893747133465833,0.9976815259774475,False
2017,loneliness,unframed_baseline,3256,2691,25980,12368,12368,3247,0.476058506543495,0.9972358722358723,False
2017,sadness,unframed_baseline,5397,4647,42761,19414,19414,5373,0.4540118332125067,0.9955530850472485,False
2018,ADHD,clinical_only,1182,787,8408,4527,4532,1168,0.5390104662226451,0.988155668358714,False
2018,ADHD,lived_only,269,216,2031,974,974,264,0.4795667159034958,0.9814126394052045,False
2018,ADHD,mixed,182,152,1352,709,709,181,0.5244082840236687,0.9945054945054945,False
2018,ADHD,substantive_core_overall,1633,1067,11791,6210,6215,1613,0.5270969383428038,0.9877526025719534,False
2018,Autism,clinical_only,1959,1277,15426,8038,8057,1953,0.5223000129651238,0.996937212863706,False
2018,Autism,lived_only,1239,873,9947,4900,4900,1232,0.49261083743842365,0.9943502824858758,False
2018,Autism,mixed,620,477,4948,2520,2520,618,0.5092966855295069,0.9967741935483871,False
2018,Autism,substantive_core_overall,3818,2369,30321,15458,15477,3803,0.5104383100821213,0.9960712414876899,False
2018,frustration,unframed_baseline,9422,8440,78120,35303,35306,9395,0.45194572452636966,0.9971343663765655,False
2018,loneliness,unframed_baseline,3430,2749,27465,13400,13402,3424,0.4879665028217732,0.9982507288629737,False
2018,sadness,unframed_baseline,5569,4791,44473,20300,20301,5556,0.4564792121062218,0.9976656491291076,False
2019,ADHD,clinical_only,1000,674,7120,3851,3851,983,0.5408707865168539,0.983,False
2019,ADHD,lived_only,299,223,2242,1105,1106,299,0.4933095450490633,1.0,False
2019,ADHD,mixed,142,120,1052,511,511,142,0.48574144486692017,1.0,False
2019,ADHD,substantive_core_overall,1441,957,10414,5467,5468,1424,0.5250624159784905,0.9882026370575989,False
