analysis_unit,frame_stratum,collocate,occurrences,documents,valence_warriner_mean,valence_scaled_mean,arousal_warriner_mean,source_terms,unit_frame_occurrences,collocate_share
ADHD,clinical_only,be,3016,2331,6.179999999999999,0.6475,3.43,be,45233,0.06667698361815488
ADHD,clinical_only,child,1404,1192,7.200000000000001,0.7750000000000001,5.33,child,45233,0.03103928547741693
ADHD,clinical_only,have,1242,1079,5.86,0.6075,3.52,have,45233,0.0274578294607919
ADHD,clinical_only,disorder,1114,948,3.7599999999999993,0.345,4.9,disorder,45233,0.024628037052594344
ADHD,clinical_only,autism,1057,937,3.2,0.275,4.1,autism,45233,0.023367895120818872
ADHD,clinical_only,add,991,822,6.23,0.65375,4.0,add,45233,0.021908783410342008
ADHD,clinical_only,anxiety,672,634,2.38,0.1725,4.78,anxiety,45233,0.014856410143037162
ADHD,clinical_only,symptom,665,585,3.3300000000000005,0.29125,4.17,symptom,45233,0.01470165587071386
ADHD,clinical_only,depression,613,576,2.44,0.18,5.2,depression,45233,0.013552052704883603
ADHD,clinical_only,diagnose,547,491,5.0,0.5,3.72,diagnose,45233,0.01209294099440674
ADHD,clinical_only,treatment,488,415,5.0,0.5,4.47,treatment,45233,0.010788583556253178
ADHD,clinical_only,include,485,473,6.39,0.67375,3.05,include,45233,0.010722260296686048
ADHD,clinical_only,treat,484,445,6.84,0.73,5.0,treat,45233,0.010700152543497004
ADHD,clinical_only,can,464,424,6.41,0.67625,3.14,can,45233,0.010257997479716136
ADHD,clinical_only,medication,451,384,3.65,0.33125,4.56,medication,45233,0.009970596688258572
ADHD,clinical_only,adult,438,340,5.9,0.6125,4.36,adult,45233,0.009683195896801009
ADHD,clinical_only,condition,434,411,4.32,0.41500000000000004,4.15,condition,45233,0.009594764884044834
ADHD,clinical_only,like,424,398,7.4399999999999995,0.8049999999999999,4.4,like,45233,0.0093736873521544
ADHD,clinical_only,use,406,373,5.18,0.5225,4.19,use,45233,0.00897574779475162
