analysis_unit,frame_stratum,lsc_year,rank,neighbour,cosine_similarity,target_token,target_token_count,neighbour_token_count,contexts,documents,domains
ADHD,clinical_only,2014,1,disorder,0.5601752996444702,adhd_concept,2619,869,1260,800,657
ADHD,clinical_only,2014,2,child,0.494117796421051,adhd_concept,2619,969,1260,800,657
ADHD,clinical_only,2014,3,condition,0.47916293144226074,adhd_concept,2619,210,1260,800,657
ADHD,clinical_only,2014,4,adult,0.45930057764053345,adhd_concept,2619,263,1260,800,657
ADHD,clinical_only,2014,5,aged,0.4526917040348053,adhd_concept,2619,23,1260,800,657
ADHD,clinical_only,2015,1,child,0.5508770942687988,adhd_concept,2307,801,1170,752,578
ADHD,clinical_only,2015,2,disorder,0.5436158180236816,adhd_concept,2307,820,1170,752,578
ADHD,clinical_only,2015,3,diagnose,0.4207106828689575,adhd_concept,2307,240,1170,752,578
ADHD,clinical_only,2015,4,include,0.41059499979019165,adhd_concept,2307,254,1170,752,578
ADHD,clinical_only,2015,5,undiagnosed,0.3873724639415741,adhd_concept,2307,32,1170,752,578
ADHD,clinical_only,2016,1,disorder,0.486146479845047,adhd_concept,2202,797,1134,778,653
ADHD,clinical_only,2016,2,child,0.4431462287902832,adhd_concept,2202,741,1134,778,653
ADHD,clinical_only,2016,3,treatment,0.409919798374176,adhd_concept,2202,289,1134,778,653
ADHD,clinical_only,2016,4,condition,0.389931321144104,adhd_concept,2202,189,1134,778,653
ADHD,clinical_only,2016,5,mistakenly,0.3857751488685608,adhd_concept,2202,6,1134,778,653
ADHD,clinical_only,2017,1,disorder,0.5576096773147583,adhd_concept,2009,770,1082,741,646
ADHD,clinical_only,2017,2,child,0.4752487540245056,adhd_concept,2009,676,1082,741,646
ADHD,clinical_only,2017,3,hyperactivitiy,0.4168713688850403,adhd_concept,2009,8,1082,741,646
ADHD,clinical_only,2017,4,symptom,0.40419381856918335,adhd_concept,2009,246,1082,741,646
ADHD,clinical_only,2017,5,generally,0.39824071526527405,adhd_concept,2009,12,1082,741,646
ADHD,clinical_only,2018,1,disorder,0.594584047794342,adhd_concept,2124,768,1164,776,710
ADHD,clinical_only,2018,2,child,0.49985942244529724,adhd_concept,2124,722,1164,776,710
ADHD,clinical_only,2018,3,hyperactivity,0.47129395604133606,adhd_concept,2124,233,1164,776,710
ADHD,clinical_only,2018,4,lifelong,0.45495355129241943,adhd_concept,2124,19,1164,776,710
ADHD,clinical_only,2018,5,audiologist,0.4363306760787964,adhd_concept,2124,8,1164,776,710
ADHD,clinical_only,2019,1,disorder,0.5155662298202515,adhd_concept,1926,610,994,669,614
ADHD,clinical_only,2019,2,child,0.4746040999889374,adhd_concept,1926,642,994,669,614
ADHD,clinical_only,2019,3,adult,0.39211660623550415,adhd_concept,1926,123,994,669,614
ADHD,clinical_only,2019,4,diagnose,0.37998098134994507,adhd_concept,1926,103,994,669,614
ADHD,clinical_only,2019,5,symptom,0.3753378689289093,adhd_concept,1926,235,994,669,614
ADHD,clinical_only,2020,1,disorder,0.509585976600647,adhd_concept,1761,590,943,659,614
ADHD,clinical_only,2020,2,child,0.4914837181568146,adhd_concept,1761,635,943,659,614
ADHD,clinical_only,2020,3,treatment,0.42876094579696655,adhd_concept,1761,190,943,659,614
ADHD,clinical_only,2020,4,suffer,0.41237249970436096,adhd_concept,1761,76,943,659,614
ADHD,clinical_only,2020,5,attention,0.40602409839630127,adhd_concept,1761,162,943,659,614
ADHD,clinical_only,2021,1,disorder,0.513603150844574,adhd_concept,1674,616,912,628,572
ADHD,clinical_only,2021,2,child,0.4328065812587738,adhd_concept,1674,603,912,628,572
ADHD,clinical_only,2021,3,people,0.4177294969558716,adhd_concept,1674,182,912,628,572
ADHD,clinical_only,2021,4,symptom,0.3994484543800354,adhd_concept,1674,234,912,628,572
ADHD,clinical_only,2021,5,condition,0.39016488194465637,adhd_concept,1674,160,912,628,572
ADHD,clinical_only,2022,1,disorder,0.45153549313545227,adhd_concept,1754,546,913,622,586
ADHD,clinical_only,2022,2,symptom,0.4331289231777191,adhd_concept,1754,251,913,622,586
ADHD,clinical_only,2022,3,condition,0.42750632762908936,adhd_concept,1754,206,913,622,586
ADHD,clinical_only,2022,4,child,0.39877501130104065,adhd_concept,1754,504,913,622,586
ADHD,clinical_only,2022,5,treatment,0.3910811245441437,adhd_concept,1754,193,913,622,586
ADHD,clinical_only,2023,1,child,0.5626266598701477,adhd_concept,1380,459,739,473,444
ADHD,clinical_only,2023,2,disorder,0.4785105884075165,adhd_concept,1380,529,739,473,444
ADHD,clinical_only,2023,3,diagnose,0.4701724648475647,adhd_concept,1380,115,739,473,444
ADHD,clinical_only,2023,4,condition,0.43559733033180237,adhd_concept,1380,181,739,473,444
ADHD,clinical_only,2023,5,symptom,0.43199920654296875,adhd_concept,1380,193,739,473,444
ADHD,clinical_only,2024,1,disorder,0.5079110264778137,adhd_concept,1308,429,692,448,423
ADHD,clinical_only,2024,2,attention,0.4972086250782013,adhd_concept,1308,188,692,448,423
ADHD,clinical_only,2024,3,condition,0.4611242115497589,adhd_concept,1308,181,692,448,423
ADHD,clinical_only,2024,4,symptom,0.4265057444572449,adhd_concept,1308,194,692,448,423
ADHD,clinical_only,2024,5,option,0.4243902266025543,adhd_concept,1308,14,692,448,423
ADHD,clinical_only,2025,1,disorder,0.5007701516151428,adhd_concept,1067,342,570,375,359
ADHD,clinical_only,2025,2,condition,0.4560317099094391,adhd_concept,1067,168,570,375,359
ADHD,clinical_only,2025,3,symptom,0.43842825293540955,adhd_concept,1067,114,570,375,359
ADHD,clinical_only,2025,4,trick,0.4161950349807739,adhd_concept,1067,6,570,375,359
ADHD,clinical_only,2025,5,child,0.40805041790008545,adhd_concept,1067,269,570,375,359
ADHD,clinical_only,2026,1,disorder,0.5479761362075806,adhd_concept,442,138,268,168,156
ADHD,clinical_only,2026,2,autism_concept,0.43184566497802734,adhd_concept,442,72,268,168,156
ADHD,clinical_only,2026,3,use,0.4260233938694,adhd_concept,442,59,268,168,156
ADHD,clinical_only,2026,4,identify,0.42169031500816345,adhd_concept,442,14,268,168,156
ADHD,clinical_only,2026,5,child,0.42132991552352905,adhd_concept,442,114,268,168,156
ADHD,lived_only,2014,1,help,0.4852469563484192,adhd_concept,453,49,309,242,208
ADHD,lived_only,2014,2,tough,0.48519840836524963,adhd_concept,453,5,309,242,208
ADHD,lived_only,2014,3,etc,0.4657655656337738,adhd_concept,453,5,309,242,208
ADHD,lived_only,2014,4,dichotomy,0.4362734258174896,adhd_concept,453,5,309,242,208
ADHD,lived_only,2014,5,personally,0.43026575446128845,adhd_concept,453,6,309,242,208
ADHD,lived_only,2015,1,advice,0.5961962938308716,adhd_concept,346,7,214,167,149
ADHD,lived_only,2015,2,single,0.5502714514732361,adhd_concept,346,5,214,167,149
ADHD,lived_only,2015,3,diagnose,0.5383179783821106,adhd_concept,346,20,214,167,149
ADHD,lived_only,2015,4,expert,0.5374497771263123,adhd_concept,346,11,214,167,149
ADHD,lived_only,2015,5,mention,0.5338055491447449,adhd_concept,346,5,214,167,149
ADHD,lived_only,2016,1,child,0.5632206797599792,adhd_concept,475,107,307,243,227
ADHD,lived_only,2016,2,people,0.5298190116882324,adhd_concept,475,57,307,243,227
ADHD,lived_only,2016,3,think,0.49467208981513977,adhd_concept,475,43,307,243,227
ADHD,lived_only,2016,4,age,0.47669947147369385,adhd_concept,475,10,307,243,227
ADHD,lived_only,2016,5,grow,0.4701746702194214,adhd_concept,475,13,307,243,227
ADHD,lived_only,2017,1,addition,0.5488557815551758,adhd_concept,436,6,303,241,223
ADHD,lived_only,2017,2,journey,0.512091338634491,adhd_concept,436,5,303,241,223
ADHD,lived_only,2017,3,husband,0.49938806891441345,adhd_concept,436,7,303,241,223
ADHD,lived_only,2017,4,complicated,0.4934805631637573,adhd_concept,436,6,303,241,223
ADHD,lived_only,2017,5,adult,0.4911274313926697,adhd_concept,436,20,303,241,223
ADHD,lived_only,2018,1,appear,0.47635191679000854,adhd_concept,391,5,268,215,200
ADHD,lived_only,2018,2,carer,0.4656996726989746,adhd_concept,391,5,268,215,200
ADHD,lived_only,2018,3,today,0.4654185175895691,adhd_concept,391,10,268,215,200
ADHD,lived_only,2018,4,parent,0.4560863971710205,adhd_concept,391,65,268,215,200
ADHD,lived_only,2018,5,lou,0.45490288734436035,adhd_concept,391,6,268,215,200
ADHD,lived_only,2019,1,like,0.5207895040512085,adhd_concept,456,51,298,222,205
ADHD,lived_only,2019,2,myth,0.45884472131729126,adhd_concept,456,8,298,222,205
ADHD,lived_only,2019,3,stay,0.4505886137485504,adhd_concept,456,13,298,222,205
ADHD,lived_only,2019,4,hyperactivity,0.4427673816680908,adhd_concept,456,8,298,222,205
ADHD,lived_only,2019,5,link,0.43944430351257324,adhd_concept,456,7,298,222,205
ADHD,lived_only,2020,1,esteem,0.5020370483398438,adhd_concept,465,8,311,239,226
ADHD,lived_only,2020,2,child,0.4936881363391876,adhd_concept,465,118,311,239,226
ADHD,lived_only,2020,3,shy,0.4929279088973999,adhd_concept,465,6,311,239,226
