analysis_unit,frame_stratum,lsc_year,neighbour,cosine_similarity,target_token,target_token_count,neighbour_token_count,annual_top5_rank,plot_order
ADHD,clinical_only,2014,disorder,0.5601752996444702,adhd_concept,2619,869,1.0,1
ADHD,clinical_only,2015,disorder,0.5436158180236816,adhd_concept,2307,820,2.0,1
ADHD,clinical_only,2016,disorder,0.486146479845047,adhd_concept,2202,797,1.0,1
ADHD,clinical_only,2017,disorder,0.5576096773147583,adhd_concept,2009,770,1.0,1
ADHD,clinical_only,2018,disorder,0.594584047794342,adhd_concept,2124,768,1.0,1
ADHD,clinical_only,2019,disorder,0.5155662298202515,adhd_concept,1926,610,1.0,1
ADHD,clinical_only,2020,disorder,0.509585976600647,adhd_concept,1761,590,1.0,1
ADHD,clinical_only,2021,disorder,0.513603150844574,adhd_concept,1674,616,1.0,1
ADHD,clinical_only,2022,disorder,0.45153549313545227,adhd_concept,1754,546,1.0,1
ADHD,clinical_only,2023,disorder,0.4785105884075165,adhd_concept,1380,529,2.0,1
ADHD,clinical_only,2024,disorder,0.5079110264778137,adhd_concept,1308,429,1.0,1
ADHD,clinical_only,2025,disorder,0.5007701516151428,adhd_concept,1067,342,1.0,1
ADHD,clinical_only,2026,disorder,0.5479761362075806,adhd_concept,442,138,1.0,1
ADHD,clinical_only,2014,child,0.494117796421051,adhd_concept,2619,969,2.0,2
ADHD,clinical_only,2015,child,0.5508770942687988,adhd_concept,2307,801,1.0,2
ADHD,clinical_only,2016,child,0.4431462287902832,adhd_concept,2202,741,2.0,2
ADHD,clinical_only,2017,child,0.4752487540245056,adhd_concept,2009,676,2.0,2
ADHD,clinical_only,2018,child,0.49985942244529724,adhd_concept,2124,722,2.0,2
ADHD,clinical_only,2019,child,0.4746040999889374,adhd_concept,1926,642,2.0,2
ADHD,clinical_only,2020,child,0.4914837181568146,adhd_concept,1761,635,2.0,2
ADHD,clinical_only,2021,child,0.4328065812587738,adhd_concept,1674,603,2.0,2
ADHD,clinical_only,2022,child,0.39877501130104065,adhd_concept,1754,504,4.0,2
ADHD,clinical_only,2023,child,0.5626266598701477,adhd_concept,1380,459,1.0,2
ADHD,clinical_only,2024,child,0.4014870524406433,adhd_concept,1308,357,,2
ADHD,clinical_only,2025,child,0.40805041790008545,adhd_concept,1067,269,5.0,2
ADHD,clinical_only,2026,child,0.42132991552352905,adhd_concept,442,114,5.0,2
ADHD,clinical_only,2014,condition,0.47916293144226074,adhd_concept,2619,210,3.0,3
ADHD,clinical_only,2015,condition,0.3580053448677063,adhd_concept,2307,190,,3
ADHD,clinical_only,2016,condition,0.389931321144104,adhd_concept,2202,189,4.0,3
ADHD,clinical_only,2017,condition,0.3850570619106293,adhd_concept,2009,178,,3
ADHD,clinical_only,2018,condition,0.3888922929763794,adhd_concept,2124,196,,3
ADHD,clinical_only,2019,condition,0.3499513268470764,adhd_concept,1926,188,,3
ADHD,clinical_only,2020,condition,0.37120839953422546,adhd_concept,1761,145,,3
ADHD,clinical_only,2021,condition,0.39016488194465637,adhd_concept,1674,160,5.0,3
ADHD,clinical_only,2022,condition,0.42750632762908936,adhd_concept,1754,206,3.0,3
ADHD,clinical_only,2023,condition,0.43559733033180237,adhd_concept,1380,181,4.0,3
ADHD,clinical_only,2024,condition,0.4611242115497589,adhd_concept,1308,181,3.0,3
ADHD,clinical_only,2025,condition,0.4560317099094391,adhd_concept,1067,168,2.0,3
ADHD,clinical_only,2026,condition,0.4139370620250702,adhd_concept,442,63,,3
ADHD,clinical_only,2014,symptom,0.32494401931762695,adhd_concept,2619,226,,4
ADHD,clinical_only,2015,symptom,0.33532190322875977,adhd_concept,2307,273,,4
ADHD,clinical_only,2016,symptom,0.3447689712047577,adhd_concept,2202,231,,4
ADHD,clinical_only,2017,symptom,0.40419381856918335,adhd_concept,2009,246,4.0,4
ADHD,clinical_only,2018,symptom,0.39748522639274597,adhd_concept,2124,279,,4
ADHD,clinical_only,2019,symptom,0.3753378689289093,adhd_concept,1926,235,5.0,4
ADHD,clinical_only,2020,symptom,0.38880446553230286,adhd_concept,1761,213,,4
ADHD,clinical_only,2021,symptom,0.3994484543800354,adhd_concept,1674,234,4.0,4
ADHD,clinical_only,2022,symptom,0.4331289231777191,adhd_concept,1754,251,2.0,4
ADHD,clinical_only,2023,symptom,0.43199920654296875,adhd_concept,1380,193,5.0,4
ADHD,clinical_only,2024,symptom,0.4265057444572449,adhd_concept,1308,194,4.0,4
ADHD,clinical_only,2025,symptom,0.43842825293540955,adhd_concept,1067,114,3.0,4
ADHD,clinical_only,2026,symptom,0.31523823738098145,adhd_concept,442,40,,4
ADHD,clinical_only,2014,diagnose,0.4403765797615051,adhd_concept,2619,202,,5
ADHD,clinical_only,2015,diagnose,0.4207106828689575,adhd_concept,2307,240,3.0,5
ADHD,clinical_only,2016,diagnose,0.37069299817085266,adhd_concept,2202,136,,5
ADHD,clinical_only,2017,diagnose,0.3493638038635254,adhd_concept,2009,156,,5
ADHD,clinical_only,2018,diagnose,0.3204376697540283,adhd_concept,2124,143,,5
ADHD,clinical_only,2019,diagnose,0.37998098134994507,adhd_concept,1926,103,4.0,5
ADHD,clinical_only,2020,diagnose,0.30802205204963684,adhd_concept,1761,116,,5
ADHD,clinical_only,2021,diagnose,0.35922688245773315,adhd_concept,1674,119,,5
ADHD,clinical_only,2022,diagnose,0.3424774408340454,adhd_concept,1754,109,,5
ADHD,clinical_only,2023,diagnose,0.4701724648475647,adhd_concept,1380,115,3.0,5
ADHD,clinical_only,2024,diagnose,0.3737708628177643,adhd_concept,1308,71,,5
ADHD,clinical_only,2025,diagnose,0.38328349590301514,adhd_concept,1067,37,,5
ADHD,clinical_only,2026,diagnose,0.40097445249557495,adhd_concept,442,34,,5
ADHD,lived_only,2014,help,0.4852469563484192,adhd_concept,453,49,1.0,1
