analysis_unit,frame_stratum,plot_order,neighbour,years_seen_in_top5,finite_similarity_years,mean_top_similarity,best_rank,first_top_year,last_top_year
ADHD,clinical_only,1,disorder,13,13,0.520583851979329,1,2014,2026
ADHD,clinical_only,2,child,12,13,0.4710771416624387,1,2014,2026
ADHD,clinical_only,3,condition,7,13,0.434216959135873,2,2014,2025
ADHD,clinical_only,4,symptom,7,13,0.41557746699878145,2,2017,2025
ADHD,clinical_only,5,diagnose,3,13,0.4236213763554891,3,2015,2023
ADHD,lived_only,1,help,4,13,0.4930029511451721,1,2014,2026
ADHD,lived_only,2,child,2,13,0.5284544080495834,1,2016,2020
ADHD,lived_only,3,diagnose,2,13,0.4998145252466202,3,2015,2022
ADHD,substantive_core_overall,1,child,12,13,0.5172873040040334,1,2014,2026
ADHD,substantive_core_overall,2,disorder,12,13,0.5167186409235001,1,2014,2026
ADHD,substantive_core_overall,3,symptom,8,13,0.4624745845794678,1,2015,2025
ADHD,substantive_core_overall,4,diagnose,4,13,0.43805568665266037,3,2014,2024
ADHD,substantive_core_overall,5,condition,4,13,0.4333479776978493,4,2014,2023
Autism,clinical_only,1,child,13,13,0.6347121321238004,1,2014,2026
Autism,clinical_only,2,disorder,13,13,0.5190876997434176,2,2014,2026
Autism,clinical_only,3,research,8,13,0.4368194118142128,2,2015,2026
Autism,clinical_only,4,study,3,13,0.4501814842224121,3,2015,2024
Autism,clinical_only,5,developmental,3,13,0.42951713999112445,2,2014,2023
Autism,lived_only,1,people,13,13,0.4546475891883557,1,2014,2026
Autism,lived_only,2,child,10,13,0.4539140105247498,1,2014,2025
Autism,lived_only,3,support,5,13,0.3735509514808655,3,2015,2023
Autism,lived_only,4,life,2,13,0.3946388065814972,2,2022,2024
Autism,lived_only,5,family,2,13,0.3817002922296524,2,2017,2026
Autism,substantive_core_overall,1,child,13,13,0.66811826137396,1,2014,2026
Autism,substantive_core_overall,2,people,11,13,0.5254346132278442,2,2015,2026
Autism,substantive_core_overall,3,disorder,9,13,0.5220837626192305,2,2014,2024
Autism,substantive_core_overall,4,year,6,13,0.4872435877720515,4,2014,2022
Autism,substantive_core_overall,5,help,5,13,0.4866101503372192,2,2015,2023
