track,year,batch_count,wet_records_scanned,wet_validated_hits,warc_validated_hits,final_documents,target_documents,adhd_documents,autism_documents
trend,2014,1,2654179,16265,7241,,,,
trend,2015,1,2595430,13908,6128,,,,
trend,2016,1,2842421,22248,10439,,,,
trend,2017,1,2215705,13306,5986,,,,
trend,2018,1,2346807,13893,6164,,,,
trend,2019,1,2187679,14115,6924,,,,
trend,2020,1,2509938,16252,6913,,,,
trend,2021,1,2415283,15702,7120,,,,
trend,2022,1,2111324,13223,5984,,,,
trend,2023,1,1899490,10597,4932,,,,
trend,2024,1,1512381,8186,3954,,,,
trend,2025,1,1342864,7664,3722,,,,
trend,2026,1,1068574,6474,3392,,,,
corpus,2014,1,2752682,16935,7654,4020,1135,376,895
corpus,2015,1,2747625,14937,6826,3566,952,276,768
corpus,2016,1,2926997,22733,10908,5803,1273,371,1022
corpus,2017,1,2218484,13245,6025,3122,856,287,675
corpus,2018,1,2371677,13796,6219,3178,751,242,595
corpus,2019,1,2189497,14159,6800,3538,1043,396,834
corpus,2020,1,2508726,16864,7249,3669,971,375,762
corpus,2021,1,2425330,15674,6973,3637,886,323,708
corpus,2022,1,2110040,13428,6125,3339,814,330,595
corpus,2023,1,1904226,10933,5235,2877,755,310,542
corpus,2024,1,1515131,8163,3913,2216,534,223,381
corpus,2025,1,1342156,7494,3758,2086,610,199,482
corpus,2026,1,1067320,6513,3454,1924,418,199,299
