analysis_unit,lsc_year,documents,clear_frame_contexts,observed_lived_share,bootstrap_repetitions,bootstrap_unit,lived_share_bootstrap_mean,lived_share_ci_low,lived_share_ci_high
ADHD,2014,1829,1596,0.19423558897243107,500,doc_id,0.1940476682756635,0.17090344837975868,0.21705946189613576
ADHD,2015,1479,1419,0.1522198731501057,500,doc_id,0.15272095746836914,0.12966179223658994,0.17478576838207793
ADHD,2016,1796,1458,0.21193415637860083,500,doc_id,0.21260475922755845,0.18854482743952586,0.23711722166039767
ADHD,2017,1665,1402,0.2161198288159772,500,doc_id,0.21650113578679547,0.18998419047581175,0.2434219232810013
ADHD,2018,1756,1451,0.18538938662991042,500,doc_id,0.18589988612267896,0.1619331305347788,0.21244555789274655
ADHD,2019,1511,1299,0.23017705927636645,500,doc_id,0.23013827087620065,0.2033497294952279,0.25982771653684184
ADHD,2020,1560,1271,0.24547600314712825,500,doc_id,0.24449798881826554,0.21580182409357682,0.2731666600911368
ADHD,2021,1595,1227,0.2436837815810921,500,doc_id,0.24384264628162378,0.21497771268715543,0.272917106964822
ADHD,2022,1491,1286,0.27682737169517885,500,doc_id,0.2766761052118702,0.24620735197080038,0.30930118461959955
ADHD,2023,1182,1049,0.28503336510962823,500,doc_id,0.28453689175942526,0.24823904471295924,0.3218452143353002
ADHD,2024,1085,1017,0.3077679449360865,500,doc_id,0.30959878633616567,0.272983798379838,0.3483144352604525
ADHD,2025,1054,794,0.27204030226700254,500,doc_id,0.2711344008968996,0.2308562819822246,0.3128651006513602
ADHD,2026,435,380,0.2868421052631579,500,doc_id,0.2857702987069431,0.228032629756359,0.3472036192647478
Autism,2014,4756,4153,0.3137490970382856,500,doc_id,0.3132362993791211,0.2940974888554897,0.3318579224338834
Autism,2015,3825,3138,0.33620140216698535,500,doc_id,0.33560491369385115,0.3141678538833115,0.3560646356458028
Autism,2016,4316,3542,0.385940146809712,500,doc_id,0.3855090486716292,0.3662662792229721,0.4047550983442112
Autism,2017,4152,3352,0.4081145584725537,500,doc_id,0.4089682832707362,0.3877860860162611,0.430133780590398
Autism,2018,3974,3198,0.3874296435272045,500,doc_id,0.38682771498627266,0.36563932165464097,0.4079141979340259
Autism,2019,3526,2908,0.4095598349381018,500,doc_id,0.4090223071443776,0.3815488314034286,0.434184245274097
Autism,2020,3266,2596,0.4098613251155624,500,doc_id,0.4094782915263247,0.38753892691862707,0.43186517981499856
Autism,2021,3041,2407,0.4129621936019942,500,doc_id,0.41241005317094687,0.3877671100362757,0.43893173493081794
Autism,2022,2554,2086,0.4367209971236817,500,doc_id,0.4358992111131354,0.4072123370531445,0.4660797416611545
Autism,2023,2072,1779,0.38617200674536256,500,doc_id,0.384981117479,0.3565452271608988,0.41487233644401084
Autism,2024,1867,1551,0.4197292069632495,500,doc_id,0.41874482749865555,0.3862743625973252,0.45129957586427655
Autism,2025,3105,1790,0.41675977653631285,500,doc_id,0.4162950461873594,0.3885785087978271,0.4459789506163501
Autism,2026,711,632,0.39556962025316456,500,doc_id,0.3958704017280573,0.3496386433889155,0.4450697403124366
