lsc_year,analysis_unit,predicted_derived_frame,contexts,unit_year_total_contexts,pct_within_unit_year,clear_frame_contexts,pct_within_clear_frames,share_ci_low,share_ci_high,fitted_share,bootstrap_repetitions,bootstrap_unit
2014,ADHD,clinical_only,1286,3118,0.4124438742783836,1596,0.8057644110275689,0.7829405381038642,0.8290965516202413,0.824938150835894,500,doc_id
2014,ADHD,lived_only,310,3118,0.09942270686337396,1596,0.19423558897243107,0.17090344837975868,0.21705946189613576,0.17506184916410605,500,doc_id
2015,ADHD,clinical_only,1203,2344,0.5132252559726962,1419,0.8477801268498943,0.8252142316179221,0.8703382077634101,0.8142722184244928,500,doc_id
2015,ADHD,lived_only,216,2344,0.09215017064846416,1419,0.1522198731501057,0.12966179223658994,0.17478576838207793,0.18572778157550718,500,doc_id
2016,ADHD,clinical_only,1149,2682,0.42841163310961966,1458,0.7880658436213992,0.7628827783396024,0.8114551725604742,0.8036062860130917,500,doc_id
2016,ADHD,lived_only,309,2682,0.11521252796420582,1458,0.21193415637860083,0.18854482743952586,0.23711722166039767,0.1963937139869083,500,doc_id
2017,ADHD,clinical_only,1099,2520,0.4361111111111111,1402,0.7838801711840229,0.7565780767189987,0.8100158095241883,0.7929403536016906,500,doc_id
2017,ADHD,lived_only,303,2520,0.12023809523809524,1402,0.2161198288159772,0.18998419047581175,0.2434219232810013,0.20705964639830943,500,doc_id
2018,ADHD,clinical_only,1182,2702,0.4374537379718727,1451,0.8146106133700896,0.7875544421072534,0.8380668694652211,0.7822744211902894,500,doc_id
2018,ADHD,lived_only,269,2702,0.0995558845299778,1451,0.18538938662991042,0.1619331305347788,0.21244555789274655,0.21772557880971052,500,doc_id
2019,ADHD,clinical_only,1000,2298,0.4351610095735422,1299,0.7698229407236336,0.7401722834631581,0.7966502705047721,0.7716084887788883,500,doc_id
2019,ADHD,lived_only,299,2298,0.13011314186248912,1299,0.23017705927636645,0.2033497294952279,0.25982771653684184,0.22839151122111165,500,doc_id
2020,ADHD,clinical_only,959,2325,0.4124731182795699,1271,0.7545239968528717,0.7268333399088631,0.7841981759064232,0.7609425563674872,500,doc_id
2020,ADHD,lived_only,312,2325,0.13419354838709677,1271,0.24547600314712825,0.21580182409357682,0.2731666600911368,0.23905744363251277,500,doc_id
2021,ADHD,clinical_only,928,2362,0.392887383573243,1227,0.756316218418908,0.727082893035178,0.7850222873128445,0.7502766239560861,500,doc_id
2021,ADHD,lived_only,299,2362,0.12658763759525826,1227,0.2436837815810921,0.21497771268715543,0.272917106964822,0.2497233760439139,500,doc_id
2022,ADHD,clinical_only,930,2344,0.3967576791808874,1286,0.7231726283048211,0.6906988153804005,0.7537926480291997,0.739610691544685,500,doc_id
2022,ADHD,lived_only,356,2344,0.15187713310580206,1286,0.27682737169517885,0.24620735197080038,0.30930118461959955,0.260389308455315,500,doc_id
2023,ADHD,clinical_only,750,1902,0.3943217665615142,1049,0.7149666348903718,0.6781547856646998,0.7517609552870408,0.7289447591332838,500,doc_id
2023,ADHD,lived_only,299,1902,0.15720294426919032,1049,0.28503336510962823,0.24823904471295924,0.3218452143353002,0.2710552408667161,500,doc_id
2024,ADHD,clinical_only,704,1738,0.4050632911392405,1017,0.6922320550639135,0.6516855647395474,0.727016201620162,0.7182788267218827,500,doc_id
2024,ADHD,lived_only,313,1738,0.18009205983889529,1017,0.3077679449360865,0.272983798379838,0.3483144352604525,0.28172117327811724,500,doc_id
2025,ADHD,clinical_only,578,1575,0.36698412698412697,794,0.7279596977329975,0.6871348993486398,0.7691437180177754,0.7076128943104816,500,doc_id
2025,ADHD,lived_only,216,1575,0.13714285714285715,794,0.27204030226700254,0.2308562819822246,0.3128651006513602,0.29238710568951837,500,doc_id
2026,ADHD,clinical_only,271,701,0.38659058487874465,380,0.7131578947368421,0.6527963807352521,0.771967370243641,0.6969469618990805,500,doc_id
2026,ADHD,lived_only,109,701,0.15549215406562053,380,0.2868421052631579,0.228032629756359,0.3472036192647478,0.3030530381009195,500,doc_id
2014,Autism,clinical_only,2850,8283,0.3440782325244477,4153,0.6862509029617144,0.6681420775661167,0.7059025111445103,0.6413593112333056,500,doc_id
2014,Autism,lived_only,1303,8283,0.15731015332608958,4153,0.3137490970382856,0.2940974888554897,0.3318579224338834,0.35864068876669436,500,doc_id
2015,Autism,clinical_only,2083,6459,0.32249574237498063,3138,0.6637985978330146,0.6439353643541972,0.6858321461166885,0.6355075053958038,500,doc_id
2015,Autism,lived_only,1055,6459,0.16333797801517264,3138,0.33620140216698535,0.3141678538833115,0.3560646356458028,0.3644924946041962,500,doc_id
2016,Autism,clinical_only,2175,7255,0.2997932460372157,3542,0.614059853190288,0.5952449016557888,0.6337337207770279,0.6296556995583019,500,doc_id
2016,Autism,lived_only,1367,7255,0.18842177808407995,3542,0.385940146809712,0.3662662792229721,0.4047550983442112,0.3703443004416981,500,doc_id
2017,Autism,clinical_only,1984,7021,0.2825808289417462,3352,0.5918854415274463,0.569866219409602,0.6122139139837389,0.6238038937208001,500,doc_id
