lsc_year,analysis_unit,predicted_derived_frame,contexts,unit_year_total_contexts,pct_within_unit_year
2014,ADHD,clinical_only,1286,3118,0.4124438742783836
2014,ADHD,lived_only,310,3118,0.09942270686337396
2014,ADHD,mixed,183,3118,0.058691468890314305
2014,ADHD,non_substantive_or_insufficient,1284,3118,0.4118024374599102
2014,ADHD,substantive_other,55,3118,0.01763951250801796
2015,ADHD,clinical_only,1203,2344,0.5132252559726962
2015,ADHD,lived_only,216,2344,0.09215017064846416
2015,ADHD,mixed,128,2344,0.05460750853242321
2015,ADHD,non_substantive_or_insufficient,733,2344,0.3127133105802048
2015,ADHD,substantive_other,64,2344,0.027303754266211604
2016,ADHD,clinical_only,1149,2682,0.42841163310961966
2016,ADHD,lived_only,309,2682,0.11521252796420582
2016,ADHD,mixed,182,2682,0.06785980611483967
2016,ADHD,non_substantive_or_insufficient,978,2682,0.36465324384787473
2016,ADHD,substantive_other,64,2682,0.023862788963460103
2017,ADHD,clinical_only,1099,2520,0.4361111111111111
2017,ADHD,lived_only,303,2520,0.12023809523809524
2017,ADHD,mixed,187,2520,0.0742063492063492
2017,ADHD,non_substantive_or_insufficient,849,2520,0.33690476190476193
2017,ADHD,substantive_other,82,2520,0.03253968253968254
2018,ADHD,clinical_only,1182,2702,0.4374537379718727
2018,ADHD,lived_only,269,2702,0.0995558845299778
2018,ADHD,mixed,182,2702,0.06735751295336788
2018,ADHD,non_substantive_or_insufficient,985,2702,0.36454478164322723
2018,ADHD,substantive_other,84,2702,0.031088082901554404
2019,ADHD,clinical_only,1000,2298,0.4351610095735422
2019,ADHD,lived_only,299,2298,0.13011314186248912
2019,ADHD,mixed,142,2298,0.06179286335944299
2019,ADHD,non_substantive_or_insufficient,791,2298,0.3442123585726719
2019,ADHD,substantive_other,66,2298,0.028720626631853787
2020,ADHD,clinical_only,959,2325,0.4124731182795699
2020,ADHD,lived_only,312,2325,0.13419354838709677
2020,ADHD,mixed,156,2325,0.06709677419354838
2020,ADHD,non_substantive_or_insufficient,825,2325,0.3548387096774194
2020,ADHD,substantive_other,73,2325,0.03139784946236559
2021,ADHD,clinical_only,928,2362,0.392887383573243
2021,ADHD,lived_only,299,2362,0.12658763759525826
2021,ADHD,mixed,180,2362,0.07620660457239628
2021,ADHD,non_substantive_or_insufficient,908,2362,0.384419983065199
2021,ADHD,substantive_other,47,2362,0.01989839119390347
2022,ADHD,clinical_only,930,2344,0.3967576791808874
2022,ADHD,lived_only,356,2344,0.15187713310580206
2022,ADHD,mixed,193,2344,0.08233788395904437
2022,ADHD,non_substantive_or_insufficient,807,2344,0.34428327645051193
2022,ADHD,substantive_other,58,2344,0.024744027303754267
2023,ADHD,clinical_only,750,1902,0.3943217665615142
2023,ADHD,lived_only,299,1902,0.15720294426919032
2023,ADHD,mixed,159,1902,0.083596214511041
2023,ADHD,non_substantive_or_insufficient,659,1902,0.34647739221871715
2023,ADHD,substantive_other,35,1902,0.01840168243953733
2024,ADHD,clinical_only,704,1738,0.4050632911392405
2024,ADHD,lived_only,313,1738,0.18009205983889529
2024,ADHD,mixed,154,1738,0.08860759493670886
2024,ADHD,non_substantive_or_insufficient,526,1738,0.30264672036823936
2024,ADHD,substantive_other,41,1738,0.023590333716915997
2025,ADHD,clinical_only,578,1575,0.36698412698412697
2025,ADHD,lived_only,216,1575,0.13714285714285715
2025,ADHD,mixed,110,1575,0.06984126984126984
2025,ADHD,non_substantive_or_insufficient,640,1575,0.40634920634920635
2025,ADHD,substantive_other,31,1575,0.019682539682539683
2026,ADHD,clinical_only,271,701,0.38659058487874465
2026,ADHD,lived_only,109,701,0.15549215406562053
2026,ADHD,mixed,44,701,0.06276747503566334
2026,ADHD,non_substantive_or_insufficient,257,701,0.3666191155492154
2026,ADHD,substantive_other,20,701,0.028530670470756064
2014,Autism,clinical_only,2850,8283,0.3440782325244477
2014,Autism,lived_only,1303,8283,0.15731015332608958
2014,Autism,mixed,660,8283,0.0796812749003984
2014,Autism,non_substantive_or_insufficient,3221,8283,0.3888687673548231
2014,Autism,substantive_other,249,8283,0.030061571894241218
2015,Autism,clinical_only,2083,6459,0.32249574237498063
2015,Autism,lived_only,1055,6459,0.16333797801517264
2015,Autism,mixed,539,6459,0.08344945037931568
2015,Autism,non_substantive_or_insufficient,2569,6459,0.3977395881715436
2015,Autism,substantive_other,213,6459,0.03297724105898746
2016,Autism,clinical_only,2175,7255,0.2997932460372157
2016,Autism,lived_only,1367,7255,0.18842177808407995
2016,Autism,mixed,678,7255,0.09345279117849759
2016,Autism,non_substantive_or_insufficient,2760,7255,0.3804272915230875
2016,Autism,substantive_other,275,7255,0.03790489317711923
2017,Autism,clinical_only,1984,7021,0.2825808289417462
2017,Autism,lived_only,1368,7021,0.1948440393106395
2017,Autism,mixed,627,7021,0.08930351801737645
2017,Autism,non_substantive_or_insufficient,2761,7021,0.3932488249537103
2017,Autism,substantive_other,281,7021,0.04002278877652756
2018,Autism,clinical_only,1959,6522,0.3003679852805888
2018,Autism,lived_only,1239,6522,0.18997240110395583
2018,Autism,mixed,620,6522,0.09506286415210058
2018,Autism,non_substantive_or_insufficient,2505,6522,0.3840846366145354
2018,Autism,substantive_other,199,6522,0.03051211284881938
2019,Autism,clinical_only,1717,5829,0.29456167438668723
2019,Autism,lived_only,1191,5829,0.20432321152856409
2019,Autism,mixed,546,5829,0.09366958311888832
2019,Autism,non_substantive_or_insufficient,2161,5829,0.37073254417567336
2019,Autism,substantive_other,214,5829,0.036712986790186995
2020,Autism,clinical_only,1532,5302,0.2889475669558657
2020,Autism,lived_only,1064,5302,0.2006789890607318
2020,Autism,mixed,525,5302,0.0990192380233874
2020,Autism,non_substantive_or_insufficient,2022,5302,0.3813655224443606
2020,Autism,substantive_other,159,5302,0.02998868351565447
2021,Autism,clinical_only,1413,5014,0.2818109293976865
2021,Autism,lived_only,994,5014,0.19824491424012763
2021,Autism,mixed,551,5014,0.1098923015556442
2021,Autism,non_substantive_or_insufficient,1897,5014,0.37834064619066615
2021,Autism,substantive_other,159,5014,0.03171120861587555
2022,Autism,clinical_only,1175,4182,0.2809660449545672
2022,Autism,lived_only,911,4182,0.21783835485413677
2022,Autism,mixed,421,4182,0.10066953610712577
2022,Autism,non_substantive_or_insufficient,1525,4182,0.36465805834528936
2022,Autism,substantive_other,150,4182,0.035868005738880916
2023,Autism,clinical_only,1092,3507,0.31137724550898205
2023,Autism,lived_only,687,3507,0.1958939264328486
2023,Autism,mixed,372,3507,0.10607356715141146
2023,Autism,non_substantive_or_insufficient,1254,3507,0.3575705731394354
2023,Autism,substantive_other,102,3507,0.0290846877673225
2024,Autism,clinical_only,900,3138,0.28680688336520077
2024,Autism,lived_only,651,3138,0.2074569789674952
2024,Autism,mixed,315,3138,0.10038240917782026
2024,Autism,non_substantive_or_insufficient,1150,3138,0.36647546207775655
2024,Autism,substantive_other,122,3138,0.038878266411727216
2025,Autism,clinical_only,1044,4519,0.23102456295640628
2025,Autism,lived_only,746,4519,0.16508077008187652
2025,Autism,mixed,357,4519,0.07899977871210445
2025,Autism,non_substantive_or_insufficient,2259,4519,0.49988935605222395
2025,Autism,substantive_other,113,4519,0.025005532197388804
2026,Autism,clinical_only,382,1222,0.31260229132569556
2026,Autism,lived_only,250,1222,0.20458265139116202
2026,Autism,mixed,120,1222,0.09819967266775777
2026,Autism,non_substantive_or_insufficient,429,1222,0.35106382978723405
2026,Autism,substantive_other,41,1222,0.03355155482815057
