lsc_year,analysis_unit,predicted_derived_frame,contexts,unit_year_total_contexts,pct_within_unit_year,display_total_contexts,pct_within_displayed_frames
2014,ADHD,clinical_only,1286,3118,0.4124438742783836,3063,0.4198498204374796
2014,ADHD,lived_only,310,3118,0.09942270686337396,3063,0.10120796604635977
2014,ADHD,mixed,183,3118,0.058691468890314305,3063,0.059745347698334964
2014,ADHD,non_substantive_or_insufficient,1284,3118,0.4118024374599102,3063,0.41919686581782567
2015,ADHD,clinical_only,1203,2344,0.5132252559726962,2280,0.5276315789473685
2015,ADHD,lived_only,216,2344,0.09215017064846416,2280,0.09473684210526316
2015,ADHD,mixed,128,2344,0.05460750853242321,2280,0.056140350877192984
2015,ADHD,non_substantive_or_insufficient,733,2344,0.3127133105802048,2280,0.32149122807017544
2016,ADHD,clinical_only,1149,2682,0.42841163310961966,2618,0.43888464476699773
2016,ADHD,lived_only,309,2682,0.11521252796420582,2618,0.11802902979373568
2016,ADHD,mixed,182,2682,0.06785980611483967,2618,0.06951871657754011
2016,ADHD,non_substantive_or_insufficient,978,2682,0.36465324384787473,2618,0.3735676088617265
2017,ADHD,clinical_only,1099,2520,0.4361111111111111,2438,0.45077932731747333
2017,ADHD,lived_only,303,2520,0.12023809523809524,2438,0.12428219852337982
2017,ADHD,mixed,187,2520,0.0742063492063492,2438,0.07670221493027071
2017,ADHD,non_substantive_or_insufficient,849,2520,0.33690476190476193,2438,0.34823625922887613
2018,ADHD,clinical_only,1182,2702,0.4374537379718727,2618,0.4514896867838044
2018,ADHD,lived_only,269,2702,0.0995558845299778,2618,0.1027501909854851
2018,ADHD,mixed,182,2702,0.06735751295336788,2618,0.06951871657754011
2018,ADHD,non_substantive_or_insufficient,985,2702,0.36454478164322723,2618,0.3762414056531704
2019,ADHD,clinical_only,1000,2298,0.4351610095735422,2232,0.44802867383512546
2019,ADHD,lived_only,299,2298,0.13011314186248912,2232,0.1339605734767025
2019,ADHD,mixed,142,2298,0.06179286335944299,2232,0.06362007168458782
2019,ADHD,non_substantive_or_insufficient,791,2298,0.3442123585726719,2232,0.35439068100358423
2020,ADHD,clinical_only,959,2325,0.4124731182795699,2252,0.4258436944937833
2020,ADHD,lived_only,312,2325,0.13419354838709677,2252,0.13854351687388988
2020,ADHD,mixed,156,2325,0.06709677419354838,2252,0.06927175843694494
2020,ADHD,non_substantive_or_insufficient,825,2325,0.3548387096774194,2252,0.3663410301953819
2021,ADHD,clinical_only,928,2362,0.392887383573243,2315,0.4008639308855292
2021,ADHD,lived_only,299,2362,0.12658763759525826,2315,0.12915766738660908
2021,ADHD,mixed,180,2362,0.07620660457239628,2315,0.07775377969762419
2021,ADHD,non_substantive_or_insufficient,908,2362,0.384419983065199,2315,0.39222462203023756
2022,ADHD,clinical_only,930,2344,0.3967576791808874,2286,0.4068241469816273
2022,ADHD,lived_only,356,2344,0.15187713310580206,2286,0.1557305336832896
2022,ADHD,mixed,193,2344,0.08233788395904437,2286,0.08442694663167104
2022,ADHD,non_substantive_or_insufficient,807,2344,0.34428327645051193,2286,0.3530183727034121
2023,ADHD,clinical_only,750,1902,0.3943217665615142,1867,0.4017139796464917
2023,ADHD,lived_only,299,1902,0.15720294426919032,1867,0.16014997321906801
2023,ADHD,mixed,159,1902,0.083596214511041,1867,0.08516336368505624
2023,ADHD,non_substantive_or_insufficient,659,1902,0.34647739221871715,1867,0.35297268344938404
2024,ADHD,clinical_only,704,1738,0.4050632911392405,1697,0.41484973482616383
2024,ADHD,lived_only,313,1738,0.18009205983889529,1697,0.18444313494401884
2024,ADHD,mixed,154,1738,0.08860759493670886,1697,0.09074837949322334
2024,ADHD,non_substantive_or_insufficient,526,1738,0.30264672036823936,1697,0.309958750736594
2025,ADHD,clinical_only,578,1575,0.36698412698412697,1544,0.3743523316062176
2025,ADHD,lived_only,216,1575,0.13714285714285715,1544,0.13989637305699482
2025,ADHD,mixed,110,1575,0.06984126984126984,1544,0.07124352331606218
2025,ADHD,non_substantive_or_insufficient,640,1575,0.40634920634920635,1544,0.41450777202072536
2026,ADHD,clinical_only,271,701,0.38659058487874465,681,0.39794419970631423
2026,ADHD,lived_only,109,701,0.15549215406562053,681,0.16005873715124816
2026,ADHD,mixed,44,701,0.06276747503566334,681,0.06461086637298091
2026,ADHD,non_substantive_or_insufficient,257,701,0.3666191155492154,681,0.37738619676945667
2014,Autism,clinical_only,2850,8283,0.3440782325244477,8034,0.3547423450336072
2014,Autism,lived_only,1303,8283,0.15731015332608958,8034,0.16218571072940005
2014,Autism,mixed,660,8283,0.0796812749003984,8034,0.08215085884988797
2014,Autism,non_substantive_or_insufficient,3221,8283,0.3888687673548231,8034,0.4009210853871048
2015,Autism,clinical_only,2083,6459,0.32249574237498063,6246,0.33349343579891133
2015,Autism,lived_only,1055,6459,0.16333797801517264,6246,0.16890810118475824
2015,Autism,mixed,539,6459,0.08344945037931568,6246,0.08629522894652578
2015,Autism,non_substantive_or_insufficient,2569,6459,0.3977395881715436,6246,0.4113032340698047
2016,Autism,clinical_only,2175,7255,0.2997932460372157,6980,0.3116045845272206
2016,Autism,lived_only,1367,7255,0.18842177808407995,6980,0.19584527220630374
2016,Autism,mixed,678,7255,0.09345279117849759,6980,0.09713467048710601
2016,Autism,non_substantive_or_insufficient,2760,7255,0.3804272915230875,6980,0.3954154727793696
2017,Autism,clinical_only,1984,7021,0.2825808289417462,6740,0.29436201780415433
2017,Autism,lived_only,1368,7021,0.1948440393106395,6740,0.2029673590504451
2017,Autism,mixed,627,7021,0.08930351801737645,6740,0.09302670623145401
2017,Autism,non_substantive_or_insufficient,2761,7021,0.3932488249537103,6740,0.4096439169139466
2018,Autism,clinical_only,1959,6522,0.3003679852805888,6323,0.3098212873635932
2018,Autism,lived_only,1239,6522,0.18997240110395583,6323,0.19595128894512098
2018,Autism,mixed,620,6522,0.09506286415210058,6323,0.0980547208603511
2018,Autism,non_substantive_or_insufficient,2505,6522,0.3840846366145354,6323,0.3961727028309347
2019,Autism,clinical_only,1717,5829,0.29456167438668723,5615,0.3057880676758682
2019,Autism,lived_only,1191,5829,0.20432321152856409,5615,0.21211041852181656
2019,Autism,mixed,546,5829,0.09366958311888832,5615,0.09723953695458593
2019,Autism,non_substantive_or_insufficient,2161,5829,0.37073254417567336,5615,0.38486197684772927
2020,Autism,clinical_only,1532,5302,0.2889475669558657,5143,0.297880614427377
2020,Autism,lived_only,1064,5302,0.2006789890607318,5143,0.2068831421349407
2020,Autism,mixed,525,5302,0.0990192380233874,5143,0.102080497763951
2020,Autism,non_substantive_or_insufficient,2022,5302,0.3813655224443606,5143,0.3931557456737313
2021,Autism,clinical_only,1413,5014,0.2818109293976865,4855,0.2910401647785788
2021,Autism,lived_only,994,5014,0.19824491424012763,4855,0.2047373841400618
2021,Autism,mixed,551,5014,0.1098923015556442,4855,0.11349124613800206
2021,Autism,non_substantive_or_insufficient,1897,5014,0.37834064619066615,4855,0.3907312049433574
2022,Autism,clinical_only,1175,4182,0.2809660449545672,4032,0.2914186507936508
2022,Autism,lived_only,911,4182,0.21783835485413677,4032,0.22594246031746032
2022,Autism,mixed,421,4182,0.10066953610712577,4032,0.10441468253968254
2022,Autism,non_substantive_or_insufficient,1525,4182,0.36465805834528936,4032,0.37822420634920634
2023,Autism,clinical_only,1092,3507,0.31137724550898205,3405,0.320704845814978
2023,Autism,lived_only,687,3507,0.1958939264328486,3405,0.20176211453744494
2023,Autism,mixed,372,3507,0.10607356715141146,3405,0.1092511013215859
2023,Autism,non_substantive_or_insufficient,1254,3507,0.3575705731394354,3405,0.3682819383259912
2024,Autism,clinical_only,900,3138,0.28680688336520077,3016,0.2984084880636605
2024,Autism,lived_only,651,3138,0.2074569789674952,3016,0.21584880636604775
2024,Autism,mixed,315,3138,0.10038240917782026,3016,0.10444297082228117
2024,Autism,non_substantive_or_insufficient,1150,3138,0.36647546207775655,3016,0.3812997347480106
2025,Autism,clinical_only,1044,4519,0.23102456295640628,4406,0.23694961416250568
2025,Autism,lived_only,746,4519,0.16508077008187652,4406,0.1693145710394916
2025,Autism,mixed,357,4519,0.07899977871210445,4406,0.08102587380844303
2025,Autism,non_substantive_or_insufficient,2259,4519,0.49988935605222395,4406,0.5127099409895597
2026,Autism,clinical_only,382,1222,0.31260229132569556,1181,0.32345469940728194
2026,Autism,lived_only,250,1222,0.20458265139116202,1181,0.21168501270110077
2026,Autism,mixed,120,1222,0.09819967266775777,1181,0.10160880609652836
2026,Autism,non_substantive_or_insufficient,429,1222,0.35106382978723405,1181,0.3632514817950889
