analysis_unit,lsc_year,human_clear_frames,human_lived_share,classifier_lived_share
ADHD,2014,104,0.1346153846153846,0.1134020618556701
ADHD,2015,69,0.14492753623188406,0.12121212121212122
ADHD,2016,76,0.17105263157894737,0.16666666666666666
ADHD,2017,70,0.24285714285714285,0.2647058823529412
ADHD,2018,74,0.16216216216216217,0.15714285714285714
ADHD,2019,60,0.25,0.2857142857142857
ADHD,2020,62,0.2903225806451613,0.3157894736842105
ADHD,2021,51,0.23529411764705882,0.25
ADHD,2022,57,0.2982456140350877,0.27450980392156865
ADHD,2023,99,0.26262626262626265,0.2916666666666667
ADHD,2024,108,0.3148148148148148,0.33962264150943394
ADHD,2025,80,0.275,0.2753623188405797
ADHD,2026,28,0.21428571428571427,0.26666666666666666
Autism,2014,74,0.3108108108108108,0.30985915492957744
Autism,2015,68,0.4264705882352941,0.3968253968253968
Autism,2016,66,0.3181818181818182,0.2542372881355932
Autism,2017,69,0.36231884057971014,0.373134328358209
Autism,2018,68,0.45588235294117646,0.43548387096774194
Autism,2019,70,0.4714285714285714,0.5
Autism,2020,50,0.26,0.24
Autism,2021,53,0.5283018867924528,0.5416666666666666
Autism,2022,52,0.40384615384615385,0.375
Autism,2023,89,0.3595505617977528,0.3625
Autism,2024,72,0.375,0.36923076923076925
Autism,2025,78,0.41025641025641024,0.40625
Autism,2026,25,0.56,0.6153846153846154
