analysis_unit,lsc_year,contexts,mean_p_lived,median_p_lived,mean_p_clinical,share_near_lived_boundary,mean_p_substantive
ADHD,2014,1834,0.27416174165686397,0.0019897235000000003,0.7966379504635283,0.020174482006543076,0.5929297434914897
ADHD,2015,1611,0.22113843703613997,0.0010641256,0.8164819976879601,0.0223463687150838,0.6713615933369776
ADHD,2016,1704,0.28942799263871516,0.00543544135,0.7760046901404782,0.018192488262910797,0.625333108569084
ADHD,2017,1671,0.2982700908199179,0.0056018415,0.7691644049998625,0.022740873728306403,0.6522988479017992
ADHD,2018,1717,0.26670264974676494,0.0036826113,0.7895861250552568,0.026208503203261502,0.627001803024129
ADHD,2019,1507,0.29187912229872615,0.0032530017,0.7586015199459453,0.0225613802256138,0.64096915077717
ADHD,2020,1500,0.3177430566787069,0.0120664285,0.740580414739709,0.022,0.6288293016088958
ADHD,2021,1454,0.3312802224880348,0.012214639,0.7552228260556105,0.028198074277854195,0.6097083826639554
ADHD,2022,1537,0.35655540952844544,0.018021554,0.7306380763051454,0.04033832140533507,0.6422851275619471
ADHD,2023,1243,0.3702738434675708,0.03022611,0.7240532949106632,0.030571198712791632,0.649440217947459
ADHD,2024,1212,0.38691095776356293,0.0433031355,0.7037113012511793,0.03135313531353135,0.6852841649364144
ADHD,2025,935,0.34895326527050674,0.022648623,0.7352103335908314,0.033155080213903745,0.595755061072327
ADHD,2026,444,0.35124167025798975,0.024104257,0.7144738614930957,0.02027027027027027,0.6272628310331847
Autism,2014,5062,0.3879789101768643,0.051154973,0.691223553627852,0.026866851047016988,0.6095272749252709
Autism,2015,3890,0.41674186133665925,0.118052845,0.6719967723565415,0.030077120822622108,0.6017035327516702
Autism,2016,4495,0.4524905559548993,0.2295061,0.6348189579513475,0.035595105672969966,0.6104547696431334
Autism,2017,4260,0.4718450575440104,0.32958235,0.610128616377187,0.029342723004694836,0.601918419449346
Autism,2018,4017,0.4597944807198225,0.26637524,0.6370414379375997,0.03310928553647,0.6030879365340757
Autism,2019,3668,0.4719162325208316,0.32412615499999997,0.6189137354752022,0.03326063249727372,0.6180494074901314
Autism,2020,3280,0.48221725931600307,0.40294623500000004,0.621413086962913,0.036280487804878046,0.6095116605476302
Autism,2021,3117,0.4935476720386071,0.4833811,0.6299683278621546,0.03304459416105229,0.6152084923259633
Autism,2022,2657,0.4993948531006531,0.51062673,0.5972282033822208,0.035378246142265715,0.623852397661527
Autism,2023,2253,0.4676229766617807,0.2760876,0.643837169645939,0.031069684864624945,0.6309402270762462
Autism,2024,1988,0.4806398193901944,0.40486276499999996,0.6151240518461265,0.03219315895372234,0.6214980632148763
Autism,2025,2260,0.4885026831009821,0.416544765,0.6204818933330813,0.030973451327433628,0.5036158006692466
Autism,2026,793,0.4652450352876472,0.3201894,0.6305587651703534,0.03278688524590164,0.6310965078606765
