analysis_unit,lsc_year,clinical_only,lived_only,mixed,non_substantive_or_insufficient,substantive_other,apparent_share,band,corrected_share,corrected_share_worst_flatten
ADHD,2014,1286,310,183,1284,55,0.19423558897243107,early_2014_2017,0.24279448621553873,0.6849360862727721
ADHD,2015,1203,216,128,733,64,0.1522198731501057,early_2014_2017,0.19027484143763207,0.5367753907507113
ADHD,2016,1149,309,182,978,64,0.21193415637860083,early_2014_2017,0.264917695473251,0.7473468296177387
ADHD,2017,1099,303,187,849,82,0.2161198288159772,early_2014_2017,0.2701497860199714,0.7621068337593241
ADHD,2018,1182,269,182,985,84,0.18538938662991042,mid_2018_2022,0.1514472777394899,0.0
ADHD,2019,1000,299,142,791,66,0.23017705927636645,mid_2018_2022,0.19810110341288156,0.03347233082530967
ADHD,2020,959,312,156,825,73,0.24547600314712825,mid_2018_2022,0.21403750327825868,0.052680452301063524
ADHD,2021,928,299,180,908,47,0.2436837815810921,mid_2018_2022,0.21217060581363764,0.05043028328007141
ADHD,2022,930,356,193,807,58,0.27682737169517885,mid_2018_2022,0.24669517884914455,0.09204270505453466
ADHD,2023,750,299,159,659,35,0.28503336510962823,late_2023_2026,0.2660455300345942,0.0
ADHD,2024,704,313,154,526,41,0.3077679449360865,late_2023_2026,0.29278368366696983,0.029372828685989373
ADHD,2025,578,216,110,640,31,0.27204030226700254,late_2023_2026,0.2507643806536446,0.0
ADHD,2026,271,109,44,257,20,0.2868421052631579,late_2023_2026,0.26817279046673304,0.0
Autism,2014,2850,1303,660,3221,249,0.3137490970382856,early_2014_2017,0.39218637129785683,1.0
Autism,2015,2083,1055,539,2569,213,0.33620140216698535,early_2014_2017,0.42025175270873183,1.0
Autism,2016,2175,1367,678,2760,275,0.385940146809712,early_2014_2017,0.48242518351214014,1.0
Autism,2017,1984,1368,627,2761,281,0.4081145584725537,early_2014_2017,0.510143198090692,1.0
Autism,2018,1959,1239,620,2505,199,0.3874296435272045,mid_2018_2022,0.3619058786741713,0.2309060076975387
Autism,2019,1717,1191,546,2161,214,0.4095598349381018,mid_2018_2022,0.38495816139385597,0.2586908932748096
Autism,2020,1532,1064,525,2022,159,0.4098613251155624,mid_2018_2022,0.385272213662044,0.2590694200542613
Autism,2021,1413,994,551,1897,159,0.4129621936019942,mid_2018_2022,0.38850228500207734,0.2629626207268613
Autism,2022,1175,911,421,1525,150,0.4367209971236817,mid_2018_2022,0.41325103867050167,0.2927922604731258
Autism,2023,1092,687,372,1254,102,0.38617200674536256,late_2023_2026,0.38499475007158984,0.13967499367146036
Autism,2024,900,651,315,1150,122,0.4197292069632495,late_2023_2026,0.4244613943530041,0.18688468854527804
Autism,2025,1044,746,357,2259,113,0.41675977653631285,late_2023_2026,0.42096904536031776,0.18270716767063783
Autism,2026,382,250,120,429,41,0.39556962025316456,late_2023_2026,0.3960472892285648,0.15289595559214308
