analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,arousal,weighted_arousal_contribution,arousal_contribution_to_cell_mean,match_share,total_matches_for_cell,total_documents_for_cell,arousal_mean_for_cell
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,1,add,unigram,True,False,549,464,-0.105,-57.644999999999996,-0.0027064650922578523,0.025775858021503357,21299,4203,0.020159733633816925
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,2,treatment,unigram,False,False,214,185,-0.228,-48.792,-0.0022908117752007138,0.010047420066669796,21299,4203,0.020159733633816925
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,3,patient,unigram,False,False,74,68,-0.614,-45.436,-0.002133245692286023,0.0034743415183811446,21299,4203,0.020159733633816925
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,4,student,unigram,False,False,116,91,-0.364,-42.224,-0.0019824404901638572,0.00544626508286774,21299,4203,0.020159733633816925
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,5,common,unigram,False,False,53,53,-0.7459999999999999,-39.538,-0.0018563312831588335,0.002488379736137847,21299,4203,0.020159733633816925
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,1,disorder,unigram,False,False,383,336,0.53,202.99,0.009530494389407954,0.017982064885675383,21299,4203,0.020159733633816925
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,2,anxiety,unigram,False,False,215,204,0.73,156.95,0.007368890558242171,0.010094370627729,21299,4203,0.020159733633816925
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,3,hyperactivity,unigram,True,False,94,90,1.0,94.0,0.004413352739565238,0.004413352739565238,21299,4203,0.020159733633816925
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,4,drug,unigram,False,False,123,109,0.5419999999999999,66.666,0.0031300061035729374,0.005774919010282173,21299,4203,0.020159733633816925
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,5,suffer,unigram,False,False,97,93,0.629,61.013,0.002864594581905254,0.004554204422742852,21299,4203,0.020159733633816925
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,1,add,unigram,True,False,510,402,-0.105,-53.55,-0.002724497583312134,0.025947596031544135,19655,3901,0.029389437802085985
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,2,sleep,unigram,False,False,59,49,-0.8063333333333333,-47.57366666666667,-0.0024204358517764778,0.003001780717374714,19655,3901,0.029389437802085985
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,3,student,unigram,False,False,119,97,-0.36399999999999993,-43.315999999999995,-0.0022038158229458153,0.006054439074026965,19655,3901,0.029389437802085985
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,4,include,unigram,False,False,207,202,-0.18066666666666667,-37.398,-0.0019027219537013484,0.010531671330450267,19655,3901,0.029389437802085985
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,5,narcolepsy,unigram,False,False,37,35,-1.0,-37.0,-0.0018824726532688883,0.0018824726532688883,19655,3901,0.029389437802085985
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,1,anxiety,unigram,False,False,306,295,0.73,223.38,0.011365047061816331,0.015568557618926481,19655,3901,0.029389437802085985
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,2,disorder,unigram,False,False,394,349,0.53,208.82000000000002,0.010624268633935386,0.020045789875349784,19655,3901,0.029389437802085985
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,3,hyperactivity,unigram,True,False,86,79,1.0,86.0,0.004375476977868227,0.004375476977868227,19655,3901,0.029389437802085985
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,4,issue,unigram,False,False,111,106,0.5900000000000001,65.49000000000001,0.003331976596285933,0.005647417959806665,19655,3901,0.029389437802085985
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,5,suffer,unigram,False,False,99,96,0.629,62.271,0.003168201475451539,0.005036886288476215,19655,3901,0.029389437802085985
