analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,cell_contexts,cell_documents,cell_domains,cell_breadth_mean_pairwise_distance,mean_context_avg_distance,max_context_avg_distance
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,4495,3123,2340,0.15029271078652628,0.15029271078652626,0.5913534904134727
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,3886,2765,2450,0.13998470553174813,0.13998470553174805,0.5229838026991451
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,3073,2118,1916,0.13573192749053098,0.1357319274905311,0.4411089171722715
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,1085,898,771,0.07842263147932305,0.07842263147932285,0.407867051798003
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,1124,911,823,0.08268307402403685,0.08268307402403685,0.5093657072500596
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,1194,921,847,0.0759564525899129,0.07595645258991282,0.5695756056346448
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,6220,4254,3177,0.13690831885309318,0.13690831885309326,0.5966533500029378
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,5626,3937,3426,0.12737463180238962,0.12737463180238956,0.5257024700984011
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,4883,3253,2897,0.11972828727772844,0.11972828727772832,0.5891652412918174
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,8390,5712,3891,0.08752037298045312,0.08752037298045319,0.6817609609741173
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,6232,4329,3681,0.09700297552105575,0.09700297552105565,0.6198414065477289
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,4313,2918,2421,0.09578444601851188,0.09578444601851195,0.5682994358285838
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,4785,3568,2825,0.10204741453298449,0.10204741453298444,0.6579266872913117
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,4218,3197,2823,0.10429148107505004,0.10429148107504999,0.6080549604148533
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,3031,2303,2053,0.09694546000222293,0.09694546000222282,0.5533662799492585
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,15482,10102,6828,0.09721397863694381,0.09721397863694398,0.6870612138628602
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,12514,8277,6832,0.10157169642414843,0.10157169642414851,0.6209102466213636
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,8812,5762,4755,0.09946890888104132,0.09946890888104128,0.5697245942677139
