analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,rank,word,occurrences_in_high_distance_contexts,high_distance_contexts_with_word,high_distance_documents_with_word,high_distance_contexts_used,context_share,mean_context_avg_distance
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,1,disorder,25,10,9,20,0.5,0.38129176077524385
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,2,behavior,4,4,4,20,0.2,0.37768823396706697
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,3,childhood,4,4,4,20,0.2,0.38096721534984346
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,4,impulsivity,4,4,4,20,0.2,0.38096721534984346
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,5,inattention,4,4,4,20,0.2,0.38096721534984346
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,6,case,3,3,3,20,0.15,0.3772039705865658
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,7,characterize,3,3,3,20,0.15,0.3772039705865658
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,8,diagnose,3,3,3,20,0.15,0.3772039705865658
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,9,problem,3,3,3,20,0.15,0.39355966837529427
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,10,spectrum,3,3,2,20,0.15,0.383421705383937
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,1,disorder,21,11,11,20,0.55,0.4159177488417668
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,2,include,6,6,6,20,0.3,0.39430819759024427
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,3,child,4,4,4,20,0.2,0.4162064315876175
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,4,symptom,4,4,4,20,0.2,0.4336100171994589
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,5,syndrome,4,4,4,20,0.2,0.39246332773122683
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,6,behavior,7,3,3,20,0.15,0.43347837828434016
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,7,autism,3,3,3,20,0.15,0.40192151789973735
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,8,disability,3,3,3,20,0.15,0.4105621291388893
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,9,speech,3,3,3,20,0.15,0.39679282186237
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,10,delay,4,2,2,20,0.1,0.38714966276915574
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,1,disorder,31,10,10,20,0.5,0.39585650087110946
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,2,child,8,4,4,20,0.2,0.3728175989229313
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,3,autism,5,4,4,20,0.2,0.3873617796241852
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,4,learning,7,3,3,20,0.15,0.3848723706494271
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,5,learn,5,3,3,20,0.15,0.3711342528233363
