analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,content_lemmas,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,valence,weighted_valence_contribution,valence_contribution_to_filtered_mean,match_share,total_filtered_matches_for_cell,total_filtered_documents_for_cell,filtered_valence_mean
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,1,disorder,unigram,disorder,False,False,383,336,-0.675,-258.52500000000003,-0.012183656157217589,0.018049860973655685,21219,4199,0.06281711437862293
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,2,autism,unigram,autism,False,True,485,443,-0.53,-257.05,-0.012114142985060559,0.022856873556718036,21219,4199,0.06281711437862293
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,3,depression,unigram,depression,False,False,237,223,-0.938,-222.30599999999998,-0.01047674254206136,0.011169235119468402,21219,4199,0.06281711437862293
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,4,diagnose,unigram,diagnose,False,False,355,322,-0.4555,-161.70250000000001,-0.007620646590319997,0.016730288892030726,21219,4199,0.06281711437862293
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,negative,5,anxiety,unigram,anxiety,False,False,215,204,-0.708,-152.22,-0.007173759366605401,0.010132428483905933,21219,4199,0.06281711437862293
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,1,child,unigram,child,False,False,809,661,0.7689999999999998,622.1209999999999,0.029319053678307172,0.03812620764409256,21219,4199,0.06281711437862293
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,2,adult,unigram,adult,False,False,268,203,0.63,168.84,0.007957019652198501,0.012630189924124605,21219,4199,0.06281711437862293
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,3,add,unigram,add,True,False,534,453,0.29000000000000004,154.86,0.007298176162872897,0.025166124699561712,21219,4199,0.06281711437862293
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,4,include,unigram,include,False,False,213,207,0.45933333333333337,97.83800000000001,0.004610867618643669,0.010038173335218436,21219,4199,0.06281711437862293
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,5,treatment,unigram,treatment,False,False,212,184,0.32600000000000007,69.11200000000001,0.0032570809180451485,0.009991045760874688,21219,4199,0.06281711437862293
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,1,autism,unigram,autism,False,True,575,521,-0.53,-304.75,-0.015639433439392385,0.02950836497998563,19486,3900,0.04213886636559581
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,2,disorder,unigram,disorder,False,False,394,349,-0.6750000000000002,-265.95000000000005,-0.013648260289438574,0.020219644873242328,19486,3900,0.04213886636559581
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,3,depression,unigram,depression,False,False,269,256,-0.938,-252.32199999999997,-0.012948886379965103,0.013804782921071538,19486,3900,0.04213886636559581
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,4,anxiety,unigram,anxiety,False,False,306,295,-0.708,-216.648,-0.011118136097711177,0.015703582058914093,19486,3900,0.04213886636559581
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,5,diagnose,unigram,diagnose,False,False,286,260,-0.45549999999999996,-130.273,-0.006685466488761162,0.014677204146566767,19486,3900,0.04213886636559581
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,1,child,unigram,child,False,False,638,540,0.7689999999999999,490.62199999999996,0.025178179205583493,0.03274145540387971,19486,3900,0.04213886636559581
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,2,add,unigram,add,True,False,499,396,0.29000000000000004,144.71,0.00742635738478908,0.02560812891306579,19486,3900,0.04213886636559581
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,3,adult,unigram,adult,False,False,184,139,0.63,115.92,0.005948886379965103,0.009442676793595402,19486,3900,0.04213886636559581
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,4,include,unigram,include,False,False,207,202,0.45933333333333337,95.08200000000001,0.004879503233090424,0.010623011392794828,19486,3900,0.04213886636559581
