analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,total_filtered_matches_for_cell,total_filtered_documents_for_cell,filtered_valence_mean,filtered_arousal_mean
ADHD,clinical_only,Clinical,2014-2017,1,2014,2017,15602,3073,0.044698359184719906,0.021962942785113022
ADHD,clinical_only,Clinical,2018-2021,2,2018,2021,13776,2742,0.016173426006581493,0.028863706204026326
ADHD,clinical_only,Clinical,2022-2026,3,2022,2026,11207,2089,0.04730600071383957,0.025308012849112164
ADHD,lived_only,Lived experience,2014-2017,1,2014,2017,3383,890,0.12911171543994482,-0.01265515321706572
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,3562,900,0.13111915122590306,0.002135527793374509
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,4117,906,0.14374445793862844,-0.0017909845356651275
ADHD,substantive_core_overall,Overall,2014-2017,1,2014,2017,21219,4199,0.06281711437862293,0.013938591985170523
ADHD,substantive_core_overall,Overall,2018-2021,2,2018,2021,19486,3900,0.04213886636559581,0.022810116664956036
ADHD,substantive_core_overall,Overall,2022-2026,3,2022,2026,17531,3213,0.08001742151997414,0.015850337497385587
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,34733,5698,0.07693901764892176,0.021785692281115945
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,25380,4319,0.06161447990543735,0.02978169490412399
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,17874,2913,0.08627502983849912,0.033987016523068896
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,16771,3531,0.23053742173990818,-0.024108497803748536
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,15076,3177,0.23112776377465288,-0.028759085080038913
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,10999,2280,0.2015840470345789,-0.005074193108464405
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,60448,10059,0.13746612350008824,0.0031577849280924673
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,48599,8244,0.13548675144207356,0.004830118246603156
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,34932,5739,0.14197450093515018,0.015063877438070158
