measure,year_basis,comparator_display,term_role,b_se,standardized_beta_year,standardized_beta_display,linear_adj_r_squared,adj_r_squared_display,linear_slope_per_year,linear_slope_se,linear_p_value,autocorrelation_flag,ar1_sensitivity_slope_per_year,ar1_sensitivity_p_value,quadratic_delta_adj_r_squared
Salience,source year,frustration,baseline,-0.0175^dagger (0.0167),-0.3008034047112996,-0.30,0.0077992963119019,0.01,-0.0175171433453399,0.0167451745370165,0.3179575277050133,True,0.015956947232762,0.5383152855645501,0.7173646764499645
Salience,source year,loneliness,baseline,0.0056* (0.0021),0.6235918648697377,0.62,0.3333092515618735,0.33,0.0055800894224278,0.0021091735138523,0.022763343623034,False,,,-0.0661148117780965
Salience,source year,sadness,baseline,-0.0171** (0.0039),-0.7988328371973301,-0.80,0.6052369837651671,0.61,-0.017071955845521,0.0038761892808566,0.0010556144996661,False,,,0.067857107153622
Sentiment,publication year,frustration,baseline,0.0037*^dagger (0.0013),0.6671710883546743,0.67,0.3946733757851206,0.39,0.0037291659330004,0.0012553902608084,0.0127334328947593,True,0.011627816419421,0.0027956458395319,0.4977665285319352
Sentiment,publication year,loneliness,baseline,0.0044**^dagger (0.0013),0.7062720572244036,0.71,0.4532584205265357,0.45,0.0044440649722162,0.0013431014066241,0.0069682420008061,True,0.0069768304340456,0.0089055004158554,0.3790486409639552
Sentiment,publication year,sadness,baseline,-0.0030** (0.0007),-0.790766877832684,-0.79,0.591249732811546,0.59,-0.0030160473378629,0.0007039277486139,0.0012887582007498,False,,,0.0859089575391136
Intensity,publication year,frustration,baseline,-0.0004^dagger (0.0006),-0.231754628474003,-0.23,-0.032316136924593,-0.03,-0.0004428073840534,0.0005604052214076,0.4461368429666852,True,-0.0022396610172144,0.0779912015898184,0.4691976235097311
Intensity,publication year,loneliness,baseline,-0.0006 (0.0006),-0.3004682626489816,-0.30,0.007579465664688,0.01,-0.0006035160863522,0.0005776270095797,0.318523603235018,False,,,0.0566222639869926
Intensity,publication year,sadness,baseline,0.0028*** (0.0004),0.8816437249654617,0.88,0.7570498084774273,0.76,0.0027566299466647,0.000444890722038,6.752126769710993e-05,False,,,-0.0192550719464454
Breadth,publication year,frustration,baseline,0.0020** (0.0006),0.724404866272859,0.72,0.4815589930325072,0.48,0.0019509059196559,0.0005597756683494,0.0051018942054445,False,,,0.0641678139093676
Breadth,publication year,loneliness,baseline,-0.0007 (0.0004),-0.509143612364418,-0.51,0.1918842378307149,0.19,-0.0007192229165903,0.0003665805201724,0.0755591001312689,False,,,0.0024993735439244
Breadth,publication year,sadness,baseline,-0.0010**^dagger (0.0003),-0.7134987002497714,-0.71,0.464451340281578,0.46,-0.0010241094600204,0.0003032229278794,0.006170732848132,True,-0.0008490519913347,0.131231450440245,-0.0414663012003102
